media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38826","http://www.kcna.co.jp/index-e.htm","kcna","PRK","","en","Pyongyang","other","","","0.0","2013-04-08"
"98393","http://www.nknews.org/#spider","nknews.org","PRK","","en","Democratic People’s Republic of Korea","digital_native","","","3.63","2016-08-15"
"121932","http://newfocusintl.com/","newfocusintl.com","PRK","","en","Democratic People’s Republic of Korea","digital_native","","","0.12","2014-10-06"
"371578","http://chosonsinbo.com/jp/","「独裁者の娘」の悲惨な末路","PRK","","ja","none","print_native","","","0.38","2017-03-13"
"624081","http://www.vok.rep.kp/CBC/index.php","Voice of Korea","PRK","","ko","","video_broadcast","","","0.0","2017-10-30"
"624082","http://chosonsinbo.com/","Choson Sinbo","PRK","","ko","none","print_native","","","0.42","2017-11-06"
"624083","http://www.rodong.rep.kp/ko/","Rodong Sinmun","PRK","","en","","print_native","","","0.0","2017-10-30"
"657003","http://www.rodong.rep.kp/cn/","Rodong Sinmun (Chinese)","PRK","","zh","","print_native","","","0.0","2017-12-04"
"657004","http://www.kcna.kp/?lang=eng","KCNA","PRK","","en","","other","","","0.0","2022-05-14"
"1289317","http://pyongyangtimes.com.kp/","pyongyangtimes.com.kp","","","","","","","","0.0","2019-06-24"
"1720489","http://www.minzu.rep.kp/","민주조선 | 조선민주주의인민공화국 최고인민회의 상임위원회 및 내각기관지","","","","","","","","0.0","2020-10-26"
