media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38877","http://www.delfi.lv","delfi","LVA","","lv","none","digital_native","","","9.73","2013-03-11"
"39099","http://www.ventasbalss.lv/","ventasbalss","LVA","","lv","Republic of Latvia","print_native","","","0.0","2013-03-11"
"39252","http://www.dzirkstele.lv","dzirkstele","LVA","","lv","none","print_native","","","0.0","2013-03-18"
"39374","http://www.ntz.lv","ntz","LVA","","lv","Minas Gerais","print_native","","","0.42","2013-03-11"
"40276","http://www.lv.lv","lv","LVA","","lv","none","print_native","","","0.0","2011-04-04"
"41465","http://www.baltictimes.com/","BalticTimes","EST","EE-37","en","none","print_native","","","1.08","2013-03-18"
"41648","http://www.leta.lv/","leta","LVA","","lv","none","other","","","0.0","2016-10-10"
"41859","http://www.tvnet.lv/","tvnet","LVA","","lv","none","digital_native","","","0.0","2013-05-20"
"47854","http://rus.delfi.lv/#spider","rus.delfi.lv","LVA","","ru","none","digital_native","","","6.58","2017-10-30"
"50200","http://rus.tvnet.lv/#spider","rus.tvnet.lv","LVA","","ru","none","digital_native","","","0.0","2019-06-10"
"64274","http://diena.lv/","diena.lv","LVA","","lv","Republic of Latvia","print_native","","","4.54","2013-05-06"
"64704","http://politika.lv/","politika.lv","LVA","","lv","Republic of Latvia","digital_native","","","0.0","2013-04-22"
"300353","http://www.leta.lv/eng/","LETA","LVA","","en","Republic of Lithuania","other","","","0.0","2016-10-10"
"300364","http://www.lsm.lv/en/","Latvia news - Public broadcasting of Latvia / Eng.lsm.lv","LVA","","en","Republic of Latvia","video_broadcast","","","7.29","2017-08-14"
"315361","http://lsm.lv/","lsm.lv","LVA","","lv","none","video_broadcast","","","7.5","2017-11-06"
"624093","http://www.latvijasradio.lsm.lv/lv/lr/","Latvijas Radio","LVA","","lv","none","video_broadcast","","","3.37","2018-06-18"
"624094","http://lnt.skaties.lv/","LNT","LVA","","lv","","video_broadcast","","","0.0","2018-04-16"
"624095","http://ltv.lsm.lv/lv/","LTV","LVA","","lv","none","video_broadcast","","","0.0","2017-10-16"
"624096","http://apollo.tvnet.lv/","Apollo","LVA","","lv","none","digital_native","","","0.0","2017-10-30"
"624097","http://financenet.tvnet.lv/","Finance Net","LVA","","lv","none","digital_native","","","0.0","2019-06-10"
"624098","http://www.focus.lv/","Focus - Latvia (Latvian)","LVA","","lv","none","digital_native","","","0.0","2018-08-13"
"624099","http://ru.focus.lv/","Focus - Latvia (Russian)","LVA","","ru","none","digital_native","","","0.0","2017-10-30"
"624100","http://www.kasjauns.lv/lv/","Kasjauns - Latvia (Latvian)","LVA","","lv","none","digital_native","","","7.47","2017-11-06"
"624101","http://www.kasjauns.lv/ru/","Kasjauns - Latvia (Russian)","LVA","","ru","none","digital_native","","","6.19","2017-11-06"
"624102","http://news.lv/","News - Latvia (Latvian)","LVA","","lv","none","digital_native","","","10.43","2017-11-06"
"624104","http://www.ves.lv/","Ves","LVA","","ru","","digital_native","","","0.0","2018-04-16"
"624105","http://vesti.lv/","Vesti - Latvia","LVA","","ru","none","digital_native","","","9.98","2017-11-06"
"624106","http://www.kapitals.lv/","Kapitals","LVA","","en","none","print_native","","","0.0","2019-06-24"
"624107","http://bb.vesti.lv/","Biznez i Baltiya","LVA","","ru","none","print_native","","","10.3","2017-11-06"
"624108","http://www.db.lv/","Dienas Bizness","LVA","","lv","none","print_native","","","0.0","2017-11-06"
"624109","http://nasz-czas.tripod.com/","Nasz Czas","LVA","","pl","none","print_native","","","0.0","2017-10-09"
"624110","http://nra.lv","Neatkariga Rita Avize","LVA","","lv","none","print_native","","","0.0","2018-07-30"
"624111","http://vesti.lv/categories/vesti-segodnya","Vesti Segodnia","LVA","","ru","none","print_native","","","9.68","2019-06-10"
"655739","http://baltische-rundschau.eu/","Baltische Rundschau","EST","EE-37","de","none","print_native","","","0.17","2018-04-23"
"656438","http://www.nasha.lv/","Nasha Gazeta - Latvia","LVA","","ru","none","print_native","","","1.38","2017-12-04"
"656649","http://www.malienaszinas.lv/","Malienas Zinas","LVA","","lv","","print_native","","","0.0","2021-01-25"
"656650","http://www.vaduguns.lv/","Vaduguns","LVA","","lv","","print_native","","","0.0","2019-05-13"
"656651","http://www.edruva.lv/","Druva","LVA","","lv","none","print_native","","","0.31","2017-12-04"
"656652","http://www.d-fakti.lv/","D Fakti (Latvian)","LVA","","lv","none","digital_native","","","0.0","2017-12-04"
"656653","http://www.d-fakti.lv/ru/","D Fakti (Russian)","LVA","","ru","none","digital_native","","","0.0","2017-12-04"
"656654","http://www.latgaleslaiks.lv/lv/","Latgales Laiks (Latvian)","LVA","","lv","","print_native","","","0.0","2017-12-04"
"656655","http://www.latgaleslaiks.lv/ru/","Latgales Laiks (Russian)","LVA","","ru","","print_native","","","0.0","2017-12-04"
"656656","http://www.bdaugava.lv/","Briva Daugava","LVA","","lv","","print_native","","","0.0","2018-05-28"
"656657","http://www.novaja.lv/","Novaya Gazeta - Latvia","LVA","LV-JEL","ru","none","print_native","","","0.66","2017-12-04"
"656659","http://zz.diena.lv/","Zemgales Zinas","LVA","LV-JEL","lv","none","print_native","","","0.0","2017-12-04"
"656660","http://www.ezerzeme.lv/","Ezerzeme","LVA","","lv","","print_native","","","0.0","2018-04-23"
"656661","http://www.kurzemnieks.lv/","Kurzemnieks","LVA","","lv","","print_native","","","0.0","2019-05-13"
"656662","http://rekurzeme.diena.lv/","Kursas Laiks","LVA","","lv","none","print_native","","","0.0","2018-02-12"
"656663","http://www.kurzemes-vards.lv/","Kurzemes Vards","LVA","","lv","","print_native","","","0.0","2019-05-13"
"656664","http://www.auseklis.lv/","Auseklis","LVA","","lv","","print_native","","","0.0","2018-01-01"
"656665","http://www.ludzaszeme.lv/","Ludzas Zeme","LVA","","lv","none","print_native","","","0.0","2017-12-18"
"656666","http://www.panorama-rezekne.lv/","Panorama Rezekne","LVA","LV-REZ","ru","none","print_native","","","0.12","2017-11-20"
"656669","http://www.riga-airport.com/?id=326","Gateway Riga","LVA","","none","none","print_native","","","0.0","2020-06-08"
"656670","http://www.la.lv/","Latvijas Avize","LVA","","lv","none","print_native","","","4.66","2020-06-08"
"656671","http://www.aprinkis.lv/","Rigas Aprinka Avize","LVA","","lv","","print_native","","","0.0","2012-11-05"
"656672","http://www.subbota.com/","Subbota","LVA","","ru","none","print_native","","","0.0","2015-02-23"
"656673","http://nra.lv/vakara-zinas/","Vakara Zinas","LVA","","lv","","print_native","","","0.0","2019-05-13"
"656674","http://www.sz.lv/","Saldus Zeme","LVA","","lv","","print_native","","","0.0","2018-04-23"
"656675","http://ziemellatvija.diena.lv/","Ziemellatvija","LVA","","lv","none","print_native","","","0.0","2017-12-04"
"656676","http://www.talsuvestis.lv/","Talsu Vestis","LVA","","lv","none","print_native","","","0.11","2017-12-04"
"656677","https://www.ovv.lv/","Ogres Vestis","LVA","","lv","none","print_native","","","0.57","2018-06-18"
"656678","http://www.eliesma.lv/","Liesma","LVA","","lv","","print_native","","","0.0","2020-06-08"
"656679","http://www.ventspils.lv/","Ventspils (Latvian)","LVA","","lv","Ventspils","digital_native","","","0.27","2017-12-04"
"656680","http://www.ventspils.lv/rus/","Ventspils (Russian)","LVA","","ru","none","digital_native","","","0.27","2018-01-01"
"1715836","https://www.lv.lv/?menu=en","Oficiālais izdevējs LATVIJAS VĒSTNESIS","","","","","","","","0.0","2011-04-04"
