media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39352","http://www.gurtong.net/","gurtong","SSD","","en","South Sudan","digital_native","","","0.0","2013-07-15"
"41314","http://www.southsudannewsagency.com/","ssna","SSD","","en","South Sudan","digital_native","","","0.0","2013-03-11"
"42101","http://www.sudantribune.net/","sudantribune-ar","SDN","","ar","none","digital_native","","","0.0","2013-05-20"
"42164","http://www.newsudanvision.com/","newsudanvision","SSD","","en","United States","digital_native","","","0.0","2013-05-27"
"64496","http://sudantribune.com/","sudantribune.com","SDN","","en","South Sudan","digital_native","","","0.01","2013-04-29"
"299979","http://eyeradio.org/","Eye Radio Network","SSD","","en","South Sudan","video_broadcast","","","0.62","2016-08-15"
"300420","http://www.newnationsouthsudan.com/","South Sudan News, Breaking news,Africa,Politics,Business,sports,States","SSD","SS-EC","en","","print_native","","","0.0","2018-02-26"
"541752","http://southsudannation.com/","southsudannation.com","SSD","","en","Republic of the Sudan","digital_native","","","0.0","2017-11-27"
"586071","http://sosanews.com/","sosanews.com","SSD","","en","United States","digital_native","","","0.0","2017-12-04"
"624113","https://radiotamazuj.org/ar","Radio Tamazuj - South Sudan (Arabic)","SSD","","en","Republic of the Sudan","video_broadcast","","","0.0","2017-11-06"
"624114","https://radiotamazuj.org/en","Radio Tamazuj - South Sudan (English)","SSD","","en","Republic of the Sudan","video_broadcast","","","0.0","2017-11-06"
"691261","http://hotinjuba.com/","hotinjuba.com","","","","","","","","0.09","2020-10-12"
"872307","http://jubamonitor.com/","jubamonitor.com","","","","","","","","0.17","2020-11-09"
"1355109","http://citizen-news.net/","citizen-news.net","","","","","","","","0.0","2015-12-07"
"1720565","https://www.s-sfp.com/","South Sudan Friendship Press","","","","","","","","0.03","2020-10-12"
