media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39515","http://www.stabroeknews.com/","stabroeknews","GUY","","en","none","print_native","","","4.22","2013-03-11"
"41997","http://www.guyanachronicle.com/","guyanachronicle","GUY","","en","Co-operative Republic of Guyana","print_native","","","1.41","2016-08-15"
"63954","http://kaieteurnewsonline.com/","kaieteurnewsonline.com","GUY","","en","Co-operative Republic of Guyana","print_native","","","1.94","2016-03-28"
"291221","http://newssourcegy.com/","newssourcegy.com","GUY","","en","Co-operative Republic of Guyana","digital_native","","","0.4","2016-08-15"
"299994","http://guyanainquirer.com/","News from Guyana","GUY","","en","none","digital_native","","","2.76","2016-08-15"
"299995","http://guyanapress.com/","Guyana Press | Precise and Impartial Journalism","GUY","","en","none","digital_native","","","0.0","2017-03-20"
"299999","http://hgptv.com/","HGP TV","GUY","","en","Co-operative Republic of Guyana","video_broadcast","","","0.86","2018-03-26"
"300223","http://www.caribnewsdesk.com/","Demerara Waves","GUY","","en","Co-operative Republic of Guyana","digital_native","","","0.32","2016-08-15"
"300300","http://www.guyanagraphic.com/","Guyana Graphic | We take Guyana to the world and the world to Guyana","GUY","","en","Co-operative Republic of Guyana","digital_native","","","0.04","2016-05-23"
"300312","http://www.inewsguyana.com/","INews Guyana","GUY","","en","Co-operative Republic of Guyana","digital_native","","","1.24","2016-08-15"
"300416","http://www.ncnguyana.com/","NCNTV11","GUY","","en","","video_broadcast","","","0.14","2020-06-08"
"656094","http://www.guyanatimesgy.com/","Guyana Times","GUY","","en","Co-operative Republic of Guyana","print_native","","","0.89","2017-12-04"
"656095","http://www.guyanatimesinternational.com/","Guyana Times International","GUY","","en","Co-operative Republic of Guyana","print_native","","","0.0","2017-12-04"
"656096","http://www.mirrornewsgy.com/","Weekend Mirror","GUY","","en","","print_native","","","0.0","2017-03-20"
"656097","http://capitolnewsgy.com/","WRHM","GUY","","en","Co-operative Republic of Guyana","video_broadcast","","","0.09","2017-11-27"
"1132825","http://officialgazette.gov.gy/","officialgazette.gov.gy","","","","","","","","0.0","2022-05-14"
"1585171","http://villagevoicegy.com/","villagevoicegy.com","","","","","","","","0.0","2020-10-12"
