media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"40073","http://furat.alwehda.gov.sy/","furat-alwehda","SYR","","ar","none","print_native","","","0.0","2013-09-30"
"41008","http://www.sana.sy","Sana-en","SYR","","ar","Syrian Arab Republic","other","","","8.14","2016-10-17"
"41863","http://syria-news.com/","syria-news","SYR","","ar","Japan","digital_native","","","1.87","2013-05-20"
"66934","http://www.almasreyeenalahrrar.org","الرئيسية","DZA","DZ-16","ar","none","print_native","","","0.0","2015-11-09"
"100596","http://www.alghad.com/#spider","alghad.com","JOR","","ar","none","print_native","","","6.5","2019-03-04"
"219084","http://alwatan.sy/","alwatan.sy","SYR","","ar","none","print_native","","","0.51","2018-01-01"
"299924","http://alshaminfo.com/index.php?lang=en","Al Sham","SYR","","en","none","digital_native","","","0.0","2016-10-10"
"300077","http://syriatimes.sy/","syriatimes.sy - Home","SYR","","en","","digital_native","","","0.0","2018-04-09"
"300514","http://www.sana.sy/en/","Syrian Arab News Agency – S A N A","SYR","","en","Syrian Arab Republic","other","","","1.26","2016-09-05"
"624115","http://www.rtv.gov.sy/","Syria Radio TV","SYR","","ar","","video_broadcast","","","0.0","2017-10-30"
"624116","http://thawra.sy/","Al Thawra - Syria","SYR","","ar","none","print_native","","","0.0","2018-07-23"
"624117","http://www.sana.sy/fr/","SANA - Syria (French)","SYR","","fr","none","other","","","1.69","2017-11-06"
"624248","http://tishreen.news.sy/","Tishreen","SYR","","ar","Syrian Arab Republic","print_native","","","0.0","2018-01-01"
"658224","http://jamahir.alwehda.gov.sy/","Al Jamahir","SYR","","ar","none","print_native","","","0.0","2017-12-04"
"658225","http://ncro.sy/baathonline/","Al Baath","SYR","","ar","none","print_native","","","0.0","2017-12-11"
"658226","http://riadi.alwehda.gov.sy/","Al Maukef Al Riadi","SYR","","ar","","print_native","","","0.0","2017-12-04"
"658228","http://fedaa.alwehda.gov.sy/","Al Fedaa","SYR","","ar","none","print_native","","","0.0","2018-03-19"
"658229","http://ouruba.alwehda.gov.sy/","Al Ouruba","SYR","SY-HI","ar","none","print_native","","","0.0","2018-01-08"
"658230","http://wehda.alwehda.gov.sy/","Al Wehda","SYR","","ar","none","print_native","","","0.0","2017-12-04"
"1720570","http://newspaper.albaathmedia.sy/","جريدة البعث - يومية سياسية ناطقة باسم حزب البعث العربي الاشتراكي","","","","","","","","4.03","2020-10-19"
