media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"282704","http://caribischnetwerk.ntr.nl/","caribischnetwerk.ntr.nl","SXM","","nl","none","digital_native","","","0.18","2017-12-04"
"298348","http://thedailyherald.sx/","thedailyherald.sx","SXM","","en","none","print_native","","","0.0","2016-03-21"
"318819","http://sxmislandtime.com/","sxmislandtime.com","SXM","","en","none","digital_native","","","0.49","2018-08-27"
"574856","http://soualiganewsday.com/","soualiganewsday.com","SXM","","en","","digital_native","","","0.0","2015-06-08"
"575370","http://721news.com/","721news.com","SXM","","en","none","digital_native","","","0.21","2017-11-20"
"575394","http://smn-news.com/","smn-news.com","SXM","","en","","digital_native","","","0.0","2013-05-27"
"575396","http://sxm-talks.com/","sxm-talks.com","SXM","","en","none","digital_native","","","1.5","2017-11-06"
"622725","http://www.nostisia.com/","Nostisia","ABW","","pap","","digital_native","","","0.0","2022-05-14"
"624121","http://www.smn-news.com/french-news.html","St. Martin News Network - Sint Maarten (French)","SXM","","fr","none","digital_native","","","0.18","2017-11-06"
"653395","http://today.sx/","Today - Sint Maarten","SXM","","en","","print_native","","","0.0","2017-10-16"
"655666","http://dutchcaribbeannews.com/","Dutch Caribbean News","SXM","","en","none","digital_native","","","2.93","2017-12-04"
"655667","http://www.kikotapasando.com/","Kiko Ta Pasando","SXM","","none","none","digital_native","","","2.23","2017-12-04"
"655668","http://www.loopabc.com/","Loop ABC","SXM","","none","none","digital_native","","","0.0","2017-12-04"
"655669","http://caribbeannetwork.ntr.nl/","Caribbean Network","SXM","","en","none","digital_native","","","0.02","2017-11-27"
"655670","http://retkaribense.ntr.nl/","Ret Karibense","SXM","","none","none","digital_native","","","0.13","2017-11-20"
"657756","http://pearlfmradio.sx/","Pearl FM","SXM","","en","none","video_broadcast","","","0.41","2017-12-04"
"657757","http://pjd2radio.com/","PJD2","SXM","","en","United States","video_broadcast","","","0.18","2019-05-27"
