media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"41495","http://www.elheraldo.hn/","elheraldo","HND","HN-FM","es","Republic of Honduras","print_native","","","0.02","2013-05-20"
"41822","http://www.latribuna.hn/","latribuna","HND","HN-FM","es","Republic of Honduras","print_native","","","11.5","2013-03-25"
"59267","http://hondurasnews.com/","hondurasnews.com","HND","","en","none","digital_native","","","0.0","2013-04-29"
"107589","http://proceso.hn/","proceso.hn","HND","","es","none","digital_native","","","3.24","2021-06-07"
"127105","http://laprensa.hn/","laprensa.hn","HND","HN-CR","es","United States","print_native","","","2.76","2016-12-26"
"282126","http://diariomas.hn/","diariomas.hn","HND","HN-FM","es","Republic of Honduras","print_native","","","3.08","2017-12-11"
"282404","http://tiempo.hn/","tiempo.hn","HND","HN-CR","es","Mississippi","print_native","","","3.41","2018-07-02"
"329022","http://canal6.com.hn/","canal6.com.hn","HND","","es","Republic of Honduras","video_broadcast","","","1.01","2017-11-06"
"329673","http://diez.hn/","diez.hn","HND","HN-CR","es","none","print_native","","","0.0","2017-12-04"
"329905","http://radiohrn.hn/","radiohrn.hn","HND","","es","United States","video_broadcast","","","1.39","2017-10-30"
"335899","http://ultimahora.hn/","ultimahora.hn","HND","","es","none","digital_native","","","0.11","2017-03-06"
"342854","http://diarioelarticulista.com/","diarioelarticulista.com","HND","","es","none","digital_native","","","0.0","2015-07-20"
"349081","http://lanoticia.hn/","lanoticia.hn","HND","","es","United States","digital_native","","","1.06","2017-01-09"
"355308","https://www.televicentro.hn/","televicentro.hn","HND","","es","none","video_broadcast","","","0.0","2017-02-06"
"360001","http://hondudiario.com/","hondudiario.com","HND","","es","none","digital_native","","","2.37","2016-12-26"
"361257","http://www.hablemosclaro.com/","Hablemos Claro","HND","","es","Georgia","print_native","","","0.0","2016-12-19"
"361258","http://www.lagaceta.hn/","::: DIARIO OFICIAL LA GACETA DE LA REPUBLICA DE HONDURAS :::","HND","HN-FM","es","","print_native","","","0.0","2012-09-17"
"364406","http://radioamericahn.net/","radioamericahn.net","HND","","es","none","video_broadcast","","","2.61","2017-11-06"
"365736","http://web.ellibertador.hn/","web.ellibertador.hn","HND","HN-FM","es","","print_native","","","0.0","2016-02-29"
"559514","http://eldiario.hn/","eldiario.hn","HND","","es","United States","digital_native","","","0.32","2017-10-30"
"566485","http://notibomba.com/","notibomba.com","HND","","es","United States","digital_native","","","1.01","2019-06-10"
"624122","http://www.vtv.com.hn/","VTV - Honduras (Spanish)","HND","","es","","video_broadcast","","","0.03","2017-10-30"
"624123","http://www.elsoldehonduras.com/","El Sol de Honduras","HND","","es","none","digital_native","","","0.11","2017-11-13"
"656106","http://www.45tvhn.com/","45 TV","HND","HN-AT","es","none","video_broadcast","","","0.0","2019-10-14"
"1715457","http://elperiodico.hn/","El Periódico, Acontecer nacional, noticias de Honduras - El Periódico Honduras","","","","","","","","0.89","2020-12-14"
