media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"40418","http://burmese.dvb.no/","dvb-my","MMR","","my","none","video_broadcast","","","2.52","2013-09-30"
"55920","http://mizzimaburmese.com/","mizzimaburmese.com","MMR","","my","none","digital_native","","","0.0","2016-05-30"
"57556","http://mizzima.com/","mizzima.com","MMR","","en","Union of Burma","digital_native","","","0.0","2016-02-01"
"60029","http://irrawaddy.org/","irrawaddy.org","MMR","","en","Union of Burma","print_native","","","0.57","2013-05-06"
"60245","http://news-eleven.com/","news-eleven.com","MMR","MM-06","my","none","print_native","","","0.0","2017-12-04"
"65291","http://dvb.no/","dvb.no","MMR","","en","Union of Burma","video_broadcast","","","2.32","2019-01-14"
"110127","http://burmatoday.net/","burmatoday.net","MMR","","my","","digital_native","","","0.0","2017-12-04"
"186959","http://mmtimes.com/","mmtimes.com","MMR","MM-06","en","Union of Burma","print_native","","","0.0","2018-07-09"
"224638","http://elevenmyanmar.com/","elevenmyanmar.com","MMR","MM-06","en","none","print_native","","","0.02","2016-05-09"
"269677","http://myanmarnews.net/","myanmarnews.net","MMR","","en","none","digital_native","","","0.42","2018-05-07"
"269807","http://burma.irrawaddy.com/","burma.irrawaddy.com","MMR","","my","none","print_native","","","0.53","2017-12-04"
"300193","http://www.bnionline.net/","Burma News International","MMR","","en","","digital_native","","","0.0","2015-07-20"
"300406","http://www.myanmar-business.org/","Myanmar Business Network","MMR","","en","Union of Burma","digital_native","","","0.0","2016-07-04"
"306230","http://burmanet.org/","burmanet.org","MMR","","en","","digital_native","","","0.0","2016-10-24"
"367837","http://burmese.voanews.com/","burmese.voanews.com","MMR","","my","United States","video_broadcast","","","2.19","2017-12-11"
"544340","http://thevoicemyanmar.com/","thevoicemyanmar.com","MMR","MM-06","my","none","print_native","","","0.0","2019-06-17"
"544666","http://7daydaily.com/","7daydaily.com","MMR","MM-06","my","none","print_native","","","0.0","2017-11-13"
"545532","http://narinjara.com/","narinjara.com","MMR","MM-16","en","","print_native","","","0.0","2012-05-14"
"622641","http://www.rfa.org/burmese/","Radio Free Asia Burmese","MMR","","my","none","video_broadcast","","","1.27","2017-11-06"
"622647","http://www.uniondaily.net/","Pyidaungsu (Union) Journal","","","","","","","","0.0","2017-10-30"
"622675","http://myitmakhamediagroup.com/","Myit Makha News Agency","MMR","","my","","other","","","0.0","2017-11-06"
"622677","http://www.narinjara.com/burmese/","Narinjara News Agency","MMR","MM-16","my","none","print_native","","","0.0","2017-10-30"
"622685","http://www.duwun.com.mm/","Duwun","MMR","","","","","","","1.21","2017-11-06"
"624124","http://www.mrtv.gov.mm/","MRTV","MMR","","my","none","video_broadcast","","","0.0","2017-11-06"
"624125","http://www.mrtv4.com.mm/","MRTV4","MMR","","my","","video_broadcast","","","0.0","2020-06-15"
"624126","http://www.myanmarinternationaltv.com/","Myanmar International TV","MMR","","en","Union of Burma","video_broadcast","","","0.0","2017-11-06"
"624127","http://burmese.bnionline.net/","Burma News International - Myanmar (Burmese)","MMR","","my","","digital_native","","","0.0","2017-10-23"
"624251","http://www.myitmakhamedia.info/","Myitmakha - Myanmar (Burmese)","MMR","","en","none","other","","","0.0","2022-05-14"
"624278","http://www.myawady.net.mm","Myawaddy Daily Newspaper","","","","","","","","1.79","2020-10-12"
"650092","http://www.bbc.co.uk/burmese","BBC - Myanmar","MMR","","my","none","video_broadcast","","","0.86","2017-12-04"
"656880","http://www.rfa.org/english/news/myanmar","Radio Free Asia (English)","MMR","","en","Union of Burma","video_broadcast","","","0.28","2017-11-27"
"656881","http://www.mmbiztoday.com/","Myanmar Business Today","MMR","MM-06","en","Union of Burma","print_native","","","0.11","2019-06-17"
"656882","http://myanmar.mmtimes.com/","Myanmar Times (Burmese)","MMR","MM-06","my","","print_native","","","0.0","2017-12-04"
"656883","http://www.zaygwet.com/","Zay Gwet","MMR","MM-06","my","","print_native","","","0.0","2017-12-11"
"1598677","http://7day.news/","7day.news","","","","","","","","0.0","2020-10-12"
"1720468","https://www.rvipspublications.com/","Myat Thit Oo Co. , ltd","","","","","","","","0.0","2019-08-05"
"1720469","https://www.moi.gov.mm/km/","ကြေးမုံ","","","","","","","","0.0","2021-11-22"
"1720470","https://www.moi.gov.mm/mal/","မြန်မာ့အလင်း","","","","","","","","0.0","2022-05-14"
