media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"300298","http://www.guineaecuatorialpress.com/?lang=en","Official Web Page of the Government of the Republic of Equatorial Guinea","GNQ","","en","none","digital_native","","","0.0","2016-08-08"
"624129","http://www.diariorombe.es/","Diario Rombe","GNQ","","es","","digital_native","","","0.1","2017-11-13"
"624130","http://www.guineaecuatorialpress.com/?lang=fr","Guinea Ecuatorial - Equatorial Guinea (French)","GNQ","","es","none","digital_native","","","0.0","2017-12-04"
"624131","http://www.guineaecuatorialpress.com/?lang=es","Guinea Ecuatorial - Equatorial Guinea (Spanish)","GNQ","","es","none","digital_native","","","0.0","2017-12-04"
"624132","http://www.losanuncios.net/","Los Anuncios","GNQ","","es","","print_native","","","0.01","2017-04-17"
"624133","http://www.lagacetadeguinea.com/","La Gaceta de Guinea Ecuatorial","GNQ","","es","Mexico","print_native","","","0.0","2016-11-07"
"655728","http://www.guinea-ecuatorial.net/","Guinea Ecuatorial - Equatorial Guinea (Foreign)","GNQ","","es","","digital_native","","","0.0","2017-12-04"
"655729","http://www.gacetadeguinea.com/","La Gaceta de Guinea Ecuatorial - Equatorial Guinea (Foreign)","GNQ","","es","none","digital_native","","","0.0","2014-06-02"
"1176103","http://geconfidencial.blogspot.com/","geconfidencial.blogspot.com","","","","","","","","0.31","2020-08-24"
"1301516","http://asodeguesegundaetapa.org/","asodeguesegundaetapa.org","","","","","","","","0.3","2020-10-12"
"1403581","http://guineainfomarket.com/","guineainfomarket.com","","","","","","","","0.22","2020-10-12"
"1714060","https://www.eldiariodemalabo.com/","el diario de malabo - Noticias e Información en directo en Guinea Ecuatorial y en el Mundo","","","","","","","","0.0","2020-06-15"
