media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"18208","http://www.ahram.org.eg","الأهرام اليومى","EGY","","ar","none","print_native","","","0.0","2012-10-08"
"18210","http://shorouknews.com","بوابة الشروق","EGY","","ar","England","print_native","","","50.34","2012-09-17"
"18212","http://dostor.org","الدستور","EGY","","ar","none","print_native","","","0.0","2012-09-17"
"39519","http://www.almessa.net.eg/","almessa","EGY","","ar","none","print_native","","","0.0","2013-07-15"
"39648","http://www.alwafd.org/","alwafd","EGY","","ar","Arab Republic of Egypt","print_native","","","24.5","2013-03-11"
"41810","http://hebdo.ahram.org.eg/","ahram-hebdo","EGY","","fr","none","print_native","","","0.03","2013-06-17"
"63271","http://youm7.com/","youm7.com","EGY","","ar","Arab Republic of Egypt","print_native","","","4.71","2016-11-07"
"64427","http://almasryalyoum.com/","almasryalyoum.com","EGY","","ar","Nagano-ken","print_native","","","0.0","2013-05-20"
"64576","http://weekly.ahram.org.eg/","weekly.ahram.org.eg","EGY","","en","State of Israel","print_native","","","0.0","2013-06-03"
"66912","http://www.akhbarelyom.com/","أخبار اليوم - الصفحة الرئيسية","EGY","","ar","none","print_native","","","0.03","2016-01-25"
"66914","http://www.mena.org.eg/","Middle East News Agency","EGY","","ar","none","other","","","0.0","2014-06-16"
"66938","http://tahrirnews.com/","التحرير","EGY","","ar","none","print_native","","","0.0","2013-08-26"
"66947","http://www.cbc-eg.com/","CBC Egypt","EGY","","ar","none","video_broadcast","","","0.0","2014-06-30"
"66949","http://ontveg.com/","ONtv Official Website – الموقع الرسمي لقناة أون تي في | الموقع الرسمي لقناة أون تي في – ONtv Official Website","EGY","","ar","none","video_broadcast","","","0.0","2013-08-12"
"66952","http://madamasr.com","Mada Masr | مدى مصر","EGY","","en","Arab Republic of Egypt","digital_native","","","0.33","2013-08-12"
"66953","http://www.dailynewsegypt.com/","Daily News Egypt - Egypt’s Only Daily Independent Newspaper In English","EGY","","en","Arab Republic of Egypt","print_native","","","0.0","2013-08-12"
"70064","http://www.egyptindependent.com/#spider","egyptindependent.com","EGY","","en","none","digital_native","","","2.91","2014-11-17"
"99715","http://www.egypttoday.com/#spider","egypttoday.com","EGY","","en","Arab Republic of Egypt","print_native","","","0.01","2017-08-14"
"101580","http://egynews.net/#spider","egynews.net","EGY","","ar","none","video_broadcast","","","1.38","2017-11-06"
"102601","http://egyptianstreets.com/","Egyptian Streets | Independent Media","","","en","Arab Republic of Egypt","","","","0.32","2014-04-28"
"102690","http://alwatanalarabi.com","الوطن العربى","EGY","","ar","none","print_native","","","0.19","2014-04-28"
"102741","http://new.elfagr.org/","بوابة الفجر الالكترونية","EGY","","ar","none","print_native","","","48.48","2014-04-28"
"102749","http://english.ahram.org.eg/","Ahram Online - News, Business, Culture, Sports & Multimedia from Egypt","","","en","Arab Republic of Egypt","","","","0.0","2018-07-16"
"102759","http://masralarabia.com/","مصر العربية","EGY","","ar","none","digital_native","","","0.0","2016-10-24"
"108808","http://mubasher-misr.aljazeera.net/","mubasher-misr.aljazeera.net","EGY","","ar","none","video_broadcast","","","2.64","2017-10-30"
"266386","http://cairolive.com/","cairolive.com","EGY","","en","","digital_native","","","0.0","2017-08-21"
"266664","http://wataninet.com/","wataninet.com","EGY","","ar","none","print_native","","","8.67","2017-12-04"
"299956","http://egyptcmnews.com/index.php?lang=en","Egypt Commercial News","EGY","","en","","digital_native","","","0.0","2017-08-21"
"300441","http://www.nileinternational.net/","Nile TV International","EGY","","en","none","video_broadcast","","","0.0","2017-11-06"
"300528","http://www.sis.gov.eg/En/","http://www.sis.gov.eg/En/","EGY","","en","none","digital_native","","","0.0","2016-10-10"
"469402","http://middleeastobserver.org/","middleeastobserver.org","","","","","","","","0.0","2016-07-11"
"547116","http://cairotimes.com/","cairotimes.com","EGY","","en","","print_native","","","0.0","2017-12-04"
"624135","http://www.niletc.tv/","Nile Television Network","EGY","","ar","none","video_broadcast","","","0.48","2017-10-30"
"624136","http://www.sis.gov.eg/Ar/","SIS - Egypt (Arabic)","EGY","","ar","","digital_native","","","0.0","2017-11-13"
"624137","http://www.sis.gov.eg/Fr/","SIS - Egypt (French)","EGY","","fr","","digital_native","","","0.0","2017-11-13"
"652100","http://www.lepetitjournal.com/le-caire","Le Petit Journal - Egypt","EGY","","fr","","digital_native","","","0.0","2020-06-01"
"724981","http://elfagr.com/","elfagr.com","","","","","","","","39.33","2021-11-22"
"830496","http://alwafd.news/","alwafd.news","","","","","","","","23.0","2020-10-12"
"1345975","https://www.hashd-ahali.org/main/ahali/","Al ahali ","","","ar","none","","Issued by the Communist Party of Jordan","","0.14","2019-11-18"
"1714016","https://web.archive.org/web/20090210204247/http://progres.net.eg/","Le Progrès Egyptien","","","","","","","","2.71","2020-10-19"
"1714017","http://almessa.gomhuriaonline.com/","جريدة المساء","","","","","","","","3.46","2021-11-22"
"1714018","https://almaarif.edu.sg/","Madrasah Al Maarif Homepage - Madrasah Al Maarif","","","","","","","","0.0","2019-03-18"
