media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"19883","http://sg.news.yahoo.com","sg.news.yahoo.com","SGP","","en","none","digital_native","","","5.39","2016-08-15"
"39211","http://www.businesstimes.com.sg/","business-times","SGP","","en","none","print_native","","","0.12","2013-03-11"
"39731","http://www.todayonline.com/","todayonline","SGP","","en","none","print_native","","","0.02","2014-05-19"
"61969","https://www.straitstimes.com/","Strait Times","SGP","","","","print_native","","","11.57","2018-05-21"
"107795","http://zaobao.com.sg/","zaobao.com.sg","SGP","","zh","none","print_native","","","0.01","2018-06-25"
"270680","http://mypaper.sg/","mypaper.sg","SGP","","en","none","print_native","","","3.27","2019-08-26"
"300228","http://www.channelnewsasia.com/singapore/","Singapore","SGP","","en","none","video_broadcast","","","14.62","2016-08-15"
"318988","http://singaporenews.net/","singaporenews.net","SGP","","en","Republic of Singapore","digital_native","","","0.73","2018-05-07"
"345507","http://tnp.sg/","tnp.sg","SGP","","en","none","print_native","","","1.11","2019-08-26"
"656306","http://www.tamilmurasu.com.sg/","Tamil Murasu - Singapore","SGP","","ta","","print_native","","","0.24","2018-07-30"
"657752","http://beritaharian.sg/","Berita Harian","SGP","","ms","","print_native","","","0.0","2015-09-28"
"657753","http://www.wanbao.com.sg/","Lianhe Wanbao","SGP","","zh","","print_native","","","0.0","2014-04-21"
"657754","http://www.pravasiexpress.com/","Pravasi Express","SGP","","ml","none","print_native","","","0.14","2018-01-08"
"1720548","https://weekender.com.sg/","Weekender.Com.Sg","","","","","","","","0.13","2020-10-05"
"1720549","https://zbschools.sg/","ZBSchools.sg","","","","","","","","0.0","2020-10-12"
"1720550","https://www.goodpaper.sg/","GoodPaper","","","","","","","","0.0","2011-11-14"
"1720551","https://www.shinmin.sg/","新明日报","","","","","","","","0.0","2022-05-14"
"1720552","https://www.tabla.com.sg/","Tabla!","","","","","","","","0.0","2020-10-12"
"1720553","https://www.zaobao.com.sg/keywords/da-mu-zhi","大拇指","","","","","","","","0.0","2020-10-19"
