media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39301","http://www.novosti.rs/","novosti-rs","SRB","RS-00","sr","none","print_native","","","0.0","2013-03-11"
"40100","http://www.beta.rs/","Beta-RS-hr","SRB","","sr","none","other","","","3.64","2013-03-18"
"40338","http://www.glas-javnosti.rs/","GlasJavnosti-hr","SRB","RS-00","hr","none","print_native","","","0.0","2020-09-07"
"40585","http://www.ekapija.com","ekapija","SRB","","sr","none","digital_native","","","0.0","2013-05-27"
"56094","http://slobodnaevropa.org/","slobodnaevropa.org","SRB","","sr","none","video_broadcast","","","3.5","2013-04-29"
"56127","http://b92.net/","b92.net","SRB","","sr","none","video_broadcast","","","25.11","2013-06-03"
"57638","http://e-novine.com/","e-novine.com","SRB","","hr","none","digital_native","","","0.02","2013-04-29"
"58720","http://studiob.rs/","studiob.rs","SRB","RS-00","sr","none","video_broadcast","","","0.91","2015-12-07"
"60812","http://vreme.com/","vreme.com","SRB","","sr","none","print_native","","","0.98","2013-04-22"
"61005","http://blic.rs/","blic.rs","RUS","RS-00","sr","none","print_native","","","29.66","2013-05-06"
"64699","http://pressonline.rs/","pressonline.rs","SRB","RS-00","sr","Texas","print_native","","","0.96","2013-05-06"
"65308","http://danas.rs/","danas.rs","SRB","RS-00","sr","Provincia del Chimborazo","print_native","","","17.83","2017-11-06"
"208883","http://kurir.rs/","kurir.rs","SRB","RS-00","sr","none","print_native","","","28.9","2017-12-04"
"282380","http://svet.rs/","svet.rs","SRB","","sr","none","print_native","","","1.33","2017-10-30"
"282437","http://svetplus.com/","svetplus.com","SRB","","sr","La Habana","digital_native","","","0.94","2017-10-30"
"297371","http://nadlanu.com/","nadlanu.com","SRB","","sr","none","digital_native","","","1.88","2018-07-23"
"300177","http://www.b92.net/eng/","B92 - internet, radio and TV station; Latest news in English - on B92.net","SRB","","en","Serbia","video_broadcast","","","0.68","2016-10-10"
"300391","http://www.mfa.gov.rs/en/index.php?lang=eng","Ministry of Foreign Affairs of the Republic of Serbia","SRB","","en","Serbia","digital_native","","","0.0","2018-07-09"
"300540","http://www.srbija.gov.rs/?change_lang=en","Serbian Government","SRB","","en","none","digital_native","","","0.53","2016-08-15"
"353956","http://telegraf.rs/","telegraf.rs","SRB","RS-00","sr","none","print_native","","","18.92","2018-01-08"
"356647","http://preshevajone.com/","preshevajone.com","SRB","RS-24","sq","none","digital_native","","","0.18","2017-12-04"
"379102","http://mondo.rs/","mondo.rs","SRB","","sr","none","digital_native","","","14.07","2017-10-23"
"428688","http://beograd.rs/","beograd.rs","SRB","RS-00","sr","Serbia","digital_native","","","0.32","2017-12-04"
"522736","http://glasamerike.net/","glasamerike.net","SRB","","sr","none","video_broadcast","","","1.26","2017-10-30"
"624138","http://www.dw.com/sr/rubrike/s-10682","Deutsche Welle - Serbia","SRB","","sr","none","video_broadcast","","","0.61","2018-07-16"
"624139","http://www.happytv.tv/","Happy TV","SRB","","sr","","video_broadcast","","","7.96","2021-08-30"
"624140","http://rs.n1info.com/","N1 - Serbia","SRB","","sr","Serbia","video_broadcast","","","8.31","2017-11-06"
"624141","http://www.prva.rs/","PRVA","SRB","","sr","none","video_broadcast","","","2.49","2019-08-26"
"624142","http://www.radiobeograd.rs/","Radio Beograd","SRB","","sr","","video_broadcast","","","0.0","2018-04-16"
"624143","http://www.rts.rs/page/home/ci.html","RTS - Serbia (Serbian)","SRB","","sr","none","video_broadcast","","","6.52","2017-11-06"
"624144","http://www.pink.rs/","RTV Pink","SRB","","sr","United States","video_broadcast","","","23.08","2019-10-28"
"624145","http://www.smedia.rs/","S Media","SRB","","sr","","video_broadcast","","","0.0","2017-10-30"
"624147","http://www.ekapija.com/de/","E Kapija - Serbia (German)","SRB","","de","","digital_native","","","0.0","2018-03-26"
"624148","http://www.ekapija.com/en/","E Kapija - Serbia (English)","SRB","","en","","digital_native","","","0.0","2018-03-26"
"624149","https://www.krstarica.com/","Krstarica","SRB","","sr","none","digital_native","","","21.16","2017-11-06"
"624150","http://www.mfa.gov.rs/sr/index.php?lang=cyr","MFA - Serbia (Serbian)","SRB","","sr","none","digital_native","","","0.59","2018-07-09"
"624151","http://www.mozzartsport.com/","Mozzart Sport","SRB","","sr","none","digital_native","","","0.0","2017-11-06"
"624152","http://www.naslovi.net/","Naslovi","SRB","","sr","none","digital_native","","","22.4","2017-11-06"
"624153","http://noizz.rs/","Noizz - Serbia","SRB","","sr","United States","digital_native","","","0.13","2017-10-30"
"624154","http://www.pravda.rs/","Pravda - Serbia (Serbian)","SRB","","sr","none","digital_native","","","1.06","2017-10-30"
"624155","http://www.sportske.net/","Sportske Net","SRB","","sr","none","digital_native","","","6.06","2017-11-06"
"624156","http://www.srbija.gov.rs/?change_lang=cr","Srbija - Serbia (Serbian)","SRB","","sr","none","digital_native","","","1.6","2017-11-06"
"624157","http://www.hellomagazin.rs/","Hello - Serbia","SRB","","sr","none","print_native","","","2.0","2017-10-30"
"624158","http://www.nin.co.rs/?change_lang=sr","NIN - Serbia (Serbian)","SRB","","sr","none","print_native","","","0.66","2017-10-30"
"624159","http://www.nspm.rs/?alphabet=c","Nova Srpska Politicka Misao - Serbia (Serbian)","SRB","","sr","none","print_native","","","1.19","2017-10-30"
"624160","http://www.standard.rs/","Novi Standard","SRB","","sr","Serbia","print_native","","","0.7","2018-08-27"
"624161","http://www.politika.rs/scc","Politika - Serbia (Serbian)","SRB","RS-00","sr","none","print_native","","","5.21","2017-11-06"
"624162","http://www.beta-video.tv/","Beta TV","SRB","","sr","United Kingdom of Great Britain and Northern Ireland","other","","","0.6","2017-11-06"
"624163","http://www.fonet.rs/","Fonet","SRB","","sr","","other","","","0.0","2018-01-08"
"624164","http://www.sportskacentrala.com/","Sportska Centrala","SRB","","sr","none","other","","","2.98","2017-10-30"
"624165","http://www.tanjug.rs/index_en.aspx","Tanjug - Serbia (English)","SRB","","en","Serbia","other","","","1.02","2017-10-30"
"624166","http://www.tanjug.rs/index1.aspx","Tanjug - Serbia (Serbian)","SRB","","sr","none","other","","","13.22","2017-11-06"
"649862","http://www.sremskenovine.co.rs/","Naslovna","SRB","RS-02","sr","none","print_native","","","0.28","2017-12-04"
"653447","http://ntv.rs/","NTV - Serbia","SRB","RS-20","sr","none","video_broadcast","","","0.0","2016-01-25"
"653541","http://www.balkans.kp.ru/","Komsomolskaia Pravda - Serbia","SRB","RS-00","ru","","print_native","","","3.92","2020-08-31"
"653547","http://sremska.tv/","STV - Serbia","SRB","RS-07","sr","none","video_broadcast","","","19.87","2017-12-11"
"653641","http://www.hrvatskarijec.rs/","Hrvatska Rijec - Serbia","SRB","RS-01","hr","none","print_native","","","0.0","2017-12-04"
"653875","http://www.alo.rs/","Alo - Serbia","SRB","RS-00","sr","none","print_native","","","9.28","2018-07-23"
"654869","https://www.dnevnik.rs/","Dnevnik - Serbia","SRB","RS-06","sr","Serbia","print_native","","","5.86","2017-12-04"
"655671","http://www.rts.rs/page/home/sr.html","Radio televizija Srbije","SRB","","sr","none","video_broadcast","","","6.38","2017-12-04"
"656611","http://www.rtk.rs/","RTK - Serbia","SRB","RS-19","sr","none","video_broadcast","","","1.08","2017-12-04"
"656648","http://www.politika.rs/sr","- Početna","SRB","RS-00","sr","United States","print_native","","","4.51","2017-12-04"
"657247","http://www.tv5.rs/","TV 5 - Serbia","SRB","RS-16","sr","none","video_broadcast","","","0.97","2020-11-16"
"657429","http://libertatea.rs/","Libertatea - Serbia","SRB","RS-04","ro","none","print_native","","","0.33","2017-12-11"
"657479","http://www.pravda.rs/lat/","Почетна","SRB","","sr","none","digital_native","","","1.06","2017-12-04"
