media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"271","http://www.anorak.co.uk","Anorak News   ","GBR","","en","United Kingdom of Great Britain and Northern Ireland","digital_native","","","0.06","2011-01-10"
"1094","http://www.bbc.co.uk/?ok","BBC","GBR","","en","United Kingdom of Great Britain and Northern Ireland","video_broadcast","bbc notes","","25.67","2011-01-10"
"1106","http://www.economist.com/","Economist","GBR","","en","none","print_native","","","12.72","2011-07-25"
"1750","http://www.telegraph.co.uk/","Daily Telegraph","GBR","","","","print_native","","","10.29","2011-01-03"
"1754","http://www.thesun.co.uk/sol/homepage/","The Sun | The Best for News, Sport, Showbiz, Celebrities & TV | The Sun| The Sun","GBR","","en","United Kingdom of Great Britain and Northern Ireland","print_native","","","41.41","2016-07-11"
"4985","http://www.which4u.co.uk","which4u.co.uk","GBR","","en","United Kingdom of Great Britain and Northern Ireland","digital_native","","","0.0","2011-01-10"
"18204","http://www.bbc.co.uk/arabic/","‭BBC Arabic‬ - ‮الرئيسية‬","GBR","","ar","none","other","","","2.46","2012-09-10"
"18886","http://www.ft.com","ft.com","GBR","","","","print_native","","","22.57","2013-06-03"
"18933","http://www.newstatesman.com","New Statesman","GBR","","en","United Kingdom of Great Britain and Northern Ireland","print_native","","","1.43","2015-03-09"
"19524","https://news.sky.com/","Sky News","GBR","","en","none","video_broadcast","","","5.9","2014-02-17"
"20438","http://uk.reuters.com","uk.reuters.com","GBR","","en","none","other","","","0.07","2013-06-03"
"22680","http://blog.itv.com","blog.itv.com","GBR","","en","none","video_broadcast","","","0.0","2016-08-15"
"23156","http://www.huffingtonpost.co.uk","huffingtonpost.co.uk","GBR","","","","digital_native","","","2.71","2015-05-04"
"25287","http://www.metro.co.uk","metro.co.uk","GBR","","","","print_native","","","18.56","2013-06-10"
"26799","http://www.express.co.uk","express.co.uk","GBR","","","","print_native","","","39.09","2016-01-25"
"39017","http://www.walesonline.co.uk/","icWales","GBR","","en","United Kingdom of Great Britain and Northern Ireland","print_native","","","11.97","2013-03-11"
"39022","http://www.bbc.co.uk/news/","BBC News","GBR","","en","United Kingdom of Great Britain and Northern Ireland","video_broadcast","","","6.32","2013-05-20"
"39200","http://www.ibtimes.co.uk/","International Business Times UK","GBR","","","","digital_native","","","3.22","2013-03-11"
"39602","http://www.bbc.co.uk/zhongwen/simp/","BBC Chinese","GBR","","zh","none","video_broadcast","","","1.46","2013-03-11"
"40828","http://www.newsletter.co.uk/","newsletter","GBR","GB-BFS","en","United Kingdom of Great Britain and Northern Ireland","print_native","","","4.49","2016-04-11"
"40830","http://www.bbc.co.uk/mundo/","BBC Spanish","GBR","","es","none","video_broadcast","","","1.62","2013-03-11"
"40876","http://www.mirror.co.uk/","themirror","GBR","","","","print_native","","","30.81","2013-03-18"
"41150","http://www.independent.co.uk/","Independent","GBR","","","","digital_native","","","45.99","2013-03-18"
