media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38919","http://www.rizospastis.gr/","rizospastis","GRC","","el","none","print_native","","","4.2","2013-03-11"
"39073","http://www.alphatv.gr/","AlphaTV","GRC","","el","none","video_broadcast","","","5.92","2018-05-07"
"39631","http://www.amna.gr/","ana","GRC","","el","Republic of India","other","","","0.0","2013-05-20"
"39654","http://www.makthes.gr/","makthes","GRC","GR-B","el","Hellenic Republic","print_native","","","13.37","2016-10-10"
"39786","http://www.philenews.com","philenews","CYP","","el","none","print_native","","","0.3","2013-03-04"
"40209","http://elkosmos.gr","elkosmos","","","el","Diyālá","","","","1.38","2013-03-18"
"40211","http://www.ethnos.gr/default.asp","ethnos","GRC","","el","none","print_native","","","12.3","2013-03-18"
"40753","http://www.kathimerini.gr","kathimerini","GRC","","el","none","print_native","","","0.22","2013-05-27"
"40754","http://www.imerisia.gr/","imerisia","GRC","","el","none","print_native","","","6.9","2013-05-06"
"40839","http://www.stoxos.gr","stoxos","","","el","none","","","","5.22","2013-03-18"
"41356","http://www.tanea.gr/","tanea","GRC","","el","none","print_native","","","8.22","2013-03-18"
"55951","http://naftemporiki.gr/","naftemporiki.gr","GRC","","el","Hellenic Republic","print_native","","","12.24","2013-05-06"
"56227","http://blogs.athensvoice.gr/","blogs.athensvoice.gr","","","el","none","","","","0.0","2013-05-06"
"56953","http://ekathimerini.com/","ekathimerini.com","GRC","","en","Hellenic Republic","print_native","","","0.13","2013-05-06"
"59070","http://enet.gr/","enet.gr","GRC","","el","none","print_native","","","0.0","2013-04-29"
"113854","http://tovima.gr/","tovima.gr","GRC","","el","Hellenic Republic","print_native","","","9.93","2017-11-06"
"114252","http://enetenglish.gr/","enetenglish.gr","GRC","","","","print_native","","","0.0","2011-05-23"
"295413","http://en.protothema.gr/","en.protothema.gr","GRC","","en","none","print_native","","","1.18","2017-12-04"
"300142","http://www.amna.gr/en","ANA (English)","GRC","","en","Hellenic Republic","other","","","0.0","2016-10-10"
"300424","http://www.newsbomb.gr/en","NEWS | Newsbomb","GRC","","en","Hellenic Republic","digital_native","","","0.46","2016-08-29"
"309563","http://protothema.gr/","protothema.gr","GRC","","el","none","print_native","","","32.49","2017-12-04"
"318862","http://rodiaki.gr/","rodiaki.gr","GRC","GR-L","el","Hellenic Republic","print_native","","","0.0","2017-12-04"
"324853","http://tokarfi.gr/","tokarfi.gr","","","","","","","","0.6","2020-10-05"
"345386","http://efsyn.gr/","efsyn.gr","GRC","","","","","","","0.0","2015-10-05"
"357062","http://lifo.gr/","lifo.gr","","","","","","","","0.0","2020-10-12"
"559882","http://documentonews.gr/","documentonews.gr","","","","","","","","7.41","2020-10-12"
"564491","http://trakyaninsesi.com/","trakyaninsesi.com","GRC","GR-A","tr","none","print_native","","","0.42","2017-12-04"
"624170","http://www.antenna.gr/","ANT 1","GRC","","el","none","video_broadcast","","","0.0","2018-04-16"
"624171","http://www.megatv.com/default.asp","Mega","GRC","","el","","video_broadcast","","","5.93","2018-03-26"
"624172","http://www.novasports.gr/home.aspx?a_id=256","Nova Sports","GRC","","el","Hellenic Republic","video_broadcast","","","0.99","2017-10-30"
"624173","http://www.star.gr/Pages/Default.aspx","Star - Greece","GRC","","el","United States","video_broadcast","","","0.0","2017-10-30"
"624174","http://www.daypress.gr/","Day Press","GRC","","el","","digital_native","","","0.0","2018-04-16"
"624177","http://www.gavros.gr/","Gavros","GRC","","el","none","digital_native","","","0.0","2017-10-30"
"624178","http://ipop.gr/","I Pop","GRC","","el","none","digital_native","","","1.16","2017-11-06"
"624180","http://www.newsbomb.gr/","News Bomb - Greece (Modern Greek (1453-))","GRC","","el","Hellenic Republic","digital_native","","","27.2","2020-03-23"
"624181","http://www.newsbomb.gr/ru","News Bomb - Greece (Russian)","GRC","","ru","none","digital_native","","","0.48","2017-10-30"
"624182","http://www.newsit.gr/","News It","GRC","","el","none","digital_native","","","20.41","2017-11-06"
"624183","http://www.polispress.gr/","Polis Press","GRC","","el","none","digital_native","","","2.41","2017-10-30"
"624184","http://www.politisonline.com/","Politis Online","GRC","","el","none","digital_native","","","2.8","2017-11-06"
"652101","http://www.lepetitjournal.com/athenes","Le Petit Journal - Greece","GRC","","fr","","digital_native","","","0.0","2020-06-08"
"653595","http://www.metrogreece.gr/","Metro - Greece","GRC","","el","none","print_native","","","0.0","2015-02-23"
"653644","http://www.reporter.gr/","Reporter - Greece","GRC","","el","Hellenic Republic","print_native","","","8.34","2017-10-30"
"655538","http://www.alithia.gr/","Alithia - Greece","GRC","GR-K","el","Attica","print_native","","","0.46","2014-11-17"
"656031","http://www.thrakikigi.gr/","Thrakiki Gi","GRC","GR-A","el","","print_native","","","0.0","2016-12-05"
"656032","http://www.xronos.gr","Xronos","GRC","GR-A","el","none","print_native","","","0.28","2017-11-27"
"656033","http://www.agonas.gr/","Agonas","GRC","GR-A","el","none","print_native","","","0.59","2017-12-04"
"656034","http://www.agx.gr/","Aggelioxoros","GRC","","el","Hellenic Republic","print_native","","","2.6","2017-12-04"
"656035","http://www.alpha1.gr/","Alfa Ena","GRC","","el","none","print_native","","","0.89","2020-05-18"
"656036","http://www.athinapoli.gr/","Athina Poli","GRC","","el","none","print_native","","","1.7","2018-02-26"
"656037","http://www.athinorama.gr/","Athinorama","GRC","","el","","print_native","","","0.0","2018-04-23"
"656038","http://www.avgi.gr/","Avgi","GRC","","el","none","print_native","","","0.0","2017-12-04"
"656039","http://www.espressonews.gr/","Espresso","GRC","","el","none","print_native","","","3.69","2017-12-04"
