media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"59743","http://ultimahora.com/","ultimahora.com","PRY","","es","none","print_native","","","3.96","2013-05-06"
"61232","http://abc.com.py/","abc.com.py","PRY","","es","Republic of Paraguay","print_native","","","0.0","2013-05-06"
"62587","http://lanacion.com.py/","lanacion.com.py","PRY","","es","none","print_native","","","0.01","2013-04-29"
"64856","http://paraguay.com/","paraguay.com","PRY","","es","none","digital_native","","","0.11","2013-05-06"
"282543","http://hoy.com.py/","hoy.com.py","PRY","","es","United States","print_native","","","0.01","2018-06-18"
"325392","http://diariopopular.com.ar/","diariopopular.com.ar","ARG","AR-C","none","none","print_native","","","0.0","2016-12-26"
"344428","https://www.paraguay.gov.py/","Portal Paraguay","PRY","","es","none","other","","","1.66","2018-07-09"
"357911","http://5dias.com.py/","5dias.com.py","PRY","","es","none","print_native","","","0.0","2017-12-11"
"361276","http://www.rpc.com.py/","RPC - Red Paraguaya de Comunicación. Canal 13 - Paraguay.","PRY","","es","none","video_broadcast","","","0.0","2017-03-27"
"361277","http://www.redguarani.com.py/","Red Guarani","PRY","","es","none","video_broadcast","","","0.0","2016-12-26"
"361278","http://www.neike.com.py/","Neike – Periodismo cercano","PRY","","es","","digital_native","","","0.0","2016-06-06"
"361279","http://www.ppn.com.py/","Portal Paraguayo de Noticias","PRY","","es","none","digital_native","","","0.02","2017-07-17"
"361281","http://vivaparaguay.com/new/","Viva Paraguay","PRY","","es","none","digital_native","","","0.0","2016-12-26"
"624187","http://www.cardinal.com.py/","Cardinal","PRY","","es","none","video_broadcast","","","0.0","2017-11-06"
"624188","http://www.television.com.py/","TV PY","PRY","","es","United States","digital_native","","","0.12","2017-10-23"
"657237","http://www.capiatadigital.com/","Capiata Digital","PRY","PY-11","es","","digital_native","","","0.0","2018-10-01"
"657238","http://ellimpeno.com/","El Limpeno","PRY","PY-11","es","","digital_native","","","0.0","2018-06-25"
"657239","http://www.concepcion-py.com/","Concepcion Noticias","PRY","PY-1","es","none","digital_native","","","0.0","2017-12-04"
"657240","http://wochenblatt.cc/","Das Wochenblatt aus Paraguay","PRY","","de","none","print_native","","","0.97","2017-12-04"
"657242","http://www.itacom.com.py/","Itapua FM","PRY","PY-7","es","","video_broadcast","","","0.0","2018-06-25"
"840612","http://itapuanoticias.tv/","itapuanoticias.tv","","","","","","","","0.98","2020-10-19"
