media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"26649","http://outlookafghanistan.net","Daily Outlook Afghanistan","AFG","","","","print_native","","","0.0","2011-06-06"
"38737","http://www.afghanistan.ru/","Afghanistan.ru (Russian)","AFG","","ru","none","digital_native","","","0.31","2013-03-11"
"40697","http://www.afghanpaper.com/","Afghan Paper","AFG","","fa","Islamic Republic of Afghanistan","digital_native","","","0.0","2013-03-11"
"41166","http://www.avapress.com/","Ava Press (Farsi)","AFG","","fa","Central District","other","","","0.0","2013-05-20"
"41222","http://www.bakhtarnews.com.af/pashtu/","BakhtarNewsAgency-ps","AFG","","ps","","other","","","1.06","2020-11-30"
"41396","http://www.bakhtarnews.com.af/dari/","BakhtarNewsAgency-fa","AFG","","dar","","other","","","1.06","2020-11-30"
"41406","http://www.bakhtarnews.com.af/eng/","BakhtarNewsAgency-en","AFG","","en","","other","","","1.07","2020-11-30"
"62090","http://rferl.org/","rferl.org","ARM","","","","digital_native","","","1.89","2013-05-06"
"81702","http://kabulpress.org/#spider","kabulpress.org","AFG","","fa","Islamic Republic of Afghanistan","other","","","0.03","2018-11-26"
"89252","http://www.khaama.com/#spider","The Khaama Press News Agency","AFG","","en","Islamic Republic of Afghanistan","other","","","1.87","2016-08-01"
"91228","http://www.afghanistantimes.af/#spider","Afghanistan Times","AFG","","en","Islamic Republic of Afghanistan","print_native","","","0.0","2017-12-04"
"98256","http://www.afghanistan-analysts.org/#spider","Afghanistan Analysts Network","AFG","","en","Islamic Republic of Afghanistan","digital_native","","","8.61","2016-11-14"
"182712","http://afghanistannewscenter.com/","afghanistannewscenter.com","AFG","","","","digital_native","","","0.0","2018-04-16"
"222661","http://afghanistannews.net/","afghanistannews.net","AFG","","en","none","digital_native","","","1.59","2016-08-22"
"269787","http://afghanistansun.com/","afghanistansun.com","AFG","","en","none","digital_native","","","1.78","2016-08-15"
"269946","http://ariananet.com/","ariananet.com","AFG","","","","digital_native","","","0.0","2017-12-04"
"284308","http://wadsam.com/","Wadsam (English)","AFG","","en","Islamic Republic of Afghanistan","digital_native","","","0.28","2016-07-25"
"284309","http://thekabultimes.gov.af/","The Kabul Times","AFG","","en","Islamic Republic of Afghanistan","print_native","","","0.33","2017-12-04"
"299916","http://1sada.com/en/","1 Sada (English)","AFG","","","","digital_native","","","0.0","2021-11-29"
"299927","http://ariananews.af/?lang=en","Ariana News (English)","AFG","","en","Islamic Republic of Afghanistan","video_broadcast","","","0.8","2016-08-15"
"299958","http://en.afghanews.ir/","Afghanistan News","AFG","","en","none","digital_native","","","0.0","2016-11-07"
"299959","http://en.afghanistan.ru/","Afghanistan.Ru (English)","AFG","","","","digital_native","","","0.0","2015-10-19"
"300025","http://markazipress.com/en/","Markazi Press (English)","AFG","","","","digital_native","","","0.0","2016-02-01"
"300031","http://middleeastpress.com/english/","English - Middle East Press News Agency","AFG","","en","none","other","","","0.0","2016-08-15"
"300093","http://tkg.af/english/","The Killid Group (English)","AFG","","en","Islamic Republic of Afghanistan","video_broadcast","","","0.22","2017-08-14"
"300117","http://www.afghanislamicpress.com/en/","Afghan Islamic Press (AIP)","AFG","","en","Islamic Republic of Afghanistan","other","","","0.67","2017-12-11"
"300118","http://www.afghanistan-today.org/","Afghanistan Today: Features from Kabul and the provinces","AFG","","","","digital_native","","","0.0","2019-05-13"
"300119","http://www.afghanzariza.com/","Afghan Zariza (English)","AFG","","en","Islamic Republic of Afghanistan","print_native","","","0.0","2016-10-10"
"300148","http://www.ansarpress.com/english","Ansar Press (English)","AFG","","fa","none","digital_native","","","0.56","2017-04-24"
"300152","http://www.aopnews.com/","Afghan Online Press","AFG","","en","Islamic Republic of Afghanistan","digital_native","","","0.5","2016-08-15"
"300167","http://www.avapress.com/en/","Afghan Voice Agency (AVA)","AFG","","en","none","other","","","0.0","2017-04-17"
"300242","http://www.dawatmedia.com/","Dawat Media","AFG","","en","none","digital_native","","","0.88","2017-01-23"
"300293","http://www.gmic.gov.af/english/","Government Media & Information Center (English)","AFG","","en","Islamic Republic of Afghanistan","other","","","0.0","2016-07-11"
"300341","https://www.kabulpress.org/en","Kabul Press (English)","AFG","","fa","Islamic Republic of Afghanistan","other","","","0.03","2017-07-03"
"300466","http://www.pajhwok.com/en","Pajhwok Afghan News (English)","AFG","","en","Islamic Republic of Afghanistan","other","","","1.78","2013-09-23"
"300508","http://www.rta.org.af/eng/","National Radio Television of Afghanistan (English)","AFG","","en","Islamic Republic of Afghanistan","video_broadcast","","","0.0","2016-12-26"
"300583","http://www.tolonews.com","Tolo News","AFG","","en","Islamic Republic of Afghanistan","video_broadcast","","","1.1","2016-08-15"
"352522","http://darivoa.com/","darivoa.com","AFG","","fa","none","video_broadcast","","","1.47","2017-12-04"
"373667","http://middleeastpress.com/","Middle East Press (English)","AFG","","fa","none","other","","","0.0","2017-12-04"
"544618","http://salamwatandar.com/","Salam Watandar","AFG","","fa","Islamic Republic of Afghanistan","video_broadcast","","","0.74","2018-02-26"
"552346","http://pashtovoa.com/","pashtovoa.com","AFG","","ps","Islamic Republic of Afghanistan","video_broadcast","","","1.08","2017-12-04"
"561683","http://8am.af/","8am.af","AFG","","fa","Islamic Republic of Afghanistan","print_native","","","2.08","2013-06-24"
"649855","https://iwpr.net/global/afghanistan","Institute for War and Peace Reporting - Afghanistan","AFG","","","","digital_native","","","0.0","2019-04-15"
"650075","http://1tvnews.af/fa/","1 TV (Dargwa)","AFG","","dar","","video_broadcast","","","0.0","2019-12-09"
"650076","http://1tvnews.af/en/","1 TV (English)","AFG","","","","video_broadcast","","","0.0","2019-12-02"
"650077","http://1tvnews.af/ps/","1 TV (Pushto)","AFG","","ps","","video_broadcast","","","0.0","2019-12-02"
"650080","http://da.azadiradio.com/","Azadi Radio (Dargwa)","AFG","","fa","Kabul","video_broadcast","","","2.17","2017-12-04"
"650081","http://pa.azadiradio.com/","Azadi Radio (Pushto)","AFG","","ps","none","video_broadcast","","","1.98","2018-04-02"
"650082","http://www.bbc.com/persian/afghanistan","BBC (Dargwa)","AFG","","fa","none","video_broadcast","","","0.57","2014-09-22"
"650083","http://www.bbc.com/pashto","BBC (Pushto)","AFG","","ps","none","video_broadcast","","","1.46","2017-12-04"
"650947","http://parstoday.com/dari","Pars Today (Dari)","AFG","","fa","none","video_broadcast","","","2.39","2018-04-02"
"650948","http://parstoday.com/ps","Pars Today (Pushto)","AFG","","ps","none","video_broadcast","","","1.7","2018-04-02"
"650949","http://www.negaah.tv/","Negaah TV (English)","AFG","","","","video_broadcast","","","0.0","2019-12-02"
"650950","http://www.nooraf.tv/","Noor TV","AFG","","fa","none","video_broadcast","","","0.0","2017-12-11"
"650951","http://tkg.af/pashto/","The Killid Group (Pushto)","AFG","","ps","none","video_broadcast","","","0.84","2017-12-11"
"650952","http://www.farda.af/","Rah E Farda","AFG","","fa","none","video_broadcast","","","0.0","2017-04-17"
"650953","http://www.rta.org.af/","National Radio Television of Afghanistan  (Dargwa)","AFG","","fa","Islamic Republic of Afghanistan","video_broadcast","","","0.0","2018-01-01"
"650954","http://www.shamshadtv.tv/","Shamshad","AFG","","","","video_broadcast","","","0.0","2014-04-28"
"650955","http://tamadon.af/","Tamadon","AFG","","fa","none","video_broadcast","","","0.63","2020-02-03"
"650956","http://www.tolo.tv/videos/videos-news","Tolo TV","AFG","","en","Islamic Republic of Afghanistan","video_broadcast","","","0.0","2012-09-10"
"650957","http://www.tolonews.com/fa","Tolo News (Farsi)","AFG","","fa","none","video_broadcast","","","1.19","2017-12-04"
"650958","http://www.tolonews.com/pa","Tolo News (Pushto)","AFG","","ps","none","video_broadcast","","","1.11","2017-12-04"
"650960","http://1sada.com/","1 Sada (Dargwa)","AFG","","dar","","digital_native","","","0.0","2017-10-30"
"650961","http://1sada.com/pa/","1 Sada (Pushto)","AFG","","ps","","digital_native","","","0.0","2021-11-29"
"650964","http://www.dawatmedia24.com/","Dawat Media 24","AFG","","ps","none","digital_native","","","0.8","2017-12-04"
"650965","http://www.dailyafghanistan.com/","The Daily Afghanistan (Dargwa)","AFG","","","","print_native","","","0.0","2018-01-08"
"650966","http://www.ansarpress.com/farsi","Ansar Press (Farsi)","AFG","","fa","Union of Burma","digital_native","","","0.56","2017-12-04"
"650967","http://www.ariaye.com/","Ariaye","AFG","","","","digital_native","","","0.0","2018-07-02"
"650968","http://www.benawa.com/","Benawa","AFG","","ps","none","digital_native","","","0.52","2017-12-04"
"650969","http://www.farsi.ru/","Farsi (Dargwa)","AFG","","fa","none","digital_native","","","0.0","2017-12-11"
"650970","http://pa.farsi.ru/","Farsi (Pushto)","AFG","","ps","","digital_native","","","0.0","2012-04-09"
"650972","http://www.haqiqat.se/","Haqiqat","AFG","","fa","none","digital_native","","","0.11","2017-10-09"
"650973","http://jawedan.com/","Jawedan","AFG","","fa","none","digital_native","","","0.23","2017-12-11"
"650975","http://larawbar.net/","Larawbar","AFG","","ps","none","digital_native","","","0.06","2017-12-11"
"650976","http://markazipress.com/","Markazi Press (Dargwa)","AFG","","fa","none","digital_native","","","0.0","2017-12-04"
"650977","http://markazipress.com/pa/","Markazi Press (Pushto)","AFG","","ps","","digital_native","","","0.0","2015-09-28"
"650978","http://markazipress.com/ru/","Markazi Press (Russian)","AFG","","ru","","digital_native","","","0.0","2015-03-02"
"650979","http://markazipress.com/uz/","Markazi Press (Uzbek)","AFG","","uz","","digital_native","","","0.0","2015-02-16"
"650980","http://mashal.org/","Mashal","AFG","","fa","Islamic Republic of Afghanistan","digital_native","","","0.53","2018-01-08"
"650981","http://www.mehwar.news/","Mehwar","AFG","","ps","none","digital_native","","","0.0","2018-12-17"
"650982","http://www.payam-aftab.com/fa/","Payam e Aftab","AFG","","fa","none","digital_native","","","0.7","2017-12-04"
"650983","http://www.rohi.af/","Rohi","AFG","","ps","none","digital_native","","","0.0","2017-12-11"
"650984","http://www.sayahonline.com/","Sayah Online","AFG","","fa","none","digital_native","","","0.0","2017-11-06"
"650985","http://www.taand.com/","Taand (Pushto)","AFG","","ps","none","digital_native","","","0.0","2017-12-04"
"650986","http://www.tolafghan.com/","Tol Afghan","AFG","","ps","Medina","digital_native","","","0.24","2017-12-11"
