media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"5652","http://blog.ted.com/","TED Blog","","","en","United States","","","","0.22","2012-02-27"
"5785","http://blog.twitter.com/","Twitter Blog","","","en","United States","","","","0.1","2011-06-06"
"17998","http://234next.com/","234Next","","","en","United States","","","","0.0","2011-04-04"
"18002","http://www.coastalnews.com/","Coastal NEWS","","","en","Federal Republic of Nigeria","","","","0.0","2011-04-18"
"18004","http://www.champion.com.ng/","Daily Champion","NGA","","","","digital_native","","","0.0","2022-05-14"
"18005","https://www.independent.ng/","Daily Independent","","","it","Federal Republic of Nigeria","","","","6.69","2020-08-03"
"18007","http://www.desertherald.com/","Desert Herald","NGA","","en","Federal Republic of Nigeria","print_native","","","0.0","2014-10-20"
"18008","http://www.economicconfidential.com/ec/","Economic Confidential","","","en","Federal Republic of Nigeria","","","","0.79","2016-02-08"
"18012","http://newsdiaryonline.com/","NewsDiary Online","NGA","","en","Federal Republic of Nigeria","digital_native","","","5.71","2015-11-30"
"18013","http://www.newswatchngr.com/","Newswatch","","","en","United States","","","","0.0","2011-03-28"
"18015","http://www.nigeriannewsservice.com/","Nigerian News Service","NGA","","en","Federal Republic of Nigeria","digital_native","","","0.0","2015-11-02"
"18017","http://www.nigeriavillagesquare.com","Nigerian Village Square","NGA","","en","Federal Republic of Nigeria","digital_native","","","0.0","2015-09-14"
"18019","http://www.osundefender.org/","Osun Defender","NGA","","en","none","digital_native","","","1.06","2013-06-10"
"18020","http://www.peoplesdaily-online.com","Peoples Daily","","","en","none","","","","0.48","2012-06-25"
"18021","http://pmnewsnigeria.com/","PM News","NGA","","en","Federal Republic of Nigeria","print_native","","","4.51","2012-08-06"
"18022","http://www.pointblanknews.com/","Pointblanknews","","","en","Federal Republic of Nigeria","","","","1.0","2013-06-10"
"18023","http://www.punchng.com/","Punch","NGA","","en","Federal Republic of Nigeria","print_native","","","11.32","2014-11-03"
"18025","http://www.ngrguardiannews.com/","The Guardian (Nigeria)","NGA","","en","Federal Republic of Nigeria","print_native","","","6.48","2016-08-08"
"18027","http://www.sunnewsonline.com/","The Sun","USA","US-PA","en","Federal Republic of Nigeria","print_native","","","6.38","2016-08-15"
"18030","http://www.nigeriaplus.com/","Nigeria Plus","","","en","Federal Republic of Nigeria","","","","0.0","2011-04-04"
"18038","http://www.gbengasesan.com/","oro","","","en","Federal Republic of Nigeria","","","","0.0","2011-01-10"
"18048","http://www.nigerianmuse.com/","Nigerian Muse","NGA","","en","Federal Republic of Nigeria","digital_native","","","0.0","2011-10-31"
"18050","http://newnigerianpolitics.com/","New Nigerian Politics","","","en","Federal Republic of Nigeria","","","","0.89","2015-12-14"
"18052","http://www.thewillnigeria.com/","The Will Nigeria","","","en","Federal Republic of Nigeria","","","","3.74","2013-10-07"
"18055","http://www.akinblog.nl/","Akin","","","en","none","","","","0.33","2011-03-21"
"18057","http://www.naijafeed.com/","Najiafeed","","","en","Federal Republic of Nigeria","","","","0.37","2011-04-18"
"18059","http://kunledurojaiye.wordpress.com/","kunledurojaiye","","","","","","","","0.0","2014-03-10"
"18060","http://www.eienigeria.org/blog/","EnoughisEnough","NGA","","en","Federal Republic of Nigeria","digital_native","","","0.16","2017-06-05"
"18061","http://reclaimnaija.net/cms/blog","ReclaimNaija","","","en","none","","","","0.0","2016-10-03"
"24503","http://www.publicintegrity.org","Center for Public Integrity","","","en","United States","","","","0.12","2015-11-09"
"39646","http://www.guardiannewsngr.com/","guardiannewsngr","","","en","Kingdom of Sweden","","","","0.0","2013-05-20"
"41204","http://www.onlinenigeria.com/uk/","onlinenigeria","","","en","Federal Republic of Nigeria","","","","2.29","2013-04-01"
"41605","http://www.thisdaylive.com/","thisdayonline","NGA","","en","Federal Republic of Nigeria","print_native","","","0.44","2013-03-18"
"55456","http://blacklooks.org/","blacklooks.org","","","en","none","","","","0.0","2013-04-22"
"56336","http://mypenmypaper.wordpress.com/","mypenmypaper.wordpress.com","","","en","United States","","","","0.11","2013-05-06"
