media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39245","https://www.thegazette.news/","gazettebw","BWA","","","","print_native","","","0.11","2020-09-21"
"39836","http://www.mmegi.bw/","mmegi","BWA","","en","Republic of Botswana","print_native","","","5.43","2013-03-11"
"41561","http://www.sundaystandard.info/","sundaystandard","BWA","","en","Republic of Botswana","print_native","","","0.41","2013-03-18"
"109929","http://thevoicebw.com/","thevoicebw.com","BWA","","en","Republic of Botswana","print_native","","","0.57","2016-03-21"
"271623","http://www.botswanaguardian.co.bw/","Breaking & Latest News | Political, Business, Financial, Sport, Style, Lifestyle and Northern Extra - Botswana Guardian","BWA","","en","","print_native","","","0.0","2018-09-17"
"271624","http://www.themidweeksun.co.bw/","The Midweek Sun","BWA","","en","Republic of Botswana","print_native","","","0.0","2016-10-03"
"271625","http://ngamitimes.com/","Edition 784 18 - 28 March, 2016","BWA","","en","North West District","print_native","","","0.0","2016-04-04"
"300498","https://tunein.com/radio/RB1-Radio-Botswana-899-s95473/?lang=es-US","http://www.radiobotswana.gov.bw/","BWA","","","","video_broadcast","","","0.0","2021-11-22"
"653454","http://www.dailynews.gov.bw/","Daily News - Botswana","BWA","","en","","print_native","","","0.0","2017-12-04"
"653672","http://www.businessweekly.co.bw/","Business Weekly and Review","BWA","","en","Republic of Botswana","print_native","","","0.24","2017-08-21"
"653673","http://www.gabzfm.com/","Gabz FM","BWA","","en","Republic of Botswana","video_broadcast","","","0.0","2019-04-29"
"653674","http://www.thepatriot.co.bw/","Patriot - Botswana","BWA","","en","","print_native","","","0.0","2018-09-24"
"653685","http://www.weekendpost.co.bw/","Weekend Post - Botswana","BWA","","en","","print_native","","","0.22","2017-12-18"
"1702179","https://www.mmegi.bw/index.php?wid=2&sid=22","The Monitor :: News","","","","","","","","5.42","2020-10-05"
