media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"4879","http://aspotforjake.blogspot.com/","Welcome!","ROU","RO-MS","en","United States","video_broadcast","","","0.0","2011-01-03"
"38773","http://www.burundirealite.org/news.cfm?LANG=F","burundirealite-FR","BDI","","fr","Democratic Republic of the Congo","digital_native","","","0.0","2013-04-08"
"39283","http://www.arib.info/","arib-info","BDI","","fr","Bujumbura Mairie Province","digital_native","","","0.0","2013-07-15"
"39338","http://www.burundi-info.com/","burundi-info","BDI","","fr","none","digital_native","","","0.0","2013-05-13"
"41530","http://www.iwacu-burundi.org/","iwacu","BDI","BI-BM","fr","Republic of Kenya","print_native","","","0.39","2016-06-13"
"300205","http://www.burundirealite.org/news.cfm?LANG=E","Burundi Realities","BDI","","en","Republic of Burundi","digital_native","","","0.0","2016-10-10"
"550470","http://bonesha.bi/","bonesha.bi","BDI","","fr","","video_broadcast","","","0.0","2018-07-02"
"624064","http://netpress.com.mk/","Net Press","MKD","","mk","none","digital_native","","","5.19","2017-11-06"
"654923","http://www.isanganiro.org/","Radio Isanganiro","BDI","","fr","none","video_broadcast","","","0.36","2020-03-30"
"654924","http://www.rpa.bi/","Radio Publique Africaine","BDI","","fr","","video_broadcast","","","0.0","2021-03-29"
"654925","http://www.rtnb.bi/","RTNB","BDI","","fr","","video_broadcast","","","0.0","2018-07-02"
"654926","http://burundi-24.com/","Burundi 24","BDI","","en","","digital_native","","","0.0","2017-07-10"
"654927","http://www.burundi-sites.com/","Burundi Sites","BDI","","fr","","digital_native","","","0.0","2017-12-04"
"654928","http://www.burundi.gov.bi/","Gouvernement du Burundi","BDI","","fr","","digital_native","","","0.0","2018-08-20"
"654929","http://ppbdi.com/","PPB","BDI","","fr","","digital_native","","","0.01","2020-02-17"
"654930","http://www.umuco.com/","Umuco","BDI","","fr","","digital_native","","","0.03","2022-05-02"
"654931","http://www.bujumbura.be/","Agence Bujumbura News","BDI","","fr","","other","","","0.0","2018-05-21"
"654932","http://abpinfos.gov.bi/","Agence Burundaise de Presse","BDI","","fr","","other","","","0.0","2017-12-04"
"1706345","http://igihe.bi/","Murahawe ikaze - IGIHE.bi","","","","","","","","0.0","2018-11-12"
"1706346","http://burundisport.com/","Amakuru mashasha y'inkino kuri burundisport.com","","","","","","","","0.0","2020-10-12"
