media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39078","http://www.cameroononline.org/","cameroononline","CMR","","en","Republic of Cameroon","digital_native","","","0.16","2013-03-11"
"40305","http://www.cameroon-tribune.cm/","cameroon-tribune","CMR","CM-CE","fr","Republic of Cameroon","print_native","","","0.67","2013-05-20"
"40349","http://www.crtv.cm/","crtv","CMR","","en","Republic of Cameroon","video_broadcast","","","1.2","2017-12-11"
"40961","http://www.camer.be/","camer","CMR","","fr","Republic of Cameroon","digital_native","","","2.0","2013-03-18"
"41422","http://www.cameroon-info.net/","cameroon-info","CMR","","fr","Republic of Cameroon","digital_native","","","0.0","2013-03-18"
"299947","http://cameroonjournal.com/","http://cameroonjournal.com/","CMR","","en","Republic of Cameroon","digital_native","","","0.0","2016-08-08"
"300219","http://www.cameroonweb.com/","Cameroon HomePage, resource for News, Sports, Facts, Opinions, Business and Entertainment","CMR","","en","Republic of Cameroon","digital_native","","","0.0","2016-10-10"
"300485","http://www.postwatchmagazine.com/","Postwatch (Cameroon)","CMR","","en","","print_native","","","0.0","2012-02-06"
"326997","http://cameroun24.net/","cameroun24.net","CMR","","fr","","digital_native","","","0.0","2018-03-19"
"342550","http://camerpost.com/","camerpost.com","CMR","","fr","none","digital_native","","","0.0","2017-12-04"
"352890","http://mutations-online.info/","mutations-online.info","CMR","CM-CE","fr","","print_native","","","0.06","2018-02-19"
"510434","http://journalducameroun.com/","journalducameroun.com","CMR","","fr","none","digital_native","","","1.47","2017-12-04"
"564812","http://africapresse.com/","africapresse.com","CMR","","en","none","digital_native","","","0.93","2019-03-11"
"654935","http://www.bonaberi.com/","Bonaberi","CMR","","fr","","digital_native","","","0.0","2013-02-25"
"654936","http://www.camnews24.com/fr/","Cam News 24","CMR","","fr","none","digital_native","","","0.12","2018-01-08"
"654937","http://www.camerounlink.net/","Cameroun Link","CMR","","fr","","digital_native","","","0.0","2017-12-04"
"654938","http://www.cameroun-online.com/","Cameroun Online","CMR","","fr","none","digital_native","","","0.0","2020-09-28"
"654939","http://cameroonwebnews.com/","Cameroon Web News","CMR","","fr","","digital_native","","","0.0","2017-12-04"
"654940","http://www.news.mboa.info/","Mboa","CMR","","en","none","digital_native","","","0.0","2017-12-04"
"654941","http://newsducamer.com/","News du Camer","CMR","","fr","Republic of Cameroon","digital_native","","","0.34","2018-12-17"
"654942","http://germinalnewspaper.com/","Germinal","CMR","CM-CE","fr","","print_native","","","0.0","2016-11-14"
"654943","http://journal.rdpcpdm.cm/","L'Action - Cameroon","CMR","CM-CE","fr","Republic of Cameroon","print_native","","","0.18","2019-10-21"
"654944","http://www.lanouvelleexpression.info/","La Nouvelle Expression","CMR","CM-LT","fr","","print_native","","","0.0","2017-06-19"
"654945","http://www.leffortcamerounais.com/","L'Effort Camerounais (English)","CMR","CM-LT","en","","print_native","","","0.0","2018-04-23"
"654946","http://www.leffortcamerounais.info/","L'Effort Camerounais (French)","CMR","CM-LT","fr","","print_native","","","0.0","2017-12-18"
"654947","http://bamendaonline.net/","Bamenda Online","CMR","","en","Republic of Cameroon","digital_native","","","0.0","2017-11-27"
"654948","http://www.cameroonpostline.com/","Cameroon Post","CMR","","en","Republic of Cameroon","print_native","","","0.0","2017-11-13"
"654949","http://www.k-towndiary.com/","K Town Diary","CMR","","en","","digital_native","","","0.0","2017-12-04"
"654950","http://edennewspaper.org/","Eden","CMR","","en","none","print_native","","","0.0","2017-12-04"
