media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"28704","http://www.15min.lt/","m.15min.lt - Žinios gyvai (Mobili versija)","LTU","","lt","none","print_native","","","6.78","2013-04-01"
"28705","http://www.lrytas.lt/","lrytas.lt / Naujienos","LTU","","lt","none","print_native","","","15.1","2013-01-28"
"28710","http://www.lrt.lt/","Lietuvos nacionalinis radijas ir televizija - LRT","LTU","","lt","none","video_broadcast","","","17.08","2013-01-28"
"39996","http://kauno.diena.lt/","kaunodiena","LTU","","lt","none","print_native","","","0.33","2013-03-18"
"40414","http://www.kurier.lt/","kurier-lt","LTU","","ru","none","print_native","","","2.36","2013-03-18"
"40572","http://www.skrastas.lt/","skrastas","LTU","","lt","Republic of Lithuania","print_native","","","0.37","2016-01-18"
"41465","http://www.baltictimes.com/","BalticTimes","EST","EE-37","en","none","print_native","","","1.08","2013-03-18"
"41911","http://vz.lt","vz1","LTU","","lt","none","print_native","","","4.68","2013-07-01"
"62196","http://delfi.lt/","delfi.lt","LTU","","lt","none","digital_native","","","6.87","2016-05-30"
"261549","https://en.delfi.lt/","Delfi by The Lithuania Tribune","LTU","","lt","Republic of Lithuania","digital_native","","","5.64","2018-06-25"
"298453","http://bns.lt/","bns.lt","LTU","","lt","none","other","","","6.67","2017-12-04"
"300262","http://www.elta.lt/sablonas1.php?kalba=en","ELTA - Lithuanian and international news","LTU","","en","Republic of Lithuania","other","","","0.0","2016-10-10"
"655739","http://baltische-rundschau.eu/","Baltische Rundschau","EST","EE-37","de","none","print_native","","","0.17","2018-04-23"
"656701","http://www.bernardinai.lt/","Bernardinai","LTU","","lt","Kingdom of Belgium","digital_native","","","0.72","2017-12-04"
"656702","https://www.penki.lt/naujienos","Penki","LTU","","","","digital_native","","","0.0","2017-05-29"
"656704","http://www.magwil.lt/","Magazyn Wilenski","LTU","","pl","none","print_native","","","0.0","2017-09-18"
"656707","http://www.aidas.lt/","Lietuvos Aidas","LTU","","lt","","print_native","","","0.0","2019-05-13"
"656708","http://www.lzinios.lt/","Lietuvos Zinios - Lithuania (Nationwide)","LTU","","lt","none","print_native","","","0.0","2017-12-04"
"656709","http://www.elta.lt/sablonas1.php?kalba=lt","ELTA (Lithuanian)","LTU","","lt","","other","","","0.0","2017-12-18"
"656710","http://www.elta.lt/sablonas1.php?kalba=ru","ELTA (Russian)","LTU","","ru","","other","","","0.0","2017-12-18"
"656711","http://www.alytausnaujienos.lt/","Alytaus Naujienos","LTU","","lt","","print_native","","","0.0","2018-02-19"
"656712","http://www.dainavoszodis.lt/","Dainavos Zodis","LTU","","lt","none","print_native","","","0.28","2011-02-07"
"656714","http://www.druskonis.lt/","Druskonis","LTU","","lt","","print_native","","","0.0","2018-02-05"
"656715","http://www.jonavosnaujienos.lt/","Naujienos","LTU","","lt","none","print_native","","","0.17","2017-12-04"
"656716","http://www.kedainietis.lt/","Kedainietis","LTU","","lt","","digital_native","","","0.0","2018-10-01"
"656717","http://www.gyvenimas.eu/","Gyvenimas","LTU","","lt","none","print_native","","","0.36","2017-12-18"
"656718","http://www.gargzdai.lt/","Banga","LTU","","lt","","print_native","","","0.0","2017-12-04"
"656719","http://klaipeda.diena.lt/","Klaipeda","LTU","","lt","none","print_native","","","0.33","2017-11-20"
"656720","http://www.ve.lt/","Vakaru Ekspresas","LTU","","lt","Republic of Lithuania","print_native","","","5.01","2016-05-16"
"656721","http://www.suvalkietis.lt/","Suvalkietis","LTU","","lt","none","print_native","","","0.12","2020-02-10"
"656722","http://santaka.info/","Santaka","LTU","","lt","none","print_native","","","3.96","2014-02-17"
"656723","http://www.kmintys.lt/","Kupiskenu Mintys","LTU","","lt","none","print_native","","","0.53","2017-12-04"
"656724","http://www.panbalsas.lt/","Panevezio Balsas","LTU","","lt","none","print_native","","","1.18","2017-12-04"
"656725","http://www.sekunde.lt/","Sekunde","LTU","","lt","none","print_native","","","1.24","2017-12-04"
"656726","http://www.grokiskis.lt/","Gimtasis Rokiskis","LTU","","lt","none","print_native","","","0.71","2017-12-04"
"656728","http://www.snaujienos.lt/","Siauliu Naujienos","LTU","","lt","","print_native","","","0.0","2022-05-14"
"656729","http://www.siloaidas.lt/","Silo Aidas","LTU","","lt","","print_native","","","0.0","2017-09-11"
"656730","http://www.kurjeris.lt/","Taurages Kurjeris","LTU","","lt","none","print_native","","","0.41","2020-06-08"
"656731","http://www.tauragiskis.lt/","Tauragisciu Balsas","LTU","","lt","","print_native","","","0.0","2020-06-08"
"656732","http://www.budas.lt/","Budas Zemaiciu","LTU","","lt","","print_native","","","0.0","2017-01-30"
"656733","http://www.santarve.lt/","Santarve","LTU","","lt","none","print_native","","","0.11","2017-12-04"
"656734","http://laikrastisplunge.lt/","Plunge","LTU","","lt","","print_native","","","0.0","2022-05-14"
"656735","http://www.kalvotoji.lt/","Kalvotoji Zemaitija","LTU","","lt","none","print_native","","","0.24","2017-12-04"
"656736","http://tzinios.lt/","Telsiu Zinios","LTU","","lt","none","print_native","","","0.39","2018-06-18"
"656737","http://www.anyksta.lt/","Anyksta","LTU","","lt","none","print_native","","","0.0","2020-06-08"
"656738","http://udiena.lt/","Utenos Diena","LTU","","lt","none","print_native","","","0.28","2017-12-04"
"656739","http://www.kronika.lt/","Elektrenu Kronika","LTU","","lt","none","print_native","","","0.37","2017-12-04"
"656742","http://svencioniu.krastas.w3.lt/v2/","Svencionu Krastas","LTU","","lt","none","print_native","","","0.23","2017-12-04"
"656743","http://www.galve.lt/","Galve","LTU","","lt","none","print_native","","","0.01","2017-11-27"
"656744","http://www.traku-zeme.lt/","Traku Zeme","LTU","","lt","Trakai","print_native","","","0.53","2017-12-04"
"656745","http://www.gzeme.lt/","Gimtoji Zeme","LTU","","lt","none","print_native","","","0.42","2017-12-04"
"656746","http://ukzinios.lt/","Ukmerges Zinios","LTU","","lt","","print_native","","","0.0","2018-07-02"
"656747","http://kurierwilenski.lt/","Kurier Wilenski","LTU","","pl","none","print_native","","","0.58","2017-12-04"
"656748","http://www.laisvaslaikrastis.lt/","Laisvas Laikrastis","LTU","","lt","Republic of Lithuania","print_native","","","0.0","2017-12-04"
"656749","http://www.tygodnik.lt/","Tygodnik Wilenszczyzny","LTU","","pl","","print_native","","","0.0","2017-12-04"
