media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"42128","http://theliberiantimes.com/","theliberiantimes","","","en","none","","","","0.0","2014-08-11"
"63749","http://liberianobserver.com/","liberianobserver.com","LBR","LR-MO","en","Republic of Liberia","print_native","","","0.66","2017-06-19"
"71863","http://www.libyaherald.com/#spider","libyaherald.com","LBY","","en","Libya","digital_native","","","0.19","2017-02-06"
"114026","http://theperspective.org/","theperspective.org","LBR","","en","Republic of Liberia","digital_native","","","0.0","2016-10-10"
"127424","http://frontpageafricaonline.com/","frontpageafricaonline.com","LBR","LR-MO","en","Republic of Liberia","print_native","","","0.68","2017-12-04"
"143971","http://thenewdawnliberia.com/","thenewdawnliberia.com","LBR","LR-MO","en","Republic of Liberia","print_native","","","0.77","2018-03-26"
"144471","http://news.heritageliberia.net/","news.heritageliberia.net","LBR","LR-MO","","","print_native","","","0.0","2019-05-20"
"299987","http://gnnliberia.com/","GNN Liberia","LBR","","en","none","digital_native","","","0.44","2016-08-15"
"300085","http://theliberiandialogue.org/","The Liberian Dialogue","LBR","","en","Republic of Liberia","digital_native","","","0.06","2013-05-06"
"300206","http://www.bushchicken.com/","The Bush Chicken","LBR","","en","Republic of Liberia","digital_native","","","0.0","2016-08-15"
"300357","http://www.liberianforum.com/news.htm","Liberian Forum","LBR","","","","digital_native","","","0.0","2021-11-22"
"300358","http://www.liberianonline.com/","Welcome to LiberianOnline.com","LBR","","en","none","digital_native","","","0.0","2016-10-10"
"516568","http://libyaobserver.ly/","libyaobserver.ly","","","","","","","","1.02","2018-09-10"
"652927","http://www.thenewslib.com/","News - Liberia","LBR","LR-MO","en","Republic of Liberia","print_native","","","0.0","2017-12-04"
"656692","http://www.1847post.com/","1847 Post","LBR","","en","","digital_native","","","0.03","2017-05-01"
"656693"," http://newrepublicliberia.com/","New Republic  Liberia","LBR","LR-MO","en","Republic of Liberia","print_native","","","0.32","2019-09-23"
"702393","http://thenewdemocrat.info/","thenewdemocrat.info","","","en","Republic of Liberia","","","","0.0","2018-08-27"
"801084","http://inprofiledaily.com/","inprofiledaily – in all we do, we put Liberia first","LBR","","en","Republic of Liberia","print_native","","","0.0","2018-06-11"
"801085","http://eramagazine2018.blogspot.com/","The New Era Magazine","LBR","","","","digital_native","","","0.0","2018-03-26"
"801087","https://publicagenda1.com/","PUBLIC AGENDA NEWS","","","en","Republic of Liberia","","","","0.0","2018-06-25"
"1715861","https://www.theinquirernewspaper.com/","The Inquirer Newspaper","","","","","","","","0.0","2020-10-12"
"1715898","http://www.libyatimes.net/","The Libya Times - Home","","","","","","","","0.0","2020-06-01"
"1715899","https://en.albiladpress.com/","Albilad","","","","","","","","7.1","2020-10-12"
