media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39287","http://www.tripolipost.com/","tripolipost","LBY","","en","Libya","print_native","","","1.43","2019-06-10"
"71863","http://www.libyaherald.com/#spider","libyaherald.com","LBY","","en","Libya","digital_native","","","0.19","2017-02-06"
"217025","http://alwasat.ly/","alwasat.ly","","","ar","none","","","","0.0","2018-08-06"
"269952","http://libya-businessnews.com/","libya-businessnews.com","LBY","","en","Libya","digital_native","","","0.0","2016-08-15"
"300017","http://libyabizinfo.com/index.php?lang=en","Libya Business Info","LBY","","en","","digital_native","","","0.0","2018-01-08"
"300351","http://www.lana-news.ly/eng","Libyan News Agency - Home Page","LBY","","en","Libya","other","","","6.56","2021-11-22"
"300359","http://www.libyanewstoday.com/","LIBYA NEWS TODAY","LBY","","en","none","digital_native","","","0.0","2016-08-22"
"300360","http://www.libya-today.com/","LIBYA TODAY","LBY","","en","none","digital_native","","","0.0","2016-08-15"
"656644","http://www.ltv.ly/","LTV - Libya","LBY","","ar","none","video_broadcast","","","0.83","2017-12-11"
"656694","http://alnabaa.tv/","Al Nabaa","LBY","","ar","Libya","video_broadcast","","","0.0","2017-12-11"
"656697","http://www.akhbarlibya24.net/","Akhbar Libya 24","LBY","","ar","none","other","","","2.21","2017-12-11"
"656698","http://www.lana-news.ly/ara","Libya News Agency (Arabic)","LBY","","ar","Libya","other","","","6.62","2021-11-22"
"709264","http://218tv.net/","218tv.net","","","ar","none","","","","3.21","2018-12-10"
"1239564","http://arungmedia.com/","News","","","id","none","","","","0.43","2019-06-10"
