media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38966","http://www.journal.lu/","journal","LUX","","de","none","print_native","","","0.18","2013-07-15"
"39171","http://www.wort.lu/","WortLuxembourg","","","de","none","","","","3.11","2013-03-11"
"39734","http://www.tageblatt.lu/","tageblatt-lu","LUX","","de","none","print_native","","","1.94","2013-03-04"
"40378","http://www.lessentiel.lu/fr/","lessentiel-lu-lb","LUX","","fr","none","print_native","","","0.02","2013-03-11"
"40516","http://land.lu/","land","LUX","","de","Grand Duchy of Luxembourg","print_native","","","0.02","2013-03-11"
"300492","http://www.qdnd.vn/QDNDSite/en-US/72/72/Default.aspx","Error","","","vi","none","","","","0.0","2016-10-10"
"348811","http://jeudi.lu/","jeudi.lu","LUX","","fr","none","print_native","","","0.0","2017-12-04"
"422135","http://rtl.lu/","rtl.lu","LUX","","lb","none","video_broadcast","","","1.06","2017-12-04"
"517431","http://luxprivat.lu/","luxprivat.lu","LUX","","de","","print_native","","","0.0","2017-05-15"
"563763","http://lequotidien.lu/","lequotidien.lu","LUX","","fr","none","print_native","","","2.14","2017-12-04"
"653558","http://5minutes.rtl.lu/fr/actualite/","RTL (French)","LUX","","fr","United States","video_broadcast","","","4.96","2017-12-04"
"653560","https://www.expatica.com/lu","Expatica - Luxembourg","LUX","","en","Grand Duchy of Luxembourg","digital_native","","","0.03","2018-09-10"
"656750","http://www.eldo.lu/","Eldoradio","LUX","","lb","","video_broadcast","","","0.0","2018-04-30"
"656751","http://www.radiolatina.lu/","Radio Latina","LUX","","pt","none","video_broadcast","","","2.78","2019-06-10"
"656752","http://www.italiansinlux.com/","Italians in Lux","LUX","","th","none","digital_native","","","0.18","2017-11-27"
"656753","http://www.gemengen.lu/","Letzebuerger Gemengen","LUX","","fr","Grand Duchy of Luxembourg","print_native","","","0.0","2017-12-04"
"656754","http://www.revue.lu/","Revue","LUX","","de","none","print_native","","","0.11","2017-12-04"
"656755","http://www.wort.lu/de","Luxemburger Wort (German)","LUX","","de","none","print_native","","","2.86","2017-12-04"
"656756","http://www.wort.lu/fr","Luxemburger Wort (French)","LUX","","fr","none","print_native","","","1.47","2017-12-04"
"656757","https://luxtimes.lu/","Luxemburger Times (English)","LUX","","en","Grand Duchy of Luxembourg","print_native","","","1.14","2017-12-11"
"656758","http://www.wort.lu/pt","Contacto - Luxembourg","LUX","","pt","none","print_native","","","2.79","2017-12-11"
"656759","http://www.feierkrop.lu/","Den Neie Feierkrop","LUX","","de","","print_native","","","0.0","2017-12-04"
"656760","http://www.lessentiel.lu/de/","L'Essentiel (German)","LUX","","de","United States","print_native","","","0.0","2017-12-04"
"656761","http://www.woxx.lu/","Woxx","LUX","","de","none","print_native","","","0.41","2017-12-04"
"656762","http://www.zlv.lu/","Zeitung vum Letzebuerger Vollek","LUX","","de","","print_native","","","0.59","2019-05-13"
