media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39504","http://www.manilatimes.net/","manilatimes","PHL","PH-00","en","none","print_native","","","24.3","2016-07-11"
"59226","http://philstar.com/","philstar.com","PHL","PH-00","en","Republic of the Philippines","print_native","","","16.33","2013-04-29"
"69844","http://www.tempo.com.ph/#spider","tempo.com.ph","PHL","PH-00","en","Republic of the Philippines","print_native","","","0.78","2017-12-04"
"91851","http://www.tribune.net.ph/#spider","tribune.net.ph","PHL","PH-00","en","none","print_native","","","6.96","2018-07-30"
"94862","http://www.pinoyparazzi.com/#spider","pinoyparazzi.com","PHL","PH-00","tl","none","print_native","","","0.0","2016-11-28"
"126899","http://bworldonline.com/","bworldonline.com","PHL","PH-00","en","National Capital Region","print_native","","","1.98","2017-08-21"
"134881","http://malaya.com.ph/","malaya.com.ph","PHL","PH-00","en","none","print_native","","","3.58","2016-08-15"
"144905","http://inquirer.net/","inquirer.net","PHL","PH-00","en","Republic of the Philippines","print_native","","","7.22","2018-07-16"
"170807","http://businessmirror.com.ph/","businessmirror.com.ph","PHL","PH-00","en","Republic of the Philippines","print_native","","","5.48","2017-12-11"
"257184","http://manilastandardtoday.com/","manilastandardtoday.com","PHL","PH-00","en","Republic of the Philippines","print_native","","","0.0","2016-08-15"
"282527","http://journal.com.ph/","journal.com.ph","PHL","PH-00","en","Republic of the Philippines","print_native","","","0.49","2018-07-09"
"300382","http://www.mb.com.ph/","Manila Bulletin","PHL","PH-00","en","none","print_native","","","13.71","2016-08-15"
"311075","http://hatawtabloid.com/","hatawtabloid.com","PHL","PH-00","tl","Republic of the Philippines","print_native","","","1.66","2017-12-04"
"338575","http://bandera.inquirer.net/","bandera.inquirer.net","PHL","PH-00","tl","none","print_native","","","1.7","2017-12-04"
"349622","http://manilanews.net/","manilanews.net","PHL","PH-00","en","Republic of the Philippines","digital_native","","","6.61","2018-05-07"
"375810","http://www.manila-shimbun.com/","まにら新聞ウェブ","PHL","PH-00","ja","none","digital_native","","","1.46","2017-03-20"
"657249","http://pinoyweekly.org/new/","Pinoy Weekly - Philippines - National Capital Region","PHL","PH-00","tl","Republic of the Philippines","print_native","","","0.0","2017-11-27"
"657286","http://www.abante.com.ph/","Abante","PHL","PH-00","tl","none","print_native","","","3.01","2018-01-22"
"657287","http://www.abante-tonite.com/","Abante Tonite","PHL","PH-00","tl","none","print_native","","","1.54","2017-12-11"
"657288","http://www.philstar.com/pang-masa","Pang Masa","PHL","PH-00","en","Republic of the Philippines","print_native","","","16.57","2013-06-10"
"657289","http://www.philstar.com/ngayon","Pilipino Star Ngayon","PHL","PH-00","en","Republic of the Philippines","print_native","","","16.42","2013-07-08"
"657290","http://www.pinasglobal.com/","Pinas","PHL","PH-00","tl","none","print_native","","","0.11","2017-12-04"
"657291","http://www.remate.ph/","Remate","PHL","PH-00","tl","Republic of the Philippines","print_native","","","5.39","2018-06-18"
"657292","http://www.shangbao.com.ph/","Shangbao","PHL","PH-00","zh","","print_native","","","0.0","2017-12-04"
"657293","http://www.sunstar.com.ph/manila","Sun Star Manila","PHL","PH-00","en","Republic of the Philippines","print_native","","","0.0","2017-12-04"
