media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39279","http://www.walf-groupe.com/","walf","SEN","SN-DK","fr","none","print_native","","","0.22","2017-08-21"
"40136","http://www.lesoleil.sn/","lesoleil","SEN","SN-DK","fr","none","print_native","","","0.73","2019-08-26"
"40782","http://www.rewmi.com/","rewmi","SEN","","fr","none","digital_native","","","1.21","2013-03-18"
"41364","http://www.lequotidien.sn/","lequotidien","SEN","SN-DK","fr","none","print_native","","","0.0","2018-07-16"
"41528","http://www.lagazette.sn/","lagazette","SEN","SN-DK","fr","Republic of France","print_native","","","0.0","2013-05-20"
"41725","http://www.sudonline.sn/","sudonline","SEN","SN-DK","fr","Republic of Senegal","print_native","","","0.0","2014-04-28"
"55853","http://leral.net/","leral.net","SEN","","fr","none","digital_native","","","4.47","2013-05-06"
"59561","http://sen24heures.com/","sen24heures.com","SEN","","fr","none","digital_native","","","0.0","2013-08-26"
"62520","http://seneweb.com/","seneweb.com","SEN","","fr","none","digital_native","","","0.0","2013-05-06"
"143933","http://dakaractu.com/","dakaractu.com","SEN","","fr","none","digital_native","","","3.78","2018-08-27"
"144283","http://rts.sn/","rts.sn","SEN","","fr","","video_broadcast","","","0.11","2020-07-20"
"178979","http://senego.com/","senego.com","SEN","","fr","none","digital_native","","","5.56","2017-12-04"
"203787","http://au-senegal.com/","au-senegal.com","SEN","","fr","none","digital_native","","","0.17","2017-12-04"
"565276","http://sen360.com/","sen360.com","SEN","","fr","none","digital_native","","","0.0","2017-12-04"
"657665","http://www.actusen.com/","Actu Sen","SEN","","fr","none","digital_native","","","0.0","2017-12-04"
"657666","http://www.arenebi.com/","Arenebi","SEN","","fr","Republic of France","digital_native","","","0.0","2017-12-04"
"657667","http://www.homeviewsenegal.com/","Home View Senegal","SEN","","fr","none","digital_native","","","0.0","2017-12-04"
"657668","http://www.igfm.sn/","IG FM","SEN","","fr","Dakar","digital_native","","","0.0","2018-07-16"
"657669","http://www.infosen.net/","Info Sen","SEN","","fr","","digital_native","","","0.0","2017-12-04"
"657670","http://www.leuksenegal.com/","Leuk Senegal","SEN","","fr","none","digital_native","","","0.18","2017-05-29"
"657671","http://www.senenews.com/","Sene News","SEN","","fr","Republic of France","digital_native","","","5.8","2018-02-12"
"657672","http://www.sénégal.info/","Senegal","SEN","","fr","none","digital_native","","","0.0","2017-12-11"
"657673","http://xalimasn.com/","Xalima","SEN","","fr","Piemonte","digital_native","","","2.1","2017-12-04"
"657674","http://www.aps.sn/","Agence de Presse Senegalaise","SEN","","fr","Dakar","other","","","2.61","2017-12-04"
"657675","http://www.enqueteplus.com/","Enquete Plus","SEN","SN-DK","fr","none","print_native","","","0.59","2017-12-04"
"1286926","http://nouvelhorizon.sn/","nouvelhorizon.sn","","","","","","","","0.0","2020-10-12"
