media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38759","http://expert.org.ua/","expert-ua","UKR","","ru","none","digital_native","","","0.0","2013-03-11"
"38779","http://uwtoday.com.ua/","uwtoday","UKR","","ru","none","print_native","","","0.0","2013-01-07"
"39007","http://podrobnosti.ua/","podrobnosti","UKR","","ru","none","digital_native","","","0.0","2013-03-18"
"39013","http://dt.ua/","dt-ua","UKR","","uk","none","print_native","","","8.06","2014-08-18"
"39281","http://5.ua/","5-ua-uk","UKR","","uk","none","video_broadcast","","","0.0","2013-03-18"
"39302","http://www.unian.ua/","unian","UKR","","uk","none","other","","","18.66","2013-05-27"
"39523","http://kreschatic.kiev.ua/","kreschatic-uk","UKR","","uk","none","print_native","","","0.0","2013-03-18"
"39551","http://24tv.ua/?lang=ru","24tv-ru","UKR","","ru","none","video_broadcast","","","23.84","2018-03-26"
"39630","http://www.for-ua.com/","forum-ua-ru","UKR","","ru","Voronezhskaya Oblast’","digital_native","","","0.79","2013-05-27"
"39651","http://zik.ua/ru/","zik-ru","UKR","","ru","none","other","","","0.08","2016-02-15"
"39676","http://www.pravda.com.ua/rus/","pravda-ua-ru","UKR","","ru","none","print_native","","","22.82","2013-06-03"
"39683","http://atn.ua/","atn-ua","UKR","","ru","none","other","","","0.0","2013-03-18"
"39694","http://zik.ua/pl/","zik-pl","UKR","","uk","none","other","","","0.08","2015-12-14"
"39719","http://www.unn.com.ua/ru/","unn-ru","UKR","","ru","none","other","","","16.21","2013-03-18"
"39813","http://liga.net/","ligakiev","UKR","","ru","none","digital_native","","","11.33","2013-05-20"
"39887","http://zik.ua/en/","zik-en","UKR","","en","Ukraine","other","","","0.07","2015-12-14"
"39901","http://www.whatson-kiev.com/","whatson-kiev","UKR","","en","none","print_native","","","0.0","2013-03-11"
"39956","http://vvnews.info/","vvnews","UKR","","ru","Commonwealth of Australia","print_native","","","0.14","2013-03-18"
"40005","http://www.zik.ua/","zik","UKR","","uk","none","other","","","0.07","2013-05-27"
"40079","http://www.expres.ua/","expres-ua","UKR","","uk","none","print_native","","","0.0","2013-03-18"
"40149","http://www.korrespondent.net/","korrespondent","UKR","","ru","none","print_native","","","0.0","2013-05-20"
"40308","http://vecherniy.kharkov.ua/","vecherniy","UKR","","ru","none","print_native","","","1.42","2013-05-27"
"40329","http://www.delo.ua/","delo-ua","UKR","","ru","none","print_native","","","6.04","2013-05-20"
"40400","http://tvplus.dn.ua/","tvplus","UKR","","ru","none","print_native","","","1.06","2013-05-20"
"40442","http://www.mignews.com","mignews","UKR","","ru","State of Israel","digital_native","","","16.84","2013-05-20"
"40451","http://glavnoe.ua/","glavnoe-ua-ru","UKR","","ru","United States","digital_native","","","4.96","2013-03-18"
"40490","http://rg.kiev.ua/","rg-kiev","UKR","","ru","none","print_native","","","0.0","2013-03-11"
"40532","http://www.ura-inform.com/","ura-inform","UKR","","ru","none","other","","","1.26","2013-03-18"
"40568","http://www.komunist.com.ua/","komunist","UKR","","ru","Distrito Federal","print_native","","","0.0","2012-01-09"
"40622","http://www.segodnya.ua/","segodnya","UKR","","ru","none","print_native","","","16.54","2013-03-18"
"40630","http://www.gazeta.ua/","gazeta-ua-uk","UKR","","uk","none","print_native","","","0.0","2013-05-27"
"40635","http://www.apk-inform.com/en","apk-inform","UKR","","en","none","other","","","0.03","2013-03-18"
"40674","http://gazeta.ua/ru/","gazeta-ua-ru","UKR","","ru","none","print_native","","","0.0","2013-03-18"
"40675","http://dnews.donetsk.ua/","dnews-don","UKR","","ru","none","print_native","","","0.0","2014-06-16"
"40686","http://ukranews.com/uk/","ukranews2-uk","UKR","","ru","none","digital_native","","","0.0","2013-03-18"
"40720","http://ukranews.com/ru/","ukranews2-ru","UKR","","ru","Ukraine","digital_native","","","0.0","2013-03-18"
