Country,Alpha3-code,M49-code,Region1,Region2,Continent
Afghanistan,AFG,4,Southern Asia,,Asia
Åland Islands,ALA,248,Northern Europe,,Europe
Albania,ALB,8,Southern Europe,,Europe
Algeria,DZA,12,Northern Africa,,Africa
American Samoa,ASM,16,Polynesia,,Oceania
Andorra,AND,20,Southern Europe,,Europe
Angola,AGO,24,Middle Africa,Sub-Saharan Africa,Africa
Anguilla,AIA,660,Caribbean,Latin America and the Caribbean,North America
Antarctica,ATA,10,Antarctica,,Antarctica
Antigua and Barbuda,ATG,28,Caribbean,Latin America and the Caribbean,North America
Argentina,ARG,32,South America,Latin America and the Caribbean,South America
Armenia,ARM,51,Western Asia,,Asia
Aruba,ABW,533,Caribbean,Latin America and the Caribbean,North America
Australia,AUS,36,Australia and New Zealand,,Oceania
Austria,AUT,40,Western Europe,,Europe
Azerbaijan,AZE,31,Western Asia,,Asia
Bahamas,BHS,44,Caribbean,Latin America and the Caribbean,North America
Bahrain,BHR,48,Western Asia,,Asia
Bangladesh,BGD,50,Southern Asia,,Asia
Barbados,BRB,52,Caribbean,Latin America and the Caribbean,North America
Belarus,BLR,112,Eastern Europe,,Europe
Belgium,BEL,56,Western Europe,,Europe
Belize,BLZ,84,Central America,Latin America and the Caribbean,North America
Benin,BEN,204,Western Africa,Sub-Saharan Africa,Africa
Bermuda,BMU,60,Northern America,,North America
Bhutan,BTN,64,Southern Asia,,Asia
Bolivia Plurinational State of,BOL,68,South America,Latin America and the Caribbean,South America
"Bonaire, Sint Eustatius and Saba",BES,535,Caribbean,Latin America and the Caribbean,North America
Bosnia and Herzegovina,BIH,70,Southern Europe,,Europe
Botswana,BWA,72,Southern Africa,Sub-Saharan Africa,Africa
Bouvet Island,BVT,74,South America,Latin America and the Caribbean,South America
Brazil,BRA,76,South America,Latin America and the Caribbean,South America
British Indian Ocean Territory,IOT,86,Eastern Africa,Sub-Saharan Africa,Africa
British Virgin Islands,VGB,92,Caribbean,Latin America and the Caribbean,North America
Brunei Darussalam,BRN,96,South-eastern Asia,,Asia
Bulgaria,BGR,100,Eastern Europe,,Europe
Burkina Faso,BFA,854,Western Africa,Sub-Saharan Africa,Africa
Burundi,BDI,108,Eastern Africa,Sub-Saharan Africa,Africa
Cabo Verde,CPV,132,Western Africa,Sub-Saharan Africa,Africa
Cambodia,KHM,116,South-eastern Asia,,Asia
Cameroon,CMR,120,Middle Africa,Sub-Saharan Africa,Africa
Canada,CAN,124,Northern America,,North America
Cayman Islands,CYM,136,Caribbean,Latin America and the Caribbean,North America
Central African Republic,CAF,140,Middle Africa,Sub-Saharan Africa,Africa
Chad,TCD,148,Middle Africa,Sub-Saharan Africa,Africa
Chile,CHL,152,South America,Latin America and the Caribbean,South America
China,CHN,156,Eastern Asia,,Asia
Hong Kong,HKG,344,Eastern Asia,,Asia
Macao,MAC,446,Eastern Asia,,Asia
Christmas Island,CXR,162,Australia and New Zealand,,Oceania
Cocos (Keeling) Islands,CCK,166,Australia and New Zealand,,Oceania
Colombia,COL,170,South America,Latin America and the Caribbean,South America
Comoros,COM,174,Eastern Africa,Sub-Saharan Africa,Africa
Republic of the Congo,COG,178,Middle Africa,Sub-Saharan Africa,Africa
Cook Islands,COK,184,Polynesia,,Oceania
Costa Rica,CRI,188,Central America,Latin America and the Caribbean,North America
Côte d'Ivoire,CIV,384,Western Africa,Sub-Saharan Africa,Africa
Croatia,HRV,191,Southern Europe,,Europe
Cuba,CUB,192,Caribbean,Latin America and the Caribbean,North America
Curaçao,CUW,531,Caribbean,Latin America and the Caribbean,North America
Cyprus,CYP,196,Western Asia,,Asia
Czechia,CZE,203,Eastern Europe,,Europe
North Korea,PRK,408,Eastern Asia,,Asia
Democratic Republic of the Congo,COD,180,Middle Africa,Sub-Saharan Africa,Africa
Denmark,DNK,208,Northern Europe,,Europe
Djibouti,DJI,262,Eastern Africa,Sub-Saharan Africa,Africa
Dominica,DMA,212,Caribbean,Latin America and the Caribbean,North America
Dominican Republic,DOM,214,Caribbean,Latin America and the Caribbean,North America
Ecuador,ECU,218,South America,Latin America and the Caribbean,South America
Egypt,EGY,818,Northern Africa,,Africa
El Salvador,SLV,222,Central America,Latin America and the Caribbean,North America
Equatorial Guinea,GNQ,226,Middle Africa,Sub-Saharan Africa,Africa
Eritrea,ERI,232,Eastern Africa,Sub-Saharan Africa,Africa
Estonia,EST,233,Northern Europe,,Europe
Eswatini,SWZ,748,Southern Africa,Sub-Saharan Africa,Africa
Ethiopia,ETH,231,Eastern Africa,Sub-Saharan Africa,Africa
Falkland Islands (Malvinas),FLK,238,South America,Latin America and the Caribbean,South America
Faroe Islands,FRO,234,Northern Europe,,Europe
Fiji,FJI,242,Melanesia,,Oceania
Finland,FIN,246,Northern Europe,,Europe
France,FRA,250,Western Europe,,Europe
French Guiana,GUF,254,South America,Latin America and the Caribbean,South America
French Polynesia,PYF,258,Polynesia,,Oceania
French Southern Territories,ATF,260,Eastern Africa,Sub-Saharan Africa,Africa
Gabon,GAB,266,Middle Africa,Sub-Saharan Africa,Africa
Gambia,GMB,270,Western Africa,Sub-Saharan Africa,Africa
Georgia,GEO,268,Western Asia,,Asia
Germany,DEU,276,Western Europe,,Europe
Ghana,GHA,288,Western Africa,Sub-Saharan Africa,Africa
Gibraltar,GIB,292,Southern Europe,,Europe
Greece,GRC,300,Southern Europe,,Europe
Greenland,GRL,304,Northern America,,North America
Grenada,GRD,308,Caribbean,Latin America and the Caribbean,North America
Guadeloupe,GLP,312,Caribbean,Latin America and the Caribbean,North America
Guam,GUM,316,Micronesia,,Oceania
Guatemala,GTM,320,Central America,Latin America and the Caribbean,North America
Guernsey,GGY,831,Northern Europe,Channel Islands,Europe
Guinea,GIN,324,Western Africa,Sub-Saharan Africa,Africa
Guinea-Bissau,GNB,624,Western Africa,Sub-Saharan Africa,Africa
Guyana,GUY,328,South America,Latin America and the Caribbean,South America
Haiti,HTI,332,Caribbean,Latin America and the Caribbean,North America
Heard Island and McDonald Islands,HMD,334,Australia and New Zealand,,Oceania
Holy See,VAT,336,Southern Europe,,Europe
Honduras,HND,340,Central America,Latin America and the Caribbean,North America
Hungary,HUN,348,Eastern Europe,,Europe
Iceland,ISL,352,Northern Europe,,Europe
India,IND,356,Southern Asia,,Asia
Indonesia,IDN,360,South-eastern Asia,,Asia
Iran,IRN,364,Southern Asia,,Asia
Iraq,IRQ,368,Western Asia,,Asia
Ireland,IRL,372,Northern Europe,,Europe
Isle of Man,IMN,833,Northern Europe,,Europe
Israel,ISR,376,Western Asia,,Asia
