Country,Press Freedom
Norway,92.65
Denmark,90.27
Sweden,88.84
Estonia,88.83
Finland,88.42
Ireland,88.3
Portugal,87.07
Costa Rica,85.92
Lithuania,84.14
Liechtenstein,84.03
New Zealand,83.54
Jamaica,83.35
Seychelles,83.33
Switzerland,82.72
Iceland,82.69
Germany,82.04
Timor-Leste,81.89
Namibia,81.84
Canada,81.74
Czech Republic,80.54
Luxembourg,79.81
Latvia,79.17
Belgium,78.86
United Kingdom,78.71
Trinidad and Tobago,78.68
France,78.53
Slovakia,78.37
Netherlands,77.93
Argentina,77.28
Dominican Republic,76.9
Austria,76.74
Spain,76.71
Bhutan,76.46
Guyana,76.41
South Africa,75.56
Cabo Verde,75.37
Ivory Coast,74.46
Taiwan,74.08
Australia,73.77
Moldova,73.47
Burkina Faso,73.12
United States,72.74
South Korea,72.11
Uruguay,72.03
Samoa,71.39
Sierra Leone,71.03
Belize,70.67
Croatia,70.42
Tonga,69.74
Gambia,69.25
Armenia,68.97
Suriname,68.95
Andorra,68.79
Slovenia,68.54
OECS,68.49
Romania,68.46
North Macedonia,68.44
Italy,68.16
Niger,67.8
Ghana,67.43
Kosovo,67
Papua New Guinea,66.66
Montenegro,66.54
Mauritius,66.07
Cyprus,65.97
Poland,65.64
Bosnia-Herzegovina,65.64
Ecuador,64.61
Kenya,64.59
Haïti,64.55
Japan,64.37
Kyrgyzstan,64.25
Senegal,63.07
Panama,62.78
Liberia,62.77
Nepal,62.67
Peru,61.75
Malta,61.55
Serbia,61.51
Malawi,61.4
Northern Cyprus,61.08
Chile,60.61
Comoros,60.16
Guinea,59.82
Hungary,59.8
Israel,59.62
Maldives,59.55
Lesotho,59.39
Georgia,59.3
Mongolia,59.17
Bulgaria,59.12
Guinea Bissau,58.79
Republic of the Congo,58.64
Tunisia,58.49
Botswana,58.49
Paraguay,58.36
Mauritania,58.1
Madagascar,58.02
Angola,57.17
Togo,57.17
Central African Republic,56.96
Fiji,56.91
Albania,56.41
Chad,56.18
Gabon,56
Ukraine,55.76
Burundi,55.74
Greece,55.52
Zambia,55.4
Brazil,55.36
Mali,54.48
El Salvador,54.09
Malaysia,51.55
Ethiopia,50.53
Thailand,50.15
Mozambique,49.89
Indonesia,49.27
Cameroon,49.1
Qatar,49.03
Jordan,48.66
Benin,48.39
Kazakhstan,48.28
Tanzania,48.28
Guatemala,47.94
Democratic Republic of the Congo,47.66
Bolivia,47.58
Mexico,47.57
South Sudan,47.06
Nigeria,46.79
Lebanon,46.58
Eswatini,46.42
Uganda,46.35
Uzbekistan,45.74
Algeria,45.53
Morocco,45.42
Rwanda,45.18
Zimbabwe,44.94
United Arab Emirates,44.46
Singapore,44.23
Somalia,44.01
Equatorial Guinea,43.96
Cambodia,43.48
Libya,43.16
Brunei,42.53
Colombia,42.43
Sri Lanka,42.13
Philippines,41.84
Hong Kong,41.64
Turkey,41.25
India,41
Sudan,40.96
Tajikistan,40.26
Belarus,39.62
Azerbaijan,39.4
Russia,38.82
Afghanistan,38.27
Pakistan,37.99
Kuwait,37.87
Venezuela,37.78
Nicaragua,37.09
Laos,36.64
Bangladesh,36.63
Oman,35.99
Djibouti,35.75
Honduras,34.61
Saudi Arabia,33.71
Bahrain,30.97
Egypt,30.23
Yemen,29.14
Palestine,28.98
Syria,28.94
Iraq,28.59
Cuba,27.32
Vietnam,26.11
China,25.17
Myanmar,25.03
Turkmenistan,25.01
Iran,23.22
Eritrea,19.62
North Korea,13.92
