Country,Unitary
Afghanistan,unitary republics
Albania,unitary republics
Algeria,unitary republics
Angola,unitary republics
Armenia,unitary republics
Azerbaijan,unitary republics
Bangladesh,unitary republics
Barbados,unitary republics
Belarus,unitary republics
Benin,unitary republics
Bolivia,unitary republics
Botswana,unitary republics
Bulgaria,unitary republics
BurkinaFaso,unitary republics
Burundi,unitary republics
Cameroon,unitary republics
China,unitary republics
Taiwan,unitary republics
CapeVerde,unitary republics
Central African Republic,unitary republics
Chad,unitary republics
Chile,unitary republics
Colombia,unitary republics
Democratic Republic of Congo,unitary republics
Republic of the Congo,unitary republics
CostaRica,unitary republics
Croatia,unitary republics
Cuba,unitary republics
Cyprus,unitary republics
Czech Republic,unitary republics
Djibouti,unitary republics
Dominica,unitary republics
Dominican Republic,unitary republics
EastTimor,unitary republics
Ecuador,unitary republics
Egypt,unitary republics
ElSalvador,unitary republics
Equatorial Guinea,unitary republics
Eritrea,unitary republics
Estonia,unitary republics
Fiji,unitary republics
Finland,unitary republics
France,unitary republics
Gabon,unitary republics
Gambia,unitary republics
Georgia,unitary republics
Ghana,unitary republics
Greece,unitary republics
Guatemala,unitary republics
Guinea,unitary republics
Guinea-Bissau,unitary republics
Guyana,unitary republics
Haiti,unitary republics
Honduras,unitary republics
Hungary,unitary republics
Iceland,unitary republics
Indonesia,unitary republics
Iran,unitary republics
Ireland,unitary republics
Israel,unitary republics
Italy,unitary republics
Ivory Coast,unitary republics
Kazakhstan,unitary republics
Kenya,unitary republics
Kiribati,unitary republics
South Korea,unitary republics
Sri Lanka,unitary republics
Kosovo,unitary republics
Kyrgyzstan,unitary republics
Laos,unitary republics
Latvia,unitary republics
Lebanon,unitary republics
Liberia,unitary republics
Libya,unitary republics
Lithuania,unitary republics
Madagascar,unitary republics
Malawi,unitary republics
Maldives,unitary republics
Mali,unitary republics
Malta,unitary republics
Marshall Islands,unitary republics
Mauritania,unitary republics
Mauritius,unitary republics
Moldova,unitary republics
Mongolia,unitary republics
Montenegro,unitary republics
Mozambique,unitary republics
Myanmar,unitary republics
Namibia,unitary republics
Nauru,unitary republics
Nicaragua,unitary republics
Niger,unitary republics
North Korea,unitary republics
North Macedonia,unitary republics
Palau,unitary republics
Palestine,unitary republics
Panama,unitary republics
Paraguay,unitary republics
Peru,unitary republics
Philippines,unitary republics
Poland,unitary republics
Portugal,unitary republics
Romania,unitary republics
Rwanda,unitary republics
Samoa,unitary republics
San Marino,unitary republics
São Tomé and Príncipe,unitary republics
Senegal,unitary republics
Serbia,unitary republics
Seychelles,unitary republics
Sierra Leone,unitary republics
Singapore,unitary republics
Slovakia,unitary republics
Slovenia,unitary republics
South Africa,unitary republics
Suriname,unitary republics
Syria,unitary republics
Tajikistan,unitary republics
Tanzania,unitary republics
Togo,unitary republics
Transnistria,unitary republics
Trinidad and Tobago,unitary republics
Tunisia,unitary republics
Turkey,unitary republics
Turkmenistan,unitary republics
Uganda,unitary republics
Ukraine,unitary republics
Uruguay,unitary republics
Uzbekistan,unitary republics
Vanuatu,unitary republics
Vietnam,unitary republics
Yemen,unitary republics
Zambia,unitary republics
Zimbabwe,unitary republics
Andorra,unitary monarchies
Antigua and Barbuda,unitary monarchies
Bahrain,unitary monarchies
The Bahamas,unitary monarchies
Belize,unitary monarchies
Bhutan,unitary monarchies
Brunei,unitary monarchies
Cambodia,unitary monarchies
Denmark,unitary monarchies
Eswatini,unitary monarchies
Grenada,unitary monarchies
Jamaica,unitary monarchies
Japan,unitary monarchies
Jordan,unitary monarchies
Kuwait,unitary monarchies
Lesotho,unitary monarchies
Liechtenstein,unitary monarchies
Luxembourg,unitary monarchies
Monaco,unitary monarchies
Morocco,unitary monarchies
Netherlands,unitary monarchies
New Zealand,unitary monarchies
Norway,unitary monarchies
Oman,unitary monarchies
Papua New Guinea,unitary monarchies
Qatar,unitary monarchies
Saint Lucia,unitary monarchies
Saint Vincent and the Grenadines,unitary monarchies
Saudi Arabia,unitary monarchies
Solomon Islands,unitary monarchies
Spain,unitary monarchies
Sweden,unitary monarchies
Thailand,unitary monarchies
Tonga,unitary monarchies
Tuvalu,unitary monarchies
United Kingdom,unitary monarchies
Vatican City,unitary monarchies
Australia,federalism
Austria,federalism
Belgium,federalism
Brazil,federalism
Canada,federalism
Comoros,federalism
Ethiopia,federalism
Federated States of Micronesia,federalism
Germany ,federalism
India,federalism
Malaysia,federalism
Mexico,federalism
Nigeria,federalism
Pakistan,federalism
Palau,federalism
Papua New Guinea,federalism
Russia,federalism
South Africa,federalism
Switzerland,federalism
United Arab Emirates,federalism
United States,federalism
Venezuela,federalism
Bosnia and Herzegovina,federalism
Argentina,federalism
Saint Kitts and Nevis,federalism
