Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,Other North,Other South,World,
Afghanistan,0,0,0,0,0,0,0,9,0,0,"45,610","36,607",182,0,680,0,0,280,"21,535",0,0,4,0,1,0,0,70,0,483,0,0,0,0,0,"47,605",0,0,0,0,19,685,122,0,0,0,9,0,0,0,0,11,"1,107","12,794",0,0,8,82,198,0,0,0,32,0,3,0,"4,280","4,832",0,0,0,40,"253,485",0,"6,216",0,0,0,0,2,0,0,0,0,0,"1,418",21,"8,005",0,"2,324,884",318,496,0,"2,584","8,884",0,0,62,0,241,0,0,0,0,"2,908",0,0,31,0,0,0,327,0,19,0,0,0,0,0,507,0,0,1,0,2,0,13,0,103,0,0,0,0,0,0,39,0,"33,040",0,"2,607",62,0,0,0,"14,235",0,"1,515,738",0,7,0,0,7,"1,258",152,9,3,"1,602",9,"5,098",0,0,0,0,"435,810",0,0,0,0,0,0,174,25,0,0,155,0,462,132,0,0,0,0,0,0,0,"31,267","7,170","1,826","7,704",0,1,0,0,0,0,0,"38,692",0,0,0,0,"2,133","7,813","65,000","94,726",0,433,1,14,0,0,0,0,0,0,0,0,"5,055,219",
Albania,0,0,0,0,0,0,0,77,0,4,"3,650","3,656",0,0,0,0,0,0,"10,573",0,0,3,0,1,12,0,0,0,"1,706",0,0,0,0,0,"15,823",0,0,0,0,31,0,52,0,0,0,7,0,168,114,0,327,647,398,0,0,29,106,124,0,0,0,24,0,0,0,418,"6,796",0,0,0,10,"45,000",0,"429,428",0,0,0,0,10,0,0,0,0,0,271,58,0,0,0,0,774,0,0,"449,663",0,0,9,0,68,0,0,0,0,0,0,0,4,0,0,0,307,0,15,318,0,"67,924",0,0,0,0,0,106,0,0,0,2,0,0,0,0,"19,775",0,0,0,0,0,"1,536",0,0,2,0,0,0,"1,228",0,0,0,10,0,0,8,119,135,52,0,0,755,234,0,0,35,0,0,0,463,0,0,0,0,102,141,0,0,268,0,"2,390",0,0,0,0,0,0,0,0,"2,569","2,797",0,0,0,0,0,0,0,0,0,"4,906",0,0,0,0,132,0,"25,000","93,033",0,0,0,19,102,0,0,0,0,0,0,0,"1,194,524",
Algeria,0,0,0,0,0,0,0,210,0,3,"1,560","1,618",0,0,0,0,0,52,"26,431",0,0,10,0,3,0,0,224,0,555,0,0,0,0,0,"59,389",0,0,0,0,55,554,26,0,0,0,12,0,54,49,0,42,"1,380",920,0,0,88,71,"1,478",1,0,0,24,0,3,0,866,"1,455,780",811,106,0,17,"23,349",15,"1,082",0,0,0,0,"6,843",0,0,0,3,0,789,47,0,0,0,0,"1,269",0,"44,553","22,039",0,0,346,0,162,0,0,0,0,0,0,0,17,0,0,0,"3,669",0,12,107,0,0,"2,953",0,72,0,"4,524",65,0,"3,505",0,86,0,0,30,0,0,"17,637",0,0,448,0,"3,937",823,0,115,537,0,0,"1,240",0,33,0,13,0,0,23,476,625,240,0,0,171,778,0,0,0,0,0,"4,086",52,0,0,0,0,111,83,61,0,738,0,"63,635",0,0,0,0,0,0,0,0,"3,022","9,548",0,133,0,0,0,0,0,0,"11,775",960,0,0,0,0,215,0,"24,000","19,316",21,0,4,96,0,0,0,0,0,0,346,75,"1,833,302",
American Samoa,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,079",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,"1,812",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"3,583",
Andorra,0,0,0,0,0,0,0,47,0,0,30,2,0,0,0,0,0,0,45,0,0,1,0,0,0,0,12,0,1,0,0,0,0,0,40,0,0,0,0,11,0,49,0,0,0,4,0,0,7,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,1,996,0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,4,0,0,53,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,12,0,0,0,6,0,0,7,0,0,385,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"6,147",0,0,0,0,0,0,0,0,5,101,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,51,111,11,0,0,5,0,0,0,0,0,0,0,0,"8,381",
Angola,0,0,0,0,0,0,0,81,0,0,550,402,0,0,0,0,0,0,"6,630",0,0,6,0,6,0,"3,677","7,897",0,10,0,0,379,0,"2,777","3,722",0,101,0,0,69,248,56,0,"197,499","41,856",4,0,0,102,0,0,418,155,0,0,25,64,39,5,0,348,5,0,0,0,429,"21,610",0,"1,055",0,0,0,0,8,0,0,0,0,111,0,0,0,0,0,83,34,0,0,0,0,"1,032",0,0,"1,820",0,0,0,0,"3,049",0,0,0,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0,543,1,0,0,0,34,0,0,0,0,0,0,0,0,"34,405",0,"4,881",0,0,7,0,0,0,515,0,0,0,12,0,0,18,78,62,"161,395",0,0,1,511,0,0,0,681,0,0,0,1,0,0,0,26,9,0,0,"65,716",0,"3,293",0,0,0,0,0,0,0,126,742,"6,837",0,0,"2,417",0,0,0,0,0,0,12,0,0,0,0,58,0,"24,000","13,841",13,0,0,190,441,0,0,0,"44,339",0,0,0,"661,595",
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,5,10,6,0,14,0,"21,264",305,0,3,0,0,33,0,0,0,0,0,0,6,0,0,0,0,0,"2,789",0,0,0,0,15,0,41,0,0,0,5,0,0,3,55,0,11,1,0,469,368,0,24,0,0,0,4,0,0,0,1,82,0,0,0,0,0,0,28,0,57,0,0,"4,325",0,19,0,0,0,1,2,0,0,0,0,6,0,0,19,230,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,433,0,33,0,0,123,0,0,0,0,0,0,0,1,0,0,26,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,552,30,0,0,0,0,0,0,0,411,119,0,77,0,0,0,8,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,275","31,165",0,0,0,2,"1,053","5,251",0,0,0,0,481,115,"73,491",
Argentina,0,0,0,0,708,0,0,0,0,71,"15,970","1,604",0,115,0,0,0,101,"2,398",0,0,28,0,"44,436",5,0,"35,618",0,178,0,0,4,0,0,"22,667",18,0,0,0,"73,285","1,933","3,419",0,0,0,"2,330",0,227,173,21,98,208,"1,341",0,0,"3,653","7,867",235,217,0,0,39,0,8,0,412,"13,142",0,0,0,15,"18,599",0,629,0,0,0,576,108,0,0,988,192,0,392,51,0,0,0,0,715,0,"35,620","69,275",0,"4,515",12,0,119,0,0,0,0,0,0,0,19,0,0,0,0,26,79,42,0,0,0,0,0,0,0,19,0,147,0,"14,747",0,0,49,0,0,0,0,0,45,0,"3,418",0,"1,817",278,0,0,0,"1,132",0,0,0,"2,633",0,"75,919","13,199",152,293,"1,365","1,309",0,11,252,0,0,82,0,0,0,106,6,0,0,4,85,"4,988",0,0,"3,915",0,"249,467",0,0,0,0,0,0,0,0,"3,152","8,916",0,0,0,0,0,0,0,0,0,209,0,0,0,0,500,0,"16,055","189,126","27,933",0,2,"10,098",115,0,0,0,0,0,55,0,"996,100",
Armenia,0,0,0,0,0,0,0,939,0,0,"1,390","3,327","145,693",0,0,0,0,"5,762","1,809",0,0,4,0,5,0,0,64,0,"2,252",0,0,0,0,0,"4,063",0,0,0,0,13,0,16,0,0,0,7,0,0,3,0,"1,383","4,694",697,0,0,8,56,151,4,0,0,517,0,0,0,97,"19,372",0,0,0,"12,605","14,048",0,"14,028",0,0,0,0,8,0,0,0,0,0,190,10,0,0,"2,469",0,142,0,0,"1,473",0,0,25,"9,371",11,0,0,0,0,0,"2,644",0,707,0,0,0,260,0,815,7,0,0,0,0,0,0,0,34,0,0,0,21,0,"3,103",2,0,0,0,0,0,56,0,928,0,0,0,0,0,0,0,0,0,0,7,0,0,1,139,"2,256",105,0,0,42,"527,659",0,0,0,0,0,0,156,0,0,0,0,152,25,0,0,0,0,"11,661",0,0,0,0,0,0,0,0,"2,674",953,0,198,0,0,0,0,0,0,0,"1,178","6,961",0,0,0,"49,862",0,"1,467","90,946",60,"16,867",0,34,0,0,0,0,0,0,0,0,"968,686",
Aruba,0,0,0,0,0,0,5,1,0,0,70,0,0,5,0,0,0,0,0,0,0,4,0,2,0,0,0,0,6,0,0,0,0,0,683,0,0,0,0,5,0,328,0,0,0,32,0,0,0,"1,743",0,0,6,0,47,456,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,"4,272",0,0,0,0,0,0,16,0,0,0,15,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,331",0,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,555,"6,485",2,0,0,493,0,579,0,0,0,0,"2,416",5,"19,785",
