Country,POPULATION,CHRISTIAN,MUSLIM,UNAFFIL,HINDU,BUDDHIST,FOLK RELIGION,OTHER RELIGION,JEWISH
Afghanistan,"31,410,000",0.1,99.7,0.1,0.1,0.1,0.1,0.1,0.1
Albania,"3,200,000",18.0,80.3,1.4,0.1,0.1,0.1,0.2,0.1
Algeria,"35,470,000",0.2,97.9,1.8,0.1,0.1,0.1,0.1,0.1
American Samoa,"70,000",98.3,0.1,0.7,0.1,0.3,0.4,0.3,0.1
Andorra,"80,000",89.5,0.8,8.8,0.5,0.1,0.1,0.1,0.3
Angola,"19,080,000",90.5,0.2,5.1,0.1,0.1,4.2,0.1,0.1
Anguilla,"20,000",90.6,0.3,4.0,0.4,0.1,2.9,1.6,0.1
Antigua and Barbuda,"90,000",93.0,0.6,1.7,0.2,0.1,3.6,1.0,0.1
Argentina,"40,410,000",85.2,1.0,12.2,0.1,0.1,0.8,0.3,0.5
Armenia,"3,090,000",98.5,0.1,1.3,0.1,0.1,0.1,0.1,0.1
Aruba,"110,000",91.9,0.2,6.0,0.1,0.1,1.3,0.1,0.4
Australia,"22,270,000",67.3,2.4,24.2,1.4,2.7,0.7,0.8,0.5
Austria,"8,390,000",80.4,5.4,13.5,0.1,0.2,0.1,0.1,0.2
Azerbaijan,"9,190,000",3.0,96.9,0.1,0.1,0.1,0.1,0.1,0.1
Bahamas,"340,000",96.0,0.1,3.1,0.1,0.1,0.3,0.3,0.1
Bahrain,"1,260,000",14.5,70.3,1.9,9.8,2.5,0.1,0.2,0.6
Bangladesh,"148,690,000",0.2,89.8,0.1,9.1,0.5,0.4,0.1,0.1
Barbados,"270,000",95.2,1.0,1.9,0.4,0.1,0.1,1.4,0.1
Belarus,"9,600,000",71.2,0.2,28.6,0.1,0.1,0.1,0.1,0.1
Belgium,"10,710,000",64.2,5.9,29.0,0.1,0.2,0.2,0.1,0.3
Belize,"310,000",87.6,0.1,8.9,0.2,0.5,1.5,0.1,0.1
Benin,"8,850,000",53.0,23.8,5.0,0.1,0.1,18.1,0.1,0.1
Bermuda,"60,000",75.0,1.1,19.4,0.1,0.5,3.0,0.8,0.3
Bhutan,"730,000",0.5,0.2,0.1,22.6,74.7,1.9,0.1,0.1
Bolivia,"9,930,000",93.9,0.1,4.1,0.1,0.1,0.9,1.0,0.1
Bosnia-Herzegovina,"3,760,000",52.3,45.2,2.5,0.1,0.1,0.1,0.1,0.1
Botswana,"2,010,000",72.1,0.4,20.6,0.3,0.1,6.0,0.6,0.1
Brazil,"194,950,000",88.9,0.1,7.9,0.1,0.1,2.8,0.2,0.1
British Virgin Islands,"20,000",84.5,1.2,3.9,1.2,0.1,8.4,0.8,0.1
Brunei,"400,000",9.4,75.1,0.4,0.3,8.6,6.2,0.1,0.1
Bulgaria,"7,490,000",82.1,13.7,4.2,0.1,0.1,0.1,0.1,0.1
Burkina Faso,"16,470,000",22.5,61.6,0.4,0.1,0.1,15.4,0.1,0.1
Burma,"47,960,000",7.8,4.0,0.5,1.7,80.1,5.8,0.2,0.1
Burundi,"8,380,000",91.5,2.8,0.1,0.1,0.1,5.7,0.1,0.1
Cambodia,"14,140,000",0.4,2.0,0.2,0.1,96.9,0.6,0.1,0.1
Cameroon,"19,600,000",70.3,18.3,5.3,0.1,0.1,3.3,2.7,0.1
Canada,"34,020,000",69.0,2.1,23.7,1.4,0.8,1.2,0.9,0.1
Cape Verde,"500,000",89.1,0.1,9.1,0.1,0.1,1.5,0.2,0.1
Cayman Islands,"60,000",83.5,0.4,9.4,0.9,0.1,4.5,0.6,0.8
Central African Republic,"4,400,000",89.5,8.5,1.0,0.1,0.1,1.0,0.1,0.1
Chad,"11,230,000",40.6,55.3,2.5,0.1,0.1,1.4,0.1,0.1
Channel Islands,"150,000",85.2,0.1,14.2,0.1,0.1,0.1,0.3,0.1
Chile,"17,110,000",89.4,0.1,8.6,0.1,0.1,1.5,0.2,0.1
China,"1,341,340,000",5.1,1.8,52.2,0.1,18.2,21.9,0.7,0.1
Colombia,"46,290,000",92.5,0.1,6.6,0.1,0.1,0.8,0.1,0.1
Comoros,"730,000",0.5,98.3,0.1,0.1,0.1,1.0,0.1,0.1
Cook Islands,"20,000",96.0,0.1,3.2,0.1,0.1,0.1,0.8,0.1
Costa Rica,"4,660,000",90.9,0.1,7.9,0.1,0.1,0.8,0.3,0.1
Croatia,"4,400,000",93.4,1.4,5.1,0.1,0.1,0.1,0.1,0.1
Cuba,"11,260,000",59.2,0.1,23.0,0.2,0.1,17.4,0.1,0.1
Cyprus,"1,100,000",73.2,25.3,1.2,0.1,0.2,0.1,0.1,0.1
Czech Republic,"10,490,000",23.3,0.1,76.4,0.1,0.1,0.1,0.1,0.1
Democratic Republic of the Congo,"65,970,000",95.8,1.5,1.8,0.1,0.1,0.7,0.1,0.1
Denmark,"5,550,000",83.5,4.1,11.8,0.4,0.2,0.1,0.1,0.1
Djibouti,"890,000",2.3,96.9,0.2,0.1,0.1,0.3,0.1,0.2
Dominica,"70,000",94.4,0.1,0.5,0.1,0.1,3.0,1.7,0.1
Dominican Republic,"9,930,000",88.0,0.1,10.9,0.1,0.1,0.9,0.1,0.1
