name,link,country,fact_reporting,media_type,traffic,press_freedom,cred_rank,bias
9News KUSA,https://www.9news.com/,USA,HIGH,TV Station,High Traffic,MOSTLY FREE,N/A,center
11 News – KKCO,https://www.nbc11news.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
12 News (KPNX),https://www.12news.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
13 News – WIBW,https://www.wibw.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
23WIFR News,https://www.wifr.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
24/7 Wall St,https://247wallst.com/,USA,HIGH,Website,Medium Traffic,MOSTLY FREE,N/A,center
24ur.com,https://www.24ur.com/,Slovenia,MOSTLY FACTUAL,Website,High Traffic,MOSTLY FREE,N/A,center
38 North,https://www.38north.org,USA,HIGH,Organization/Foundation,Medium Traffic,MOSTLY FREE,N/A,center
CityNews Toronto,https://toronto.citynews.ca/,Canada (14/180 Press Freedom),HIGH,Radio Station,High Traffic,N/A,N/A,center
1010 Wins AM,https://www.audacy.com/1010wins,USA,HIGH,TV Station,High Traffic,MOSTLY FREE,N/A,center
1440 Newsletter,https://join1440.com/,USA,HIGH,Website,Medium Traffic,MOSTLY FREE,N/A,center
ABC7Chicago.com,https://abc7chicago.com/,USA,HIGH,TV Station,High Traffic,MOSTLY FREE,N/A,center
ABC7 New York,https://abc7ny.com/,USA,HIGH,TV Station,High Traffic,MOSTLY FREE,N/A,center
ABC12 News (WJRT),https://www.abc12.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
ABS-CBN News,https://news.abs-cbn.com/,Philippines,HIGH,TV Station,High Traffic,LIMITED FREEDOM,N/A,center
ActionNewsJax.com,https://www.actionnewsjax.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
Ad Fontes Media,https://www.adfontesmedia.com/,USA,HIGH,Website,Medium Traffic,MOSTLY FREE,N/A,center
Adweek,https://www.adweek.com/,USA,HIGH,Magazine,Medium Traffic,MOSTLY FREE,N/A,center
Africa Check,https://africacheck.org,South Africa,VERY HIGH,Website,Medium Traffic,MOSTLY FREE,N/A,center
AgDaily,https://www.agdaily.com/,USA,HIGH,Website,Minimal Traffic,MOSTLY FREE,N/A,center
AFP (Agence France Presse),https://www.afp.com/en/home,France,HIGH,News Agency,High Traffic,MOSTLY FREE,N/A,center
Agenzia Nazionale Stampa Associata (ANSA),http://www.ansa.it,Italy,HIGH,News Agency,High Traffic,MOSTLY FREE,N/A,center
Agerpres,https://www.agerpres.ro/english,Romania,HIGH,News Agency,Medium Traffic,MOSTLY FREE,N/A,center
AgWeb,https://www.agweb.com/,USA,HIGH,Journal,Medium Traffic,MOSTLY FREE,N/A,center
Air Force Times,https://www.airforcetimes.com/,USA,HIGH,Newspaper,Medium Traffic,N/A,N/A,center
Airwars,https://airwars.org/,United Kingdom,HIGH,Organization/Foundation,Minimal Traffic,N/A,N/A,center
Alabama Political Reporter,https://www.alreporter.com/,USA,HIGH,Website,Medium Traffic,MOSTLY FREE,N/A,center
Albany Democrat-Herald,https://democratherald.com/,USA,HIGH,Newspaper,Medium Traffic,MOSTLY FREE,N/A,center
Algemeen Dagblad,https://www.ad.nl/,Netherlands,HIGH,Newspaper,High Traffic,MOSTLY FREE,N/A,center
AllAfrica,https://allafrica.com,South Africa,HIGH,Website,Medium Traffic,MOSTLY FREE,N/A,center
Alliance for Securing Democracy,http://securingdemocracy.gmfus.org/,USA,HIGH,Organization/Foundation,Medium Traffic,MOSTLY FREE,N/A,center
