,United States,Mexico,Dominican Republic,United Arab Emirates,India,Lebanon,Spain,United Kingdom,Luxembourg,Russia,Malaysia,Canada,Germany,France,Bolivia,Japan,Argentina,Switzerland,Central African Republic,Israel,Italy,Saudi Arabia,Panama,Belgium,Austria,Egypt,Iraq,Yemen,Jordan,Congo,Mali,Tunisia,"Palestinian Territory, Occupied",Bahrain,Morocco,Qatar,"Iran, Islamic Republic of",Oman,Azerbaijan,Kuwait,Chad,Australia,Burkina Faso,Ukraine,Venezuela,Colombia,French Guiana,El Salvador,Turkey,Honduras,Vietnam,New Caledonia,Kyrgyzstan,Poland,Guatemala,Paraguay,Uruguay,Kazakhstan,Chile,Cuba,Cameroon,Puerto Rico,Algeria,Holy See (Vatican City State),Liechtenstein,Ecuador,Martinique,Peru,Costa Rica,Syrian Arab Republic,Cyprus,Belarus,"Moldova, Republic of",Senegal,Mauritania,Greece,Bulgaria,Tajikistan,Turkmenistan,China,Netherlands,Estonia,Georgia,Nicaragua,Réunion,Ivory Coast,Benin,Mauritius,Armenia,Monaco,San Marino,Slovakia,South Korea,Uzbekistan,Madagascar,Libya,Guadeloupe,Aruba,Latvia,Hong Kong,Guinea,Rwanda,Namibia,French Polynesia,Falkland Islands (Malvinas),Sweden,Lithuania,Sudan,Hungary,Togo,Western Sahara,Montenegro,Gabon
United States,1.0,0.4710160036415022,0.42842439857296377,0.2322839089601898,0.5077898219833819,0.2915518754353408,0.32015780132042326,0.604569787086799,0.41994014937261526,0.4441952578302846,0.46646895205006234,0.6508745278587048,0.4582335464558339,0.4836843741627237,0.23143702301753655,0.41453351351205725,0.30899711562202303,0.5067689575762393,0.3103768161759185,0.4952008105162713,0.31301866012209356,0.24802368022159893,0.3446499179752385,0.4308707231462008,0.3742996426433225,0.19624473118727437,0.1828376935813485,0.18897817744980527,0.2039708600585569,0.33084339209784974,0.18851057785319558,0.20121694427535297,0.19090035110399584,0.1761321156718969,0.2856755914244612,0.2667489855427778,0.3294813185424512,0.2257968515588673,0.28701477906943407,0.1980735937213567,0.28189500724167826,0.46434105070727183,0.17663681459056169,0.32334752936689004,0.3863568751214581,0.34559419828824467,0.25284137496535886,0.3431384492329467,0.249906537028439,0.39670701162175226,0.2470710812708763,0.28002202133202747,0.20920427704700728,0.3156666362032947,0.32763433641940953,0.2693386889584415,0.35106884421451856,0.23430376955612098,0.34617848920981376,0.37458551114303806,0.34175902453378604,0.39822200964336707,0.23911705127876204,0.27605860348118205,0.3059252233821529,0.3140179703234951,0.24917716764944997,0.33615231040916504,0.34259750453411986,0.1833705119790242,0.24504553447168853,0.2187859442949064,0.17683730112187301,0.23539385368958954,0.20278070687859318,0.2221583123497528,0.19558743072778983,0.20224012843497008,0.20285956351085888,0.27295642577512036,0.2053562952333764,0.18679464130296042,0.16837601897836296,0.29196211919457526,0.2610144112038576,0.20114760997510717,0.24700610716496463,0.2328233560357551,0.30609375484349755,0.2024983572928608,0.1720846465207445,0.17239906037819175,0.28072723089510054,0.20410075207892397,0.17917295415211965,0.18074190078878316,0.2564875224374352,0.21159570155285123,0.19126634844675972,0.25019611795594043,0.1980704100927697,0.19855551763109636,0.1879066791812669,0.1716906681201119,0.1730290651765113,0.1698851095877857,0.17026975716154347,0.16771388971047319,0.16759643387648793,0.16864161866152672,0.167500566913531,0.1679244742238849,0.16753793356888758
Mexico,0.4710160036415022,1.0,0.6126718346699527,0.22977366261378673,0.45636382383041263,0.28731200660165135,0.40435580423668227,0.5033434588352093,0.42704536024627926,0.48278842776642006,0.41616047151997726,0.49541317976875576,0.4601559069129443,0.560130294551547,0.30627477901097644,0.36301177841228094,0.4231885510164225,0.5127042731574375,0.31102719317355176,0.41133079220409674,0.37807472737290404,0.24711668534805453,0.49540615745508887,0.5493372806556606,0.40932707219106157,0.20201387624606637,0.1962470975423788,0.1992385454399639,0.21050507904264837,0.32444192748288836,0.22705768568698714,0.23929703020481674,0.19985959578340917,0.18264901866759953,0.3583398211602352,0.24647057142785067,0.3218545993216446,0.23085852720187106,0.3098061147690797,0.20692264044486564,0.28704449130852605,0.3970196181359086,0.17796015099400941,0.3491113715130195,0.5980636278508665,0.5659658294958732,0.29695214091728916,0.5145907848522592,0.262571569688026,0.560804379153659,0.28452513110621547,0.34061280577365494,0.20865818581296391,0.339329389666732,0.5088286945179636,0.3823848780329385,0.49672572572106366,0.27864821692972963,0.5505641901762205,0.5322191021695823,0.33511223223702924,0.49661755694131904,0.3122327609090241,0.306083453183696,0.30525136607982983,0.5193536917301367,0.2982337318428733,0.5605611448081549,0.4797370317302395,0.19007344490464062,0.2545672946312385,0.2594565809185351,0.20160338593607707,0.3249915160468261,0.22521566301883522,0.21441772896974853,0.21652136265952915,0.19866361236110752,0.18124482806771902,0.3058263640002211,0.21004906598000816,0.1976381587309466,0.17516002833459632,0.4297227947720391,0.2898833402139813,0.21689807357558433,0.2673453266807465,0.2728097070331422,0.29948039861193787,0.2413071154313614,0.17534318368157953,0.1858692807125013,0.31476082601629796,0.23917514976110799,0.19623804216172358,0.17640801398351424,0.3021109205852699,0.21479906383878677,0.1989419884056478,0.2501962329793809,0.21137320031565465,0.19944656471908795,0.18942444178216233,0.1749114725759905,0.1794056091956303,0.1730971778644218,0.1888796397388608,0.16863633577855108,0.16757322136762576,0.17321127160477412,0.17810988026607055,0.1674453888423022,0.16823286874234
Dominican Republic,0.42842439857296377,0.6126718346699527,1.0,0.23821403570538713,0.4214522213047188,0.290165625123184,0.4012679391925772,0.45664600703230696,0.4120510592612505,0.4901063812170938,0.4022742624994765,0.4566578895275194,0.45146876051374774,0.5328153892388112,0.3073587392339924,0.34664902305156686,0.4298035593210302,0.49095863940935347,0.3240928365815613,0.40489946278800115,0.3880960031807372,0.2542783777764338,0.492600969103159,0.5241122030980608,0.3955339031395412,0.20930565064539697,0.2072140790146375,0.20933514782538276,0.2243931762360003,0.3314100014135777,0.21121405973860063,0.24095105182738863,0.21504888878216555,0.18418118465628985,0.35180713394536,0.2543046358040326,0.3265981518402472,0.23460553835390552,0.3082080388407388,0.21605498173195625,0.3211545133085332,0.38555892351385945,0.17780866369139992,0.34182983540934997,0.5862310779363251,0.5313025070314163,0.2926662406548932,0.506250634154719,0.27157976408275686,0.5284526437706907,0.29733982443056106,0.32693310431085687,0.22219405199391862,0.34967119690911863,0.49110735217356793,0.36439808696569775,0.4965659294121427,0.2883429918921533,0.5264044511209517,0.5481396863710699,0.3381163848194294,0.5265128375856296,0.3185291718427462,0.3317902986729844,0.2989262881163227,0.523021747244185,0.3005123096074883,0.5004027066103682,0.5026397818272628,0.20162787117224235,0.2655585582173924,0.2658386677983181,0.19422973762527773,0.30633033798655984,0.21836497031312752,0.22526741029477992,0.22808891470098247,0.20349833694518804,0.18718828240920604,0.29897329296529196,0.21792201517585097,0.2150823492571471,0.17690919178001518,0.4351443060400618,0.2968601850717335,0.22064640624695075,0.271993468874688,0.2590052657134334,0.3165876349392901,0.24665725197986577,0.1885329443406547,0.18793601011910166,0.32217876839117376,0.23348264555723774,0.19677067273973403,0.1818532888687151,0.3163800376319348,0.20789323594548448,0.2040894426087717,0.23396882037731848,0.20487926621571784,0.20318605311879234,0.18822503565153648,0.1778176391861419,0.19490436973156922,0.17069239182478768,0.19480388170145468,0.1711526074406705,0.17037826085252328,0.17246362665310022,0.1804964960428629,0.1674453888423022,0.1684203823131628
United Arab Emirates,0.2322839089601898,0.22977366261378673,0.23821403570538713,1.0,0.25286436228481024,0.40753847186616954,0.2132219783317103,0.2858651753381276,0.23875076389757222,0.2981959644172676,0.24710117151177968,0.25026944973247844,0.2504192648379481,0.25785956285190026,0.1841399158440672,0.22082462433541972,0.20414778785609666,0.24062620463371343,0.20356816291609858,0.29188882764087587,0.21104599090713183,0.5803473594292394,0.21600334124542309,0.23620229786999714,0.2284160463808863,0.4214913171196236,0.4654052266444547,0.5201184890049239,0.514930741817383,0.20153136291947693,0.17234740529647263,0.4089800835383235,0.504987180344767,0.3408515221092109,0.3304633296836166,0.5301587286133976,0.374078750370761,0.4676477100476938,0.24972270671617802,0.5128017610252713,0.22354285651628714,0.29768746513305133,0.16832606118999405,0.24251635022890672,0.22872997162847575,0.1987768440131492,0.1898614288764191,0.2176207183089922,0.28959678213341444,0.21655025274555628,0.201969574649162,0.2114502489786314,0.20804548848305848,0.21053756169148807,0.20153561232904593,0.194675846310291,0.19984271500316064,0.20886648059169743,0.21024964560977377,0.21977421187172796,0.22062580722521719,0.21452849732567336,0.4046275779838473,0.2115290374192711,0.20535520104643212,0.2062373647667184,0.1916428037914354,0.20631592428118584,0.23408756810475628,0.4532141797102648,0.24767761756061502,0.2264619353063294,0.1708475580552914,0.20423812437201172,0.1778127568849195,0.22243382972118642,0.21788308735563677,0.17618430069117474,0.1780559227398969,0.2083110421614539,0.16973214538619208,0.18571749906131318,0.17039552972304395,0.183554630795984,0.1809755972482291,0.18230445074191304,0.20589161494696717,0.18566603097082535,0.25469420358734673,0.17709249660135418,0.16883687654226276,0.16923739793632142,0.1859984165669154,0.1745980445251768,0.1674453888423023,0.26398602224721823,0.19923254725504258,0.1702396217844664,0.1834694111951788,0.18267898591082132,0.1694771301737199,0.18760006131748175,0.17465054185213924,0.1674453888423023,0.16796775014141097,0.16778209108851605,0.17398824553882264,0.20254895107477344,0.1713118242526317,0.1674453888423023,0.1674453888423023,0.16825174152729538,0.1674453888423023
India,0.5077898219833819,0.45636382383041263,0.4214522213047188,0.25286436228481024,1.0,0.3195390702311399,0.30861499262570646,0.5671861509246167,0.3843230726712086,0.490726030103773,0.5177950109963342,0.5439499665463831,0.43301009329996054,0.47026248448214847,0.2332742197731238,0.38083036542189863,0.31807450314370933,0.43559519454136975,0.2767378819554912,0.48070307584682037,0.31133084216144413,0.2634408281070869,0.3383934275093208,0.4397586174678435,0.3609880027005805,0.20269541979761763,0.19025347345414567,0.19914897511532959,0.21806881441317905,0.2974902708848024,0.19568033515032468,0.21635379183657755,0.19753462051983972,0.17999874013318407,0.31176664370103435,0.25815798555243996,0.43345596462030334,0.22496566566372245,0.3438571477393979,0.210765761911628,0.2911099854544349,0.43897049697279655,0.18031943156289532,0.34002624634486955,0.3767111843502676,0.3466003409928583,0.2635509550414534,0.34973283375572906,0.26678337876769576,0.3891939699980167,0.2800342663540304,0.2801184958140541,0.2605555421563661,0.3262048731707361,0.34267105760998684,0.2918313095150691,0.34542058352389815,0.28987101059315656,0.36566624382210244,0.36369627795068316,0.31769359671931163,0.36028944512643046,0.2635559063963392,0.2858452276541661,0.29235769539045164,0.3222296356962956,0.2606499995653223,0.36705937107451203,0.35002782788729647,0.18872420453371686,0.2716998856448345,0.23610062353410677,0.18642527451189395,0.2551709977176049,0.21024568854559667,0.23664787856655833,0.2139342362718042,0.26902486008327664,0.2514243915402252,0.3004785947290255,0.19739900135180144,0.20740130268599444,0.1715217083691566,0.2908194738585723,0.25347331307798493,0.21165002664435661,0.24519618370883722,0.24104771983745632,0.3755539368736551,0.21280437776393069,0.17230713279134868,0.17592926160501288,0.29402087346052874,0.2479076061339357,0.19040090074458116,0.20435601294844297,0.26448162044465995,0.19681291185127892,0.19972080346391907,0.26306320937631755,0.19937340196051234,0.23324058370570622,0.20366780017526454,0.1730299524816814,0.17923305750008867,0.17046293213518215,0.18131171204717378,0.16815989907911666,0.1674453888423023,0.16938805328815754,0.1674453888423023,0.16770621713030898,0.1679323111249309
Lebanon,0.2915518754353408,0.28731200660165135,0.290165625123184,0.40753847186616954,0.3195390702311399,1.0,0.23994936655230048,0.35204165316281255,0.2780665004709947,0.34310993922769106,0.31028001987205667,0.3158204733752329,0.2989701242607644,0.3109550993436786,0.20239649975523266,0.2617660247788156,0.238303146941364,0.29305128583882056,0.2272343905443669,0.3577664552092371,0.241674091538974,0.4641933197047281,0.255644570296081,0.2916124589650031,0.26310110261403163,0.33961604978849724,0.40545812155405203,0.43792953667570833,0.42526659098344144,0.23715596748670464,0.18328481088217552,0.34247434934329923,0.4716701863364299,0.2351291797317212,0.3313714533784965,0.404018434241197,0.42438629693500274,0.3358183909598027,0.269392006562751,0.5484729666333483,0.24845250033733612,0.5290826357495669,0.16828606957767756,0.2722701297566561,0.26923628307130953,0.2356421367344107,0.21165206417473326,0.2535965935833405,0.2817648848954588,0.2626133232740495,0.21203151903088469,0.22095300368337512,0.22654753823923235,0.23599468012473412,0.24667172156345396,0.22497944374562584,0.24654133420026514,0.2105219756087321,0.25699950421340656,0.2700662474896909,0.26139038221236244,0.25034062609848884,0.34950399351289296,0.2347932195737642,0.21995825841177497,0.23491968676367536,0.2196960032897618,0.25208674190615665,0.2739814640782363,0.39625282492763203,0.2444765435659626,0.2301151313761578,0.1756927360223477,0.21923802300240336,0.19335684077586568,0.22219606692513372,0.21433415225828212,0.1899753595661845,0.19061594701745954,0.2297195011486175,0.18352328591611788,0.18558726860535535,0.1695833817608322,0.21042266973465928,0.2029151392481059,0.1927693455833468,0.214785684005958,0.19282627506532235,0.2828229384412838,0.1897311211762741,0.16818467830614148,0.17160111570806702,0.22404303790147473,0.18421338733716053,0.1753889357720877,0.2239465395804967,0.22347473298041554,0.17956518612050054,0.19538131479351306,0.2046338561508152,0.1801378585473269,0.19722112853965257,0.17752152016674017,0.1691046241139026,0.17089958383856207,0.1674453888423022,0.17727050338448302,0.20142089136866292,0.17001319300443007,0.1688661571754867,0.1674453888423023,0.1674453888423023,0.1674453888423023
Spain,0.32015780132042326,0.40435580423668227,0.4012679391925772,0.2132219783317103,0.30861499262570646,0.23994936655230048,1.0,0.33827043177506244,0.30216408521714055,0.34383691855759746,0.289922792178099,0.3252958641187679,0.34502346253708527,0.3697680853805523,0.2441564034260142,0.2550739531366185,0.32665580865012966,0.3549309092418276,0.24709301241862724,0.28844358696478545,0.32832654787842586,0.2249611610956802,0.33556304390978264,0.3620424531058195,0.30996699618898504,0.19639994038817543,0.1899502092864932,0.19201533988761244,0.1998351851700092,0.2526895355289981,0.1858290719111063,0.20728854330007607,0.19542778277275163,0.17992026610747514,0.27615684095505433,0.2163046757386311,0.24823179527195804,0.20459439068890062,0.23758419503499728,0.19782425273086357,0.24989841397791301,0.28769902421474003,0.1712906673859268,0.2692801808453883,0.3914206905043568,0.3624771960418768,0.22356756171680336,0.32363006110617143,0.23679764770345857,0.3380843774728257,0.22874718814109907,0.24615635951152337,0.1922097352309785,0.26235472308853247,0.3082933479005745,0.26800221990426654,0.3315313508186539,0.2280950367193335,0.3566848562697321,0.34649246182912796,0.2721858231340307,0.4416236386489314,0.2551694200993123,0.24310874316327558,0.24658410791458352,0.34082708065157874,0.22334319613371623,0.3315333950011725,0.36310643138320975,0.18682345098407327,0.2263277438994682,0.21720050577303696,0.18292007995228765,0.2471857515115219,0.19257176105437313,0.20438836413092532,0.1981444261343207,0.18447461578400814,0.17793378171280505,0.2429146596915971,0.19309440195914962,0.1920935460294525,0.1704466614894361,0.27941621356071233,0.22527755720309495,0.19819039308579744,0.20758690531018498,0.21881164651400098,0.24004446956457937,0.20306716900288113,0.1800534540255747,0.1815196778668784,0.23260664948812404,0.1973411394685849,0.1747409428526564,0.17400724948668256,0.24364087879820162,0.18268996448767572,0.18623437105142393,0.19822071875050595,0.1900256676510751,0.17872197678751067,0.17483621523290138,0.1728803925498532,0.17379964825914151,0.170011018598068,0.18309815372921934,0.1681127813279104,0.16790238656793555,0.16795198160021196,0.16940090111060246,0.16794633818788418,0.16785203329640297
United Kingdom,0.604569787086799,0.5033434588352093,0.45664600703230696,0.2858651753381276,0.5671861509246167,0.35204165316281255,0.33827043177506244,1.0,0.4528041570029554,0.5022120651527898,0.5028779491640278,0.6207966809792725,0.49063701259237913,0.5442979594553216,0.23916209543422118,0.40437761318885146,0.3334940473801833,0.5272978631464407,0.3085598087439373,0.5248011232266128,0.3435678741577768,0.30599554139610063,0.38674672064767257,0.5059811719981833,0.4045842457734411,0.23654064510137673,0.23130187232280564,0.2404454298176929,0.2579149505092949,0.33112068585474985,0.19283868455462883,0.24671945384690563,0.24185070005652798,0.1975295094813615,0.353923025190534,0.3037891719113611,0.4150362645944733,0.2598313293945953,0.3228422241277775,0.24953376302461483,0.2951614294403463,0.5132617075574393,0.18104883208535338,0.3593044543108723,0.41617154640372833,0.37895833957989655,0.3010523145242945,0.3665790009205593,0.29105349553506066,0.42101956461424694,0.2822447116360355,0.3236255462038642,0.22396337027503654,0.35143496374422944,0.35317856265847347,0.3004940823844394,0.36422450718836774,0.26441469036451426,0.3756276956275938,0.3825505124100649,0.3437928197263618,0.38946850304626857,0.28789995285136516,0.2877284278910325,0.3315950704895143,0.36490919059665927,0.28675117587637244,0.3858812495433015,0.36036943527491405,0.22559414873853623,0.295445954705141,0.24435273400791013,0.1862061751475178,0.2672944448629021,0.20463476141517212,0.2518534072984835,0.22020366352940557,0.20612200971998051,0.20756326418511195,0.30028245914753615,0.20629166019147682,0.2045710720574908,0.17063360974110597,0.3074293372162499,0.27322005501703694,0.2378513995325291,0.2457330579217053,0.2594744183606512,0.35995783265269665,0.2214460884808841,0.1769290533723369,0.18053794537195766,0.3076889473065807,0.2169885623517651,0.18289349076071693,0.19489604393348048,0.28168411966526996,0.20007091906942698,0.21044680947292804,0.2609149520141071,0.2113578312300699,0.21369258191342566,0.20215801000843003,0.1710126866946624,0.17620544195360754,0.1726795944939823,0.17711303089810393,0.17362303745063445,0.16889692553390034,0.1687544268109692,0.1674453888423023,0.1690356097106951,0.1676485056795327
Luxembourg,0.41994014937261526,0.42704536024627926,0.4120510592612505,0.23875076389757222,0.3843230726712086,0.2780665004709947,0.30216408521714055,0.4528041570029554,1.0,0.42432322916878407,0.4046996152909613,0.43793947750205087,0.4969223548189995,0.5335610947619618,0.24031716396351355,0.3536147503478666,0.2912497356228464,0.5424998688211562,0.35915917451276824,0.38134211357363534,0.33849506513265426,0.2609623259868853,0.36754585016495045,0.5055556727169994,0.42550310502373223,0.20948385639803258,0.20428313335776926,0.20813156397157784,0.21795079339590406,0.357897129271898,0.2085796155578883,0.24502333406840016,0.2160305042366769,0.1849160058065632,0.3397702377806956,0.2523304204650707,0.2973179165086679,0.23494925609061046,0.2867378314115755,0.21515327468935141,0.324276794287808,0.36678719157738293,0.17563805997020454,0.32957782805188485,0.36834324615896286,0.3566048818805607,0.3098598371987007,0.33027045340256334,0.2556312226680324,0.39940760338941406,0.2536046152093858,0.360299849765349,0.2018193466711825,0.34681287124515836,0.3493578259286061,0.31498344062316186,0.3486553505862713,0.23516300753713204,0.3522627931833068,0.3665024936978477,0.37910539198422555,0.3618549102902874,0.3036189981688028,0.3388857321043941,0.33705514948323456,0.35502608447388095,0.3039689113396806,0.34786082614798974,0.3371892690832493,0.21222736518394125,0.2576327669157079,0.24084014347878124,0.1813023989370912,0.31207925587801855,0.20746821954846995,0.2662794581091541,0.23158277015443152,0.20997555448765204,0.19284565217477112,0.2642376375462995,0.23854919898514992,0.2078198910141894,0.16924200640184617,0.30018502859908436,0.3231471995985563,0.23356787564124493,0.2811935246106536,0.27237218554406717,0.2841734853849678,0.23850257986169376,0.19454552103754685,0.19302470844795294,0.27190736742859223,0.222133621060275,0.19900279330135395,0.19400562853398184,0.289337010122523,0.20322646675542466,0.22617130681965048,0.2202062650541161,0.2359418991286083,0.1868625136111275,0.18688296496416346,0.1778576052245202,0.17172441730469212,0.17080561645977665,0.18478115917707938,0.1674453888423022,0.1674453888423022,0.17168591485873508,0.1685455076998743,0.17257096820539786,0.1674453888423022
Russia,0.4441952578302846,0.48278842776642006,0.4901063812170938,0.2981959644172676,0.490726030103773,0.34310993922769106,0.34383691855759746,0.5022120651527898,0.42432322916878407,1.0,0.47667775690495107,0.49781576904639846,0.48066053992400515,0.5085742489576395,0.257454333287072,0.3417365437305512,0.34448732730935017,0.48605905746051137,0.33042976907172805,0.4591830590455248,0.35689656537728576,0.31726410679400696,0.392559856190123,0.4767933934081173,0.40241945322391237,0.23547771716806376,0.2393200709378025,0.2424488007775526,0.26865649754124465,0.3156910672337594,0.20528221999167218,0.28039373306532,0.2537907754619083,0.1943629334899315,0.35728248645452565,0.29588234235478594,0.44719254705565625,0.25016060245679217,0.38122074136261097,0.2642888075030254,0.3216059012686302,0.40372195548473955,0.18848901420365038,0.47390244673094317,0.43229598762566235,0.39224416235433135,0.27657889941202074,0.3982678886431902,0.33800344699273566,0.4036193042940931,0.33174064560506844,0.3133159995171513,0.25252732972882563,0.3821307819462034,0.38467811874792357,0.3443464300930633,0.3786410184519078,0.34248836056310494,0.3957024624023905,0.43246448490035205,0.36227806449679856,0.3964451392408139,0.34044394566082037,0.31953452501161816,0.3099627353755703,0.359848014442,0.2778897607692208,0.40453452764186815,0.411863691387067,0.24608005629295082,0.3217554933884814,0.35324937271819734,0.20492845278551075,0.29482872012504435,0.22436886787662014,0.29120460397173964,0.2680847735455998,0.2178556819422609,0.21109428203677716,0.30725151244756554,0.2065218391921264,0.24311584501729677,0.1756064994288239,0.3112411030980451,0.2677784620416991,0.224045506072152,0.2953299184056404,0.23104590956806603,0.405116716927138,0.22907537568835257,0.1912648407985018,0.18735384264590638,0.30579983494395835,0.2529095473690721,0.1929023042240674,0.20733210715866301,0.2800316786675541,0.19347086794596513,0.23178893083274732,0.24939053219141916,0.21128887388270934,0.22678527519224412,0.1898211550415173,0.17184050113404048,0.18383198021877256,0.1682045291708083,0.2075537751057822,0.1678062574102276,0.1674453888423022,0.16948854689246007,0.16875144900563832,0.1674453888423022,0.16835697361690793
