,United States,Mexico,Dominican Republic,United Arab Emirates,India,Lebanon,Spain,United Kingdom,Luxembourg,Russia,Canada,Germany,South Africa,France,Bolivia,Nigeria,Philippines,Argentina,Switzerland,Central African Republic,Pakistan,Italy,Saudi Arabia,Panama,Kenya,Belgium,Austria,Singapore,Egypt,Iraq,Yemen,Jordan,Congo,Mali,Tunisia,Bahrain,Morocco,Qatar,Oman,Chad,New Zealand,Australia,Burkina Faso,Malta,Ghana,Trinidad and Tobago,Malawi,Venezuela,Colombia,El Salvador,Turkey,Honduras,Ireland,Kyrgyzstan,Poland,Guatemala,Paraguay,Uruguay,Kazakhstan,Cuba,Cameroon,Puerto Rico,Algeria,Holy See (Vatican City State),Liechtenstein,Jamaica,Ecuador,Taiwan,Costa Rica,Cyprus,Belarus,Senegal,Mauritania,Fiji,China,Haiti,Nicaragua,Ivory Coast,Benin,Sierra Leone,Mauritius,Uganda,Saint Kitts and Nevis,Monaco,San Marino,Saint Lucia,Papua New Guinea,Nauru,Madagascar,Tonga,Brunei,Bahamas,Libya,Zambia,Antigua and Barbuda,Guyana,Barbados,Guinea,Vanuatu,Rwanda,Namibia,Comoros,St. Vincent and the Grenadines,Somalia,Samoa,Dominica,"Tanzania, United Republic of",Seychelles,Grenada,Belize,"Virgin Islands, U.S.",Burundi,Gambia,Sudan,Niger,Liberia,Lesotho,Togo,Gabon
United States,1.0,0.4710577257962627,0.42848525609360943,0.23236551066999112,0.5077999587261011,0.2916318421903151,0.3201046471784623,0.6045174339367098,0.4198842466097402,0.4442066982256514,0.6508678263383922,0.4582282205591246,0.46217441025816,0.48367529963276634,0.23144419109680503,0.20915797518753043,0.4767619721126136,0.3090209729065265,0.5067503168732397,0.3103756492559363,0.4930513330338112,0.31305285481069434,0.24799234676757054,0.34461908406484676,0.35552456119329645,0.4304925229515172,0.37429723995701525,0.448781036988964,0.19624135749651506,0.18283719889673955,0.1889917674563113,0.20406327677399638,0.3308014038446422,0.1885143268359234,0.20120351705614858,0.17612426917950386,0.28568542547600584,0.2668518371291533,0.22577576145189293,0.28188268435621233,0.3574014846596836,0.46434180073852216,0.17663845245535825,0.27283219824373817,0.35609340002886203,0.18865686002309268,0.1919081637571154,0.38648616415081216,0.3457190474204682,0.34311372169812226,0.24994286392346254,0.3967226533273882,0.47217648326709216,0.20914048391707007,0.31567728791820615,0.32765482866691065,0.26934677625421455,0.35108265662672056,0.234275391804312,0.3746021829156694,0.34169883607113705,0.39823879866549694,0.2391287505384463,0.27604105526680156,0.3059173942780743,0.2819961758168973,0.31400596816248316,0.4095487531142079,0.3426149880941247,0.2450556004743656,0.21879412068134863,0.2353976680717108,0.20278646036831827,0.23800278070657,0.27295572591342776,0.18764332200867861,0.29197913644392526,0.20115338646938885,0.24701105719938354,0.20092509301977124,0.23282909622972525,0.280092679558002,0.23954534259180682,0.20250426616158235,0.17208550898105746,0.24103039923925063,0.18626172028374655,0.200411491790902,0.17917507825014045,0.20592970311358483,0.19046829360251172,0.19876586135732688,0.18074397491830374,0.2262422794564929,0.19289944801989323,0.1964746761536056,0.2013935587549457,0.19806579951962,0.18791892999051674,0.19856090483170108,0.18791029002388981,0.17340558842283849,0.22705360399205254,0.20696524339881628,0.18622024390972425,0.1845887536831048,0.20538868641859276,0.1913528096167818,0.1997531235158586,0.17814994422296848,0.16935795072213777,0.1685283565205541,0.16889152840477484,0.16770578720769558,0.17601454217493095,0.19140957210381837,0.16919859320461939,0.1686418492709062,0.16753795196900712
Mexico,0.4710577257962627,1.0,0.6126640691638217,0.22987806448470538,0.45645274598224084,0.28743134731077247,0.40432350325215416,0.5031758351436559,0.427053698683885,0.48282857443294525,0.4954891498118058,0.4601993110500887,0.4247821059786643,0.5600789051686712,0.3062632236228958,0.20617465305291072,0.47620558036225247,0.4230724071643519,0.5127230718102027,0.311051499173296,0.42695011327083,0.378158664422656,0.24727508519678765,0.4953810082992004,0.3268440838338801,0.5489095320696022,0.4093440005561869,0.38525914527057314,0.20203267322170348,0.1962879924969776,0.19929301945001898,0.21064497696901197,0.3244688099849724,0.22706877407889714,0.23930809315686086,0.1826510811805424,0.3583506360723133,0.24654079564598852,0.23081329249931581,0.28706520210843,0.31008274929293833,0.39707729316702334,0.17796221956074498,0.2719866411427665,0.33453954942748476,0.20417772762672937,0.20959910113435942,0.5978874257896961,0.5658969183881055,0.5145848200987047,0.262613364291461,0.5608283207831892,0.3669650924047291,0.2086656046493217,0.33935765124146966,0.5087868235978714,0.38242221055519265,0.4967492000090842,0.2785752878989457,0.5322229183125331,0.3351398483453639,0.4966585736470118,0.31225841395156395,0.30608125806054465,0.30527473083639045,0.2747301787517089,0.5193367286503121,0.3277383649317738,0.4797415499558325,0.25458100085508484,0.2594045036669044,0.3249676902712576,0.22522650058156923,0.22488351299332265,0.30583599701526953,0.19908861143696766,0.42976279042564935,0.2169074688846072,0.26736295845185276,0.21220858577495672,0.2726882167568411,0.29148782899041437,0.2603817855404117,0.24124950121720823,0.17534476672407495,0.2596632314167536,0.18927233190740078,0.1961650862578943,0.19624376771340024,0.20852466631163047,0.20781466051159758,0.2134788308410469,0.17640960680897955,0.22513675039595937,0.20395224815900181,0.1899373732304961,0.20155409924597278,0.21138142666505677,0.19423203848761605,0.19945267803256206,0.1894287290394101,0.18262982364675528,0.22091140355445127,0.19872422229183984,0.1978597066934339,0.1860863201203865,0.2134295273039002,0.18330260278811583,0.18801398722613627,0.18630894313553403,0.1755347705640099,0.17340872523289408,0.17390972937246996,0.1686365920203744,0.18315383463576707,0.18144806220380272,0.17137157662402336,0.1732124852996001,0.16823304095062597
Dominican Republic,0.42848525609360943,0.6126640691638217,1.0,0.23834057394649755,0.42154614248924505,0.29029789288174634,0.4011026641457264,0.45666281570441214,0.41210930164390425,0.4901837147228818,0.45674837016291503,0.45153114565453867,0.40900190928452096,0.5329409953915419,0.3073838655932005,0.19980578131170879,0.45672651647412466,0.42966606753403813,0.491035266868184,0.324131069478686,0.41566528430135985,0.38820007617890184,0.2544666275979671,0.49225903060833254,0.3167225948593525,0.5244429165024466,0.3955819224879722,0.37346117273141655,0.209333773130169,0.20728023302817455,0.20940801800141395,0.22460130675750467,0.33145113367381096,0.2112263105817639,0.24096805435970703,0.18418434841878428,0.3518510210182485,0.25442515385662834,0.23461997569148807,0.321193300543686,0.2932881607653869,0.38562765859537085,0.17781177975040918,0.279732500259948,0.34281286209647555,0.20266712252111363,0.2060573203397712,0.5861325627526499,0.5313913119580608,0.5063393792713402,0.2716238186226304,0.5285477586299605,0.36923562954329237,0.2222086821439655,0.3497150566856121,0.4911931868376245,0.36444829192534356,0.4966513547551671,0.2883736251493997,0.5482428555359626,0.3381577155660276,0.5266052912578231,0.3186264944461862,0.33183115686410036,0.2989582853902908,0.27073366836851287,0.5231185320101471,0.31260498317123886,0.502727265820757,0.2655802491368624,0.2658646772230865,0.30636528633161586,0.21837936012670978,0.22606635655384189,0.2989974154232947,0.19424359906118638,0.4352132378787401,0.2206615193828665,0.272020952211393,0.21620689931947001,0.2590300681716946,0.3008582818374349,0.2762217267590311,0.24667895193392964,0.18853922315787852,0.26415105886387424,0.19245128454784555,0.19269503781343056,0.19677931986820685,0.21283162143638623,0.2218439741517887,0.20850525619407845,0.18185728692122116,0.2256255099129385,0.21191538738790994,0.19276843375619246,0.19858451597450788,0.2048898442823618,0.18680784472296763,0.20319601777748786,0.18823110662705167,0.17973502484716175,0.22389295351184568,0.21670076644559,0.20566762201124833,0.20324853182199254,0.2074509496108402,0.19033426423207256,0.18620644083798998,0.20067093594989838,0.19099627962841714,0.17803965676065203,0.18231432753425636,0.17115376034772312,0.1753153902721014,0.17916904027950142,0.1700134716412487,0.17246519889269873,0.16842069757597267
United Arab Emirates,0.23236551066999112,0.22987806448470538,0.23834057394649755,1.0,0.25302822554608106,0.40610121174355573,0.21327271889621668,0.2859864999951658,0.23887573796746153,0.2984318321226098,0.25040309219008605,0.25055164366083493,0.24681165402520278,0.2580560327767587,0.1841670463863413,0.182811606451043,0.26276086249095165,0.20420080852469324,0.24074558846232463,0.20364211732309634,0.27349578330926727,0.21111832675104936,0.57954834216104,0.21608990254462745,0.2176180163097865,0.23635553870551962,0.22851308997319708,0.23260725444955077,0.4211953215658101,0.46548229081591197,0.5199550831894244,0.5153508695483311,0.2016029014409526,0.17235818955898907,0.4093065255153615,0.3411085309638172,0.3304638140231426,0.5300735027437846,0.4672932382569176,0.22364969273864022,0.20233105886622593,0.2964652228813167,0.16832837864726746,0.20712002506057203,0.23005372861881268,0.17719014763569796,0.17085489513455177,0.22885823831386187,0.1988371942251791,0.21770623465200778,0.2893479752410586,0.21663440117465393,0.22302566730903794,0.20812666334535723,0.21062366155476653,0.20160179619087137,0.19473534125401548,0.19990036095719166,0.20894917954862835,0.2198627005688465,0.22073358815285937,0.21460804885009976,0.4046100089750252,0.21162186881524658,0.20542924488198944,0.20241222994186492,0.20630293730269034,0.20367943774673936,0.23420500776744602,0.24782429974407727,0.22658335382519246,0.20430832977144064,0.17783766397624967,0.17486474076586223,0.2083756589193294,0.16802352993774095,0.1835874616545542,0.1823408259368512,0.2059677510395359,0.18038725408711453,0.18570471337160732,0.18791061624721261,0.1821588819375347,0.17711625666421815,0.16884050406812767,0.18826898554910088,0.1679933273155062,0.1806069793618824,0.1674453888423023,0.18000254245439484,0.17355226826024184,0.1700794466713974,0.2642101579997749,0.17882477423475596,0.17018028781414918,0.1749350955202169,0.1696331315644647,0.16948220423881022,0.16854445254533235,0.18765021496986845,0.17466857604597974,0.16919945571976225,0.17910284800562148,0.20317789406619524,0.1738119352674402,0.1674453888423023,0.18643197480401652,0.1834050484818378,0.1679933273155062,0.1744289978038699,0.1680339445852952,0.17135100030815975,0.1732404284674558,0.2022659541629539,0.16872250926140553,0.16825416792172632,0.1674453888423022,0.1674453888423023,0.1674453888423023
India,0.5077999587261011,0.45645274598224084,0.42154614248924505,0.25302822554608106,1.0,0.31969740407118086,0.3085782661058305,0.5672014918029002,0.384359254059334,0.4907767510468888,0.5439910451035521,0.43305185329416984,0.5123356647897763,0.4702256374834024,0.23328302784402632,0.21395212176956901,0.5391587655234388,0.31811923640508855,0.43563975236003194,0.27675707330005384,0.5906491754253829,0.3113900567513126,0.26248543471792996,0.33842243917369375,0.3797200784729011,0.4390769036659742,0.36101749165526653,0.4787560869647024,0.2027182027195883,0.19028867579571462,0.19920947739123063,0.21825955309917933,0.29751277812074606,0.19568598144255933,0.21636184370190337,0.1800004385477565,0.31179115362732135,0.25828330709383973,0.2249743761127304,0.291131595739234,0.3578666485079566,0.43903580321745594,0.18032208735690214,0.3064576420626325,0.3701069469614158,0.19016970388725596,0.20453728039703378,0.37686908896950544,0.34672446886730024,0.3497635766939481,0.26683210953688574,0.38923147126469215,0.43846356739791537,0.2605727563022424,0.326231164543503,0.34270116873727685,0.29185289181981755,0.3454504518318142,0.2898928932957482,0.36372839657246747,0.3177195459842199,0.36032091350549855,0.26360607594796737,0.28586561117537646,0.29237962759299774,0.3218113218006453,0.32225539588095153,0.34533166114840963,0.35005856310915007,0.27171610493975784,0.23611323575661392,0.25518703538946386,0.210253628632595,0.22443678185126925,0.3004930289022264,0.1823669189314453,0.29084118930193625,0.2116585049890528,0.2452107779790904,0.21676609543067682,0.24106142783600992,0.2854319292274261,0.27224718027440764,0.21281299929344066,0.17230816024264195,0.27570237002634945,0.18601062991474193,0.23591905916393074,0.19040561344092466,0.2172864838110583,0.20073979353212756,0.19428016962074357,0.20436119252361495,0.23649547595623432,0.19692269347112556,0.20100505049346828,0.19396329909286536,0.19937950864281961,0.2032577863584457,0.2332532024144296,0.2036749608841777,0.17784182797501824,0.23468655426035978,0.2212474793313024,0.19061382721987907,0.17638445486936583,0.24560626850476341,0.22258221829927027,0.1796795705361699,0.19114161288820464,0.17295127200145965,0.1735393783723821,0.17634847539696585,0.1681600500894953,0.17414966959494282,0.17845261617193142,0.16983043738487225,0.16938848121125216,0.16793242069811243
Lebanon,0.2916318421903151,0.28743134731077247,0.29029789288174634,0.40610121174355573,0.31969740407118086,1.0,0.23995453612493656,0.3522714739094217,0.27817196222527185,0.34328007293096985,0.3159635146352998,0.29908467078891365,0.3125981193773326,0.3111187200950767,0.20242584067508718,0.19181871749402724,0.3218311283776366,0.23836779913992479,0.2931581849615502,0.22729798639900167,0.33336228598470063,0.2417503342182108,0.46418224716400247,0.2557294064648461,0.2439767773726469,0.29178914996921945,0.26318336143887744,0.28962624945070714,0.33961665378686523,0.40559687319958937,0.4364857368867505,0.4259388397282422,0.2372299252464638,0.18330437448143377,0.342603405300306,0.23516536726262793,0.3315353830701707,0.4043781454499029,0.33599281647603263,0.2485352180670538,0.24125479437671993,0.5289960660146392,0.16828716674089517,0.22851604040541074,0.2638499847115485,0.17643967809520533,0.1794256853680769,0.2693790241535797,0.2356351136462984,0.2536784191389564,0.28148909578713677,0.26270462413110174,0.2779899854448281,0.22660998279392564,0.23606267856822016,0.24675277560156972,0.2250406597763358,0.24657931302286806,0.21057026105778265,0.2701618849771048,0.2614860577294339,0.2504172865687563,0.34972132619149143,0.23486508997496225,0.22001194772945265,0.23392379081889403,0.23498503631043888,0.24287072399719445,0.274085099016097,0.24454965526836525,0.23018203260245262,0.2192947871169837,0.19338720222872685,0.18340889003615146,0.22977052378137952,0.17119556148527326,0.21046910409793174,0.19279939382488065,0.21483764986831833,0.18645104718988892,0.19285621890689164,0.2149839914850996,0.20858158407363825,0.1897572472359168,0.16818562035764606,0.2036003865259841,0.17309509832389647,0.188489061123699,0.1753992348351806,0.18769919963281456,0.17566831408726402,0.17345119455945512,0.22401330980544865,0.18515378713479003,0.18397425680822965,0.17897515665783237,0.17663007314181278,0.18015327037791673,0.17577643568352608,0.19725701108454752,0.1775343520960304,0.17228594449929568,0.20997234689205269,0.21439324507570234,0.17593042991568886,0.1674453888423023,0.19414280136723328,0.1832303614406826,0.17316595886255937,0.1789555027537012,0.16896726568475595,0.17168744188215024,0.1752254185846528,0.20146205939760342,0.16832326591849867,0.16912727356374446,0.1674453888423022,0.1688680801712955,0.1674453888423023
Spain,0.3201046471784623,0.40432350325215416,0.4011026641457264,0.21327271889621668,0.3085782661058305,0.23995453612493656,1.0,0.33822045448496274,0.3021412106774095,0.34376146310542666,0.32524011525165164,0.34497498045896235,0.2919197388133079,0.36975257577483644,0.24410864780378272,0.19242997528936467,0.31554778779802206,0.3265756158748029,0.35485894464442647,0.24706510193931341,0.2990060814922628,0.3283636600945271,0.22501266358470462,0.3354593398315142,0.23422853081126538,0.362114786475625,0.3099677829172537,0.269409101303578,0.19639592447784027,0.18997760826672705,0.1920473825875294,0.19992166113189047,0.25269782209452996,0.1858311206896729,0.20729241472744908,0.1799213500316048,0.2761669507235801,0.21628361845592747,0.20457024716571048,0.24990641335173502,0.22784828532934864,0.28765687657273264,0.17129110408457193,0.22459696208129465,0.2510299461256683,0.1862434195398318,0.18016528668881138,0.39136514531480227,0.3624393432964653,0.32362419156303057,0.23677975485419211,0.33801377566183355,0.2792497923431747,0.19221236878565495,0.26231168354195855,0.3082707916206989,0.26801216165629727,0.33147590233201984,0.22806844214005384,0.3464312495213989,0.2721748362012474,0.4416153158272591,0.2551812383261466,0.24309187551892653,0.24657062302597643,0.21292388072353452,0.34081536212640595,0.23898062448444968,0.3630991646014077,0.22628227031946324,0.21710138241645394,0.24716626309627787,0.19257452157513788,0.18852836067491308,0.24290692275766979,0.17907944910165075,0.27936451439380316,0.19819377075168632,0.20759114429231595,0.18871337491788442,0.218767152098166,0.22649461326041964,0.2046136587622558,0.20307101520935267,0.18005488748505694,0.20181050873272555,0.17485918349746876,0.17809280339866618,0.17474179183975225,0.18446444757062763,0.18082570276901988,0.18686736549659044,0.17400793342001486,0.1883814082531352,0.17874020177076322,0.17867788949074503,0.18559070112159626,0.19002811253951746,0.1743312389572219,0.1787232310679373,0.17483704557583857,0.17262227050493817,0.19211242600458656,0.18769754949307116,0.1845434537596109,0.17420236309997472,0.18601972993139027,0.17549807952178964,0.17618187473031965,0.1737676388582977,0.1718673849818696,0.1715829231307554,0.17393363909187765,0.16811286222995836,0.17145906986226922,0.17490547470818074,0.169319053443429,0.16795204370089656,0.16785208332230905
United Kingdom,0.6045174339367098,0.5031758351436559,0.45666281570441214,0.2859864999951658,0.5672014918029002,0.3522714739094217,0.33822045448496274,1.0,0.45271964517219987,0.5022093178992146,0.6208795599187835,0.49070059166279,0.5436866503748927,0.5436309706550779,0.239064097167334,0.21327541444888176,0.5499060029647267,0.3334627530414205,0.5273395543690644,0.3082145934132291,0.5450161257537599,0.34353415462048165,0.3059794177393145,0.3868470371841033,0.3887319302574387,0.5048561847163338,0.4046451675989836,0.4697113799753715,0.23656713651488315,0.231387760389011,0.2404837938402573,0.2580254133619294,0.3312001663613351,0.19285297825965986,0.24675813911006417,0.19754123797581635,0.35369340127077975,0.3039302935154299,0.2598742826106727,0.29522572155523974,0.38734115829165583,0.5131553442164183,0.18105643057073062,0.3260993003416701,0.42179049380854505,0.19246904005554422,0.19940533280768546,0.4161992077734278,0.3788132450433095,0.3666339722515799,0.2910314319237981,0.42090022535519833,0.5044709668004739,0.22399268907570602,0.3515222737145748,0.35316025149691443,0.3005591929562623,0.36399255946441067,0.2643699380580594,0.38265020012768647,0.34387835060396055,0.38953919263463166,0.28767108355729665,0.2877878780173555,0.33167529187322475,0.30648885801503045,0.36490848957314026,0.38826103854623606,0.36039884973285374,0.29550174221650016,0.24439182026859196,0.26734486239240407,0.20465423956809636,0.22928152435640026,0.30029357574531346,0.18622517813157224,0.3071964112732166,0.23788834515619806,0.24577350671382958,0.21711590155703997,0.25952035605313395,0.2945033643400239,0.2448727768619927,0.22147413271044736,0.1769345999899311,0.27778488305254145,0.1883978365952893,0.261341120945645,0.18290239779892192,0.22856062173535086,0.1961385159311072,0.19885852561951334,0.1949096946877651,0.24983243501374797,0.20854393658462167,0.22055300369953112,0.2071345684879824,0.21138099877527128,0.22195826983256728,0.2137176374036499,0.20217722127530258,0.17770881696933027,0.23226060235762636,0.23951678587945724,0.1943199415669995,0.1780045733129354,0.23956021322171883,0.20342882130920115,0.18562180663220573,0.18416163091602156,0.17040679203394937,0.17248757616003152,0.1747042214946416,0.17362671075907632,0.1789116764804617,0.18767134982834488,0.17184512182088307,0.16875523475137544,0.16764863417668352
Luxembourg,0.4198842466097402,0.427053698683885,0.41210930164390425,0.23887573796746153,0.384359254059334,0.27817196222527185,0.3021412106774095,0.45271964517219987,1.0,0.42432322916878407,0.4379320279354738,0.4969223548189995,0.3957217409372932,0.5332007129320719,0.24031716396351355,0.19074994416213997,0.4030887811973517,0.29117539026077466,0.5424998688211562,0.35915917451276824,0.40084472370859103,0.3385403831696807,0.26116094317426597,0.36754585016495045,0.33058418928336386,0.5057926660694347,0.42550310502373223,0.3615274897950086,0.20950582102644377,0.2043419871831883,0.20819912994524403,0.2181404084513786,0.357897129271898,0.2085796155578883,0.24502333406840016,0.1849160058065632,0.3397702377806956,0.252410048165302,0.23494925609061046,0.324276794287808,0.2937559520292137,0.36680957661284097,0.17563805997020454,0.28154439866140246,0.31874585383318743,0.18548353739766488,0.21497997201164276,0.36835342227515466,0.3567740529581437,0.33027045340256334,0.25565982534297815,0.39940760338941406,0.38775032590841396,0.2018193466711825,0.34681287124515836,0.3493578259286061,0.31498344062316186,0.3486553505862713,0.23516300753713204,0.3665024936978477,0.37910539198422555,0.3618549102902874,0.30367839889301484,0.3388857321043941,0.33705514948323456,0.26302606894102176,0.35502608447388095,0.340374754579715,0.3371892690832493,0.2576327669157079,0.24084014347878124,0.31207925587801855,0.20746821954846995,0.23687297871304824,0.2642376375462995,0.1979489926899447,0.30018502859908436,0.23356787564124493,0.2811935246106536,0.2122103761500923,0.27237218554406717,0.270424134616842,0.21902792841402374,0.23850257986169376,0.19454552103754685,0.24212197771520783,0.19917729469105383,0.20921358506273136,0.19900279330135395,0.20969625586440332,0.2032652680951701,0.1955542593607783,0.19400562853398184,0.2179146992180181,0.18399378071309436,0.19797568176747338,0.20531985920957552,0.2359418991286083,0.20762267174983096,0.1868625136111275,0.18688296496416346,0.17640480799311198,0.1890386231847414,0.2215960810465838,0.18513848885094397,0.1674453888423023,0.19402700638227965,0.17613145314301615,0.19029780762465143,0.17429879071554522,0.16966176685566636,0.17305023873004732,0.17589394031284689,0.1674453888423022,0.17063781881554307,0.1909599681133436,0.1674453888423022,0.17168591485873508,0.1674453888423022
Russia,0.4442066982256514,0.48282857443294525,0.4901837147228818,0.2984318321226098,0.4907767510468888,0.34328007293096985,0.34376146310542666,0.5022093178992146,0.42432322916878407,1.0,0.49781705743058147,0.48066053992400515,0.4694366527807623,0.5087157591877459,0.257454333287072,0.2055757329845046,0.5129199369257089,0.3444820639085634,0.48605905746051137,0.33042976907172805,0.508945616344927,0.3569361597839833,0.3171229110676753,0.392559856190123,0.33895808560618335,0.4768697364371697,0.40241945322391237,0.4054427556246645,0.2355140694806377,0.2394467035091321,0.24258663406163627,0.26906767168452517,0.3156910672337594,0.20528221999167218,0.28039373306532,0.1943629334899315,0.35728248645452565,0.2960482614117006,0.25016060245679217,0.3216059012686302,0.3286926318083395,0.40374802305537105,0.18848901420365038,0.2911787927554679,0.3577736316867024,0.21313762739122444,0.21267647161919834,0.43242718906569144,0.39215780673545164,0.3982678886431902,0.33802295420928097,0.4036193042940931,0.4019088596464272,0.25252732972882563,0.3821307819462034,0.38467811874792357,0.3443464300930633,0.3786410184519078,0.34248836056310494,0.43246448490035205,0.36227806449679856,0.3964451392408139,0.34051709235310146,0.31953452501161816,0.3099627353755703,0.3148977232075253,0.359848014442,0.3062080757263004,0.411863691387067,0.3217554933884814,0.35324937271819734,0.29482872012504435,0.22436886787662014,0.2157485617338425,0.30725151244756554,0.19032750587454905,0.3112411030980451,0.224045506072152,0.2953299184056404,0.20639441488413723,0.23104590956806603,0.2794125052203176,0.27739376504383273,0.22907537568835257,0.1912648407985018,0.2558702494855567,0.18948995398013246,0.20288720033446583,0.1929023042240674,0.22053022080087892,0.19842720062240615,0.20218624932480855,0.20733210715866301,0.21188011146056807,0.18518656597143135,0.20272919530209343,0.2008794217590223,0.21128887388270934,0.1819461266417871,0.22678527519224412,0.1898211550415173,0.1824102697717057,0.24880839309046765,0.23811929425569123,0.2023754532710711,0.17766191862755343,0.23014321969708607,0.1975189407952651,0.18041823072077112,0.19122813474764588,0.17995364964266214,0.18473743675131304,0.19894652487201825,0.1678062574102276,0.1773463432022857,0.17864135647424406,0.1674453888423022,0.16948854689246007,0.16835697361690793
