content.pair_id,content.similarity,content.url1,content.url2,content.title1,content.title2,real_lang1,real_lang2,GEO,ENT,TIME,NAR,OVERALL,STYLE,TONE,FRAME
1563292041_1563773514,2.5,http://www.xinhuanet.com/world/2020-03/30/c_1125790629.htm,http://www.xinhuanet.com/world/2020-03/31/c_1125793382.htm,中国抗疫医疗专家组抵达委内瑞拉,委内瑞拉政府感谢中国派遣抗疫医疗专家组,zh,zh,Very Similar,Very Similar,Very Similar,Somewhat Similar,Somewhat Similar,Somewhat Similar,Somewhat Dissimilar,Somewhat Dissimilar
1629143239_1629143215,3,https://www.inform.kz/cn/7500_a3659167,https://www.inform.kz/cn/7557_a3659288,新冠肺炎：全国近7500名冠病患者已治愈出院,哈萨克斯坦新冠肺炎累计治愈病例达7557例,zh,zh,Very Similar,Very Similar,Very Similar,Very Similar,Somewhat Similar,Somewhat Similar,Very Similar,Somewhat Similar
1567282843_1566725179,2.5,http://www.xinhuanet.com/local/2020-04/03/c_1125809587.htm,http://www.xinhuanet.com/politics/2020-04/02/c_1125807150.htm,北京：地铁车窗秒变信息屏,北京“首都智慧地铁”：能识别车厢内乘客是否戴口罩,zh,zh,Very Similar,Very Similar,Very Similar,Somewhat Dissimilar,Very Dissimilar,Somewhat Similar,Somewhat Similar,Very Dissimilar
1511338166_1511777869,2.5,http://www.xinhuanet.com/local/2020-02/01/c_1125520270.htm,http://www.xinhuanet.com/local/2020-02/02/c_1125523487.htm,湖北省红十字会回应捐赠物资分配情况：查找管理问题依纪依规追责,湖北：集中隔离所有新型冠状病毒感染的肺炎疑似病例,zh,zh,Very Similar,Somewhat Dissimilar,Very Similar,Somewhat Dissimilar,Very Dissimilar,Somewhat Similar,Somewhat Dissimilar,Very Dissimilar
1610998808_1610848271,2.5,http://www.xinhuanet.com/politics/2020-05/19/c_1126006846.htm,http://www.xinhuanet.com/world/2020-05/19/c_1126006580.htm,中孟执政党举行抗疫治理经验视频交流会,中联部致函外国政党介绍中国复工复产做法和成效,zh,zh,Somewhat Dissimilar,Somewhat Similar,Very Similar,Somewhat Dissimilar,Very Dissimilar,Somewhat Dissimilar,Somewhat Similar,Very Dissimilar
1551294727_1553503731,2,http://www.westca.com/pda/news/op=view/sid=762429/app=rss/lang=schinese.html,http://www.westca.com/pda/news/op=view/sid=762797/app=rss/lang=schinese.html,热帖 造谣可耻但造美国的谣光荣?,川普防疫笔记 划掉冠状病毒改中国,zh,zh,Very Dissimilar,Very Dissimilar,Very Similar,Somewhat Dissimilar,Very Dissimilar,Somewhat Dissimilar,Very Dissimilar,Very Dissimilar
1636383326_1633433511,2.5,http://www.xinhuanet.com/world/2020-06/16/c_1126122474.htm,http://politics.people.com.cn/n1/2020/0613/c1024-31745354.html,习近平同厄瓜多尔总统莫雷诺通电话,习近平向布隆迪当选总统恩达伊施米耶致唁电,zh,zh,Very Dissimilar,Somewhat Similar,Very Similar,Somewhat Dissimilar,Very Dissimilar,Somewhat Dissimilar,Somewhat Similar,Somewhat Dissimilar
1528722947_1528674333,2.5,https://www.inform.kz/cn/556_a3617646,http://www.xinhuanet.com/politics/2020-02/23/c_1125613667.htm,韩国累计确诊感染者达到556人,截至2月22日24时新型冠状病毒肺炎疫情最新情况,zh,zh,Very Dissimilar,Very Dissimilar,Very Similar,Very Dissimilar,Very Dissimilar,Very Dissimilar,Very Dissimilar,Very Dissimilar
1490770430_1491023961,2.5,http://twitchy.com/sarah-313035/2020/01/09/the-dumbest-attempt-at-journalism-ive-seen-in-2020-wapo-firefighter-busts-gop-rep-elise-stefanik-for-tweeting-altered-photo-of-pelosi/,http://www.dailykos.com/stories/1910417,'The dumbest attempt at journalism I've seen in 2020 so far': WaPo firefighter busts GOP Rep. Elise Stefanik for tweeting 'altered photo of Pelosi',Elise Stefanik vies for the lead in the Republican race to be the most vile partisan of all,en,en,Very Similar,Very Similar,Very Similar,Somewhat Similar,Somewhat Similar,Somewhat Similar,Very Similar,Very Dissimilar
1540982295_1540897936,2.5,http://theweek.com/speedreads/900662/south-by-southwest-canceled-amid-coronavirus-concerns,http://dailycaller.com/2020/03/06/hachette-cancels-woody-allen-memoir/,South by Southwest canceled amid coronavirus concerns,Hachette Cancels Woody Allen Memoir Following Walkout Protests,en,en,Somewhat Similar,Very Dissimilar,Very Similar,Very Dissimilar,Very Dissimilar,Very Similar,Very Similar,Other
1529970585_1529891135,2.5,http://dailycaller.com/2020/02/24/meghan-mccain-double-standard-russia-trump-sanders/,http://www.rawstory.com/2020/02/the-views-meghan-mccain-attacks-co-hosts-for-not-talking-about-bernie-sanders-and-russia-when-reports-werent-even-out/,‘Why Are We Not Talking About That?’: Meghan McCain Blasts Double Standard For Trump And Sanders On Russia,The View’s Meghan McCain attacks co-hosts for not talking about Bernie Sanders and Russia — when reports weren’t even out,en,en,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Very Similar,Somewhat Dissimilar
1496010789_1496308289,2.5,http://www.haaretz.com/world-news/wires/1.8405828,http://www.dailytelegraph.com.au/news/breaking-news/three-african-nations-agree-on-nile-dam/news-story/00466f744618326c9b9cf297f8edc676,"UPDATE 2-Egypt, Ethiopia, Sudan to finalize Blue Nile dam agreement this month",Three African nations agree on Nile dam,en,en,Other,Other,Other,Other,Other,Other,Other,Other
1594362568_1594231867,3.5,http://theweek.com/speedreads/912148/madonna-announces-breathe-covid19-air-after-testing-positive-antibodies,http://dailycaller.com/2020/05/01/joe-biden-written-statement-denies-allegation-tara-reade-sexual-assault-accusation/,Madonna announces she's off to 'breathe in the COVID-19 air' after testing positive for antibodies,"Biden Finally Responds To Sexual Assault Allegations Minutes Before MSNBC Interview, Calls For National Archives Review",en,en,Very Similar,Very Dissimilar,Very Similar,Very Dissimilar,Very Dissimilar,Very Similar,Very Similar,Other
1544457975_1544518416,3,http://theweek.com/speedreads/901322/biden-extends-olive-branch-sanders-supporters-after-michigan-win-says-theyll-defeat-trump-together,http://www.newsbusters.org/blogs/nb/nicholas-fondacaro/2020/03/11/paid-cnn-employee-endorses-joe-biden-air-urges-bernie-bros,"Biden extends olive branch to Sanders supporters after Michigan win, says they'll defeat Trump 'together'","Paid CNN Employee Endorses Joe Biden On-Air, Urges Bernie Bros to Join Him",en,en,Very Similar,Somewhat Similar,Very Similar,Somewhat Dissimilar,Somewhat Dissimilar,Very Similar,Very Similar,Somewhat Dissimilar
